target	prediction	equal structures	equal S, AdvP, and RelP clauses	negates main clause	negates target verb
fred should not assemble the souffles that ron can chew	fred should not assemble the souffles that she should assemble	0	1	1	1
petunia must not create the doughnuts that voldemort must assemble	petunia must not create the doughnuts that a professor should create	0	1	1	1
hagrid may not sprinkle many cookies that snape must assemble	hagrid may not sprinkle many cookies that hagrid should sprinkle	1	1	1	1
fred can not wiggle since mcgonagall can sprinkle the strudels	fred can not sprinkle the strudels since the student can sprinkle the strudels	0	0	1	0
george should not sprinkle many eclaires that vernon can eat	george should not sprinkle many eclaires that hagrid can sprinkle	1	1	1	1
voldemort should not prepare the cookies that lily can eat	voldemort should not prepare the cookies that a professor can prepare	0	1	1	1
he may not eat a croissant which vernon may sprinkle	he may not eat a croissant which a professor must eat	0	1	1	1
draco should not assemble many cookies that fred must sprinkle	draco should not assemble many cookies that ron should assemble	1	1	1	1
sirius should not eat a cake that hagrid may make	sirius should not eat a cake that a professor should eat	0	1	1	1
ron should not hide a croissant which ginny should prepare	ron should not hide a croissant which a professor should hide	0	1	1	1
he should not giggle because hagrid may prepare a chocolate	he should not prepare a chocolate because a professor may prepare a chocolate	0	0	1	0
petunia may not chew the strudels which snape may make	petunia may not chew the strudels which draco may chew	1	1	1	1
hermione should not gobble the eclaires because petunia should laugh	hermione should not laugh because petunia should laugh	0	0	1	0
albus should not create the cookies which harry should make	albus should not create the cookies which hagrid can create	1	1	1	1
she should not prepare a croissant which james must eat	she should not eat a croissant which he must eat	0	1	1	0
harry can not arrange many doughnuts which lupin must prepare	harry can not arrange many doughnuts which harry should arrange	1	1	1	1
george must not assemble the souffles that vernon should assemble	george must not assemble the souffles that she should assemble	0	1	1	1
draco must not prepare the cookies because she must swim	draco must not prepare the eclaires	0	0	1	1
petunia must not assemble the cakes which fred can arrange	petunia must not assemble the cakes which he must assemble	0	1	1	1
snape can not hiccup since lily can assemble the doughnut	snape can not assemble the doughnut since he can assemble the doughnut	0	0	1	0
lupin can not make the pancake that vernon must gobble	lupin can not make the pancake that james must make	1	1	1	1
james must not gobble the chocolate that ginny must gobble	james must not gobble the chocolate that he must gobble	0	1	1	1
since draco must assemble the strudel fred can not run	since draco must run fred can not run	0	0	1	0
ginny should not eat many cookies that hermione should make	ginny should not eat many cookies that ron should eat	1	1	1	1
she may not chew a croissant which draco may assemble	she may not chew a croissant which a professor may chew	0	1	1	1
hagrid should not hide the strudel which neville can gobble	hagrid should not hide the strudel which snape should hide	1	1	1	1
vernon should not hide many cookies which hermione may arrange	vernon should not hide many cookies which neville should hide	1	1	1	1
ginny can not eat a cake which harry must arrange	ginny can not eat a cake which a professor should eat	0	1	1	1
petunia can not gobble a chocolate that neville can chew	petunia can not gobble a chocolate that a professor must gobble	0	1	1	1
vernon must not eat the cakes that hagrid must arrange	vernon must not eat the cakes that a professor should eat	0	1	1	1
george may not arrange the doughnuts which vernon may hide	george may not arrange the doughnuts which snape should arrange	1	1	1	1
harry can not make the croissant that hagrid should eat	harry can not eat the croissant that hagrid should eat	1	1	1	0
albus can not gobble the baklava that lupin may prepare	albus can not gobble the baklava that snape can gobble	1	1	1	1
fred may not create the croissants which hermione must prepare	fred may not create the croissants which a student may create	0	1	1	1
mcgonagall must not assemble many croissants which neville must hide	mcgonagall must not assemble many croissants which he should assemble	0	1	1	1
draco should not assemble the chocolate that fred may sprinkle	draco should not assemble the chocolate that he may sprinkle	0	1	1	1
sirius may not gobble the souffles that hagrid can prepare	sirius may not gobble the souffles that she should gobble	0	1	1	1
ginny can not gobble the doughnut which albus should assemble	ginny can not gobble the doughnut which she can gobble	0	1	1	1
she must not assemble the cakes which she may prepare	she must not assemble the cakes which he must assemble	1	1	1	1
james can not make the chocolates that dobby should create	james can not make the chocolates that james can make	1	1	1	1
sirius must not prepare many cookies which albus must assemble	sirius must not prepare many cookies which hagrid should prepare	1	1	1	1
lily must not assemble the strudels that albus must gobble	lily must not assemble the strudels that neville must assemble	1	1	1	1
hermione must not eat the eclaires that snape can chew	hermione must not eat the eclaires that a student should eat	0	1	1	1
draco may not hiccup because neville must eat the eclaires	draco may not eat the eclaires because neville must eat the eclaires	0	0	1	0
ginny can not make the doughnut that hagrid should create	ginny can not make the doughnut that she can make	0	1	1	1
draco must not eat the croissant because harry may giggle	draco must not giggle because sirius may giggle	0	0	1	0
he may not create the chocolates that snape may assemble	he may not create the chocolates that hagrid must create	1	1	1	1
james may not hiccup because snape must assemble a doughnut	james may not assemble a doughnut	0	0	1	0
lupin should not assemble many eclaires which albus should sprinkle	lupin should not assemble many eclaires which neville should assemble	1	1	1	1
james should not create the eclaires that draco may prepare	james should not create the eclaires that she should create	0	1	1	1
lily may not walk because neville must arrange the cookies	lily may not arrange the cookies since ron may arrange the cookies	0	0	1	0
ginny should not assemble the baklava which hermione may assemble	ginny should not assemble the baklava which she should assemble	0	1	1	1
he should not prepare the strudel that voldemort should assemble	he should not prepare the strudel that a wizard should prepare	0	1	1	1
lupin can not assemble many eclaires that draco can sprinkle	lupin can not assemble many eclaires that neville should assemble	1	1	1	1
voldemort may not eat the cookies since james must smile	voldemort may not smile since james must smile	0	0	1	0
harry must not create the strudel which fred can eat	harry must not eat the strudel which fred can eat	1	1	1	0
draco should not hide many strudels that george must hide	draco should not hide many strudels that harry should hide	1	1	1	1
dobby must not eat the strudels that harry should gobble	dobby must not eat the strudels that hagrid must eat	1	1	1	1
voldemort must not assemble the cookies that sirius may arrange	voldemort must not assemble the cookies that ron must assemble	1	1	1	1
vernon may not arrange the eclaires that hagrid must make	vernon may not arrange the eclaires that neville may arrange	1	1	1	1
petunia can not arrange the strudels that vernon can chew	petunia can not arrange the strudels that neville may arrange	1	1	1	1
hermione may not assemble the eclaires that voldemort must arrange	hermione may not assemble the eclaires that neville may assemble	1	1	1	1
hermione must not assemble the cookie that ron must sprinkle	hermione must not assemble the cookie that she should assemble	0	1	1	1
james must not create the strudels that draco can prepare	james must not create the strudels that hagrid must create	1	1	1	1
draco should not prepare a baklava since he must walk	draco should not prepare a baklava	0	0	1	1
fred may not eat the souffle which lupin can create	fred may not eat the souffle which a professor must eat	0	1	1	1
fred should not hide the strudel that sirius should hide	fred should not hide the strudel that a witch should hide	0	1	1	1
harry may not arrange the strudels that she should make	harry may not arrange the strudels that neville may arrange	0	1	1	1
he should not prepare the cakes because mcgonagall can wiggle	he should not wiggle because mcgonagall should wiggle	0	0	1	0
draco must not chew the eclaire that fred must gobble	draco must not chew the eclaire that a student should chew	0	1	1	1
hermione can not arrange the chocolates since draco should laugh	hermione can not arrange the chocolates	0	0	1	1
george may not chew the chocolates which sirius should prepare	george may not chew the chocolates which petunia can chew	1	1	1	1
because mcgonagall may prepare the souffle james must not swim	because mcgonagall may prepare the souffle james must not prepare the souffle	0	0	1	0
mcgonagall should not assemble many souffles that vernon must sprinkle	mcgonagall should not assemble many souffles that she should assemble	0	1	1	1
albus should not assemble the cookie that he must gobble	albus should not assemble the cookie that she should assemble	1	1	1	1
ginny can not hiccup because hermione must eat the chocolates	ginny can not eat the chocolates	0	0	1	0
mcgonagall may not create the souffles which she must create	mcgonagall may not create the souffles which a student must create	0	1	1	1
mcgonagall must not arrange the cookies that ginny should gobble	mcgonagall must not arrange the cookies that ron must arrange	1	1	1	1
petunia should not prepare many eclaires which albus should prepare	petunia should not prepare many eclaires which dobby should prepare	1	1	1	1
she should not gobble the chocolates that draco should sprinkle	she should not gobble the chocolates that james must gobble	1	1	1	1
james must not sprinkle the cake which hagrid can arrange	james must not sprinkle the cake which he must sprinkle	0	1	1	1
a professor should not swim because a student should party	a professor should not party because a student should party	1	1	1	0
draco may not hide a croissant that hermione can chew	draco may not hide a croissant that a professor must hide	0	1	1	1
harry can not create many souffles that ginny must sprinkle	harry can not create many souffles that hagrid should create	1	1	1	1
he may not party since lily should prepare the doughnuts	he may not prepare the baklava because hermione should prepare the doughnuts	0	0	1	0
voldemort must not sprinkle many strudels that draco can hide	voldemort must not sprinkle many strudels that hagrid should sprinkle	1	1	1	1
dobby must not make the cookies that she may assemble	dobby must not make the cookies that ron must make	0	1	1	1
ron can not eat the cakes which lupin can gobble	ron can not eat the cakes which he should eat	0	1	1	1
neville must not gobble the strudels which she may gobble	neville must not gobble the strudels which she should gobble	1	1	1	1
albus should not chew the doughnut which she should gobble	albus should not chew the doughnut which she can chew	1	1	1	1
ron must not sprinkle the strudels which fred should make	ron must not sprinkle the strudels which james must sprinkle	1	1	1	1
harry should not gobble the souffles that lupin must make	harry should not gobble the souffles that she should gobble	0	1	1	1
ginny should not assemble many souffles which dobby must chew	ginny should not assemble many souffles which she should assemble	0	1	1	1
george must not create a doughnut since mcgonagall can giggle	george must not giggle because mcgonagall can giggle	0	0	1	0
sirius should not gobble the doughnuts that she can sprinkle	sirius should not sprinkle the doughnuts that hagrid can sprinkle	0	1	1	0
sirius may not sprinkle the chocolate that harry should sprinkle	sirius may not sprinkle the chocolate that a student should sprinkle	0	1	1	1
vernon can not gobble many baklava that hagrid may prepare	mcgonagall can not gobble many baklava that voldemort should gobble	1	1	1	1
he should not create many cookies that petunia may chew	he should not create many cookies that hagrid should create	1	1	1	1
lupin should not make the baklava which dobby must prepare	lupin should not make the baklava which she should make	0	1	1	1
she may not sprinkle the doughnut which voldemort must eat	she may not sprinkle the doughnut which hagrid must sprinkle	1	1	1	1
since sirius can gobble many cookies ginny should not walk	since sirius can gobble many cookies ginny can not gobble many cookies	0	0	1	0
lupin should not sprinkle the cookies that neville must arrange	lupin should not sprinkle the cookies that a professor should sprinkle	0	1	1	1
ron may not gobble the cakes that snape must hide	ron may not gobble the cakes that a professor should gobble	0	1	1	1
fred may not create the chocolates that ron may hide	fred may not create the chocolates that hagrid must create	1	1	1	1
albus should not make many pancakes which draco must assemble	albus should not make many pancakes which hagrid should make	1	1	1	1
draco must not make the cake that ron may make	draco must not make the cake that a professor should make	0	1	1	1
lily must not assemble the cakes which she must eat	lily must not eat the cakes which she must eat	1	1	1	0
fred must not create the chocolate that she should arrange	fred must not create the chocolate that a student must create	0	1	1	1
snape should not make the souffles that vernon can create	snape should not make the souffles that james should make	1	1	1	1
dobby may not prepare the croissant which neville should make	dobby may not prepare the croissant which the professor should prepare	0	1	1	1
harry may not make the doughnuts which dobby can sprinkle	harry may not make the doughnuts which snape should sprinkle	1	1	1	1
