target	prediction	equal structures	equal S, AdvP, and RelP clauses
ginny should hiccup since vernon must prepare a cake	ginny should prepare a cake since a professor may prepare a cake	0	0
fred should create the doughnuts that lily must assemble	fred should create the doughnuts that she should create	0	1
he should assemble the baklava that he can sprinkle	he should assemble the baklava that neville should assemble	0	1
albus may gobble the chocolates that george should hide	albus may gobble the chocolates that james must gobble	1	1
petunia can create the souffles that voldemort may gobble	petunia can create the souffles that a student must create	0	1
dobby must eat the doughnuts which james must gobble	dobby must eat the doughnuts which the professor should eat	0	1
george can eat the souffle that dobby must create	george can eat the souffle that a professor must eat	0	1
he should assemble a croissant that neville should sprinkle	he should assemble a croissant that a professor must assemble	0	1
neville should gobble the eclaires that draco must make	neville should gobble the eclaires that she should gobble	0	1
voldemort may sprinkle the cookie that lily must chew	voldemort may sprinkle the cookie that a student should sprinkle	0	1
james can eat the strudel because james should giggle	james can eat the strudel	0	0
snape must eat many cookies that voldemort may create	snape must eat many cookies that a professor should eat	0	1
lily should create many doughnuts that neville may chew	lily should create many doughnuts that lily should create	1	1
dobby may gobble a cake which he should make	dobby may gobble a cake which a professor may gobble	0	1
hermione must gobble many eclaires that hermione may prepare	hermione must gobble many eclaires that she should gobble	0	1
hermione can assemble the souffles that hagrid may gobble	hermione can assemble the souffles that she should assemble	0	1
neville must hiccup because she can make a cookie	neville must make a cookie because she can make a cookie	0	0
voldemort should sprinkle the strudel since lupin should giggle	voldemort should sprinkle the strudel	0	0
he can gobble the doughnut that vernon may assemble	he can gobble the doughnut that she can gobble	0	1
james should make many souffles that ginny may arrange	james should make many souffles that james should make	1	1
he must assemble a chocolate since mcgonagall should run	he must assemble a chocolate	0	0
neville must wiggle since petunia must chew the strudels	neville must chew the strudels since harry must chew the strudels	0	0
dobby must hide the cakes which vernon must assemble	dobby must hide the cakes which dobby must hide	1	1
she should prepare the doughnut which he can gobble	she should prepare the doughnut which she should prepare	1	1
hagrid may laugh because ginny should gobble a doughnut	hagrid may gobble a doughnut because he should gobble a doughnut	0	0
she should chew the strudels that lily can hide	she should chew the strudels that a student should chew	0	1
ginny should gobble the baklava which dobby can make	ginny should gobble the baklava which snape should gobble	1	1
he must assemble many cookies that she can eat	he must eat many cookies that voldemort can eat	0	1
snape can arrange many doughnuts that lily should arrange	snape can arrange many doughnuts that harry should arrange	1	1
lupin should sprinkle the cookies that draco should prepare	lupin should sprinkle the cookies that a professor should sprinkle	0	1
james may make the souffles that lupin must prepare	james may make the souffles that james must make	1	1
she may create the souffles that albus can make	she may create the souffles that she may create	0	1
dobby should hide many souffles that draco must arrange	dobby should hide many souffles that neville should hide	1	1
hagrid should hide the eclaires which fred can arrange	hagrid should hide the eclaires which dobby should hide	1	1
mcgonagall may assemble the doughnut which draco can prepare	mcgonagall may assemble the doughnut which she should assemble	0	1
vernon must swim because harry may make the pancakes	vernon must make the doughnuts because vernon may make the doughnuts	0	0
snape must assemble the souffles which ron may hide	snape must assemble the souffles which she should assemble	0	1
snape must chew many cakes which snape must sprinkle	snape must chew many cakes which draco should chew	1	1
mcgonagall should create many croissants which lily must assemble	mcgonagall should create many croissants which hagrid should create	1	1
vernon must assemble many chocolates that sirius should arrange	vernon must assemble many chocolates that a professor should assemble	0	1
lupin should make the strudels which he can prepare	lupin should make the strudels which she should make	1	1
she can hide many souffles that he should gobble	she can hide many souffles that neville may hide	0	1
albus can gobble the croissants that neville can sprinkle	albus can gobble the croissants that a student should gobble	0	1
james can gobble a chocolate that ron should hide	james can gobble a chocolate that a professor must gobble	0	1
sirius must eat many strudels because sirius must giggle	sirius must eat many strudels	0	0
she can arrange the strudels since mcgonagall must swim	she can arrange the strudels since james must swim	1	1
ron may make the cookie that hagrid must hide	ron may make the cookie that a student should eat	0	1
hermione should arrange the eclaire which petunia may make	hermione should arrange the eclaire which lupin should arrange	1	1
fred must gobble the eclaires that lily may hide	fred must gobble the eclaires that she must gobble	0	1
george should gobble many pancakes that lily must assemble	george should gobble many pancakes that george should gobble	1	1
fred can make the strudels that snape must sprinkle	fred can make the strudels that james must make	1	1
lupin must smile since snape can gobble the pancakes	lupin must hide the baklava since snape can gobble the baklava	0	0
james should assemble the eclaires that fred must prepare	james should assemble the eclaires that neville should assemble	1	1
ron can chew many croissants which snape should create	ron can chew many croissants which a witch should chew	0	1
dobby should assemble the strudel that sirius may chew	dobby should assemble the strudel that neville should assemble	1	1
james must arrange many baklava that neville must prepare	james must arrange many baklava that neville should arrange	1	1
lily should make the chocolates that she must make	lily should make the chocolates that hermione should make	0	1
draco must arrange the strudels which petunia should gobble	draco must arrange the strudels which draco should arrange	1	1
lupin must prepare many baklava which james may chew	lupin must prepare many baklava which hagrid should prepare	1	1
draco may hide the strudels that sirius should make	draco may hide the strudels that a student may hide	0	1
petunia may prepare the strudels that he should eat	petunia may prepare the strudels that hagrid may prepare	0	1
voldemort may make many strudels that petunia must prepare	voldemort may make many strudels that hagrid should make	1	1
george must sprinkle the chocolates that ginny can hide	george must sprinkle the chocolates that petunia must sprinkle	1	1
ginny can create the doughnuts which hermione can hide	ginny can create the doughnuts which ginny can create	1	1
ron must assemble the souffles which hagrid must create	ron must assemble the souffles which she should assemble	0	1
lupin may assemble the pancake since snape should swim	lupin may assemble the baklava since snape should assemble a baklava	0	0
albus must sprinkle the strudels that she should prepare	albus must sprinkle the strudels that hagrid must sprinkle	0	1
harry can create many pancakes which vernon should sprinkle	harry can create many pancakes which hagrid should create	1	1
vernon should create many strudels which ron can sprinkle	vernon should create many strudels which hagrid should create	1	1
fred must arrange the pancakes because vernon may laugh	fred must laugh because vernon may laugh because vernon may laugh	0	0
harry should prepare the chocolates that snape can prepare	harry should prepare the chocolates that hermione should prepare	1	1
dobby can eat the strudel that sirius may arrange	dobby can eat the strudel that a professor should eat	0	1
hermione may chew the croissant that lupin should assemble	hermione may chew the croissant that a professor can chew	0	1
sirius should arrange a chocolate because voldemort must giggle	sirius should arrange a souffle	0	0
dobby can sprinkle the doughnuts that lupin can eat	dobby can eat the doughnuts that lupin can eat	1	1
she can create a strudel which lupin should prepare	she can create a strudel which a wizard should create	0	1
ginny should prepare many strudels that james may eat	ginny should prepare many strudels that hagrid should prepare	1	1
ginny may eat the cake that vernon may assemble	ginny may eat the cake that a professor should eat	0	1
petunia must hide the pancake which lupin should eat	petunia must eat the pancake which lupin should eat	1	1
lupin can make the cookies that petunia must chew	lupin can make the cookies that ron can make	1	1
ginny should assemble many croissants which she can create	ginny should assemble many croissants which he should assemble	1	1
hagrid should make the doughnut that fred must make	hagrid should make the doughnut that she should make	0	1
draco should eat the pancake that harry should make	draco should eat the pancake that a professor should eat	0	1
ron can eat the cake that snape should hide	ron can eat the cake that a professor should eat	0	1
james must make the pancake that hermione should arrange	james must make the pancake that james must make	1	1
she can gobble the doughnuts that draco may prepare	she can gobble the doughnuts that snape should gobble	1	1
draco may hide many strudels which snape must eat	draco may hide many strudels which hagrid may hide	1	1
sirius may arrange a cookie which hagrid can make	sirius may arrange a cookie which a student should arrange	0	1
draco should sprinkle many eclaires that he may chew	draco should sprinkle many eclaires that hagrid should sprinkle	0	1
albus may assemble the strudels that james should hide	albus may assemble the strudels that neville may assemble	1	1
ron must make many strudels that george must prepare	ron must make many strudels that neville should make	1	1
dobby may sprinkle the pancake that he should prepare	dobby may sprinkle the pancake that petunia can sprinkle	0	1
he should party because petunia must chew many baklava	he should chew many baklava because she can chew many baklava	0	0
mcgonagall must eat the doughnuts which fred should prepare	mcgonagall must eat the doughnuts which the professor may eat	0	1
hagrid should prepare many eclaires that albus should sprinkle	hagrid should prepare many eclaires that dobby should prepare	1	1
voldemort must arrange the cookies that james must assemble	voldemort must arrange the cookies that ron must arrange	1	1
he can make the doughnut that george must arrange	he can make the doughnut that she can make	0	1
harry should laugh because fred should sprinkle the pancakes	harry should sprinkle the pancakes since hermione should sprinkle the pancakes	0	0
vernon may giggle since harry can eat the chocolate	vernon may eat the eclaire since vernon can eat many pancakes	0	0
lily may hide the doughnuts that george may create	lily may hide the doughnuts that a professor may hide	0	1
albus may hide the strudels which fred must hide	albus may hide the strudels which hagrid may hide	1	1
harry may create a cake which dobby should sprinkle	harry may create a cake which a professor may create	0	1
she must gobble the doughnut which fred should create	she must gobble the doughnut which she must gobble	0	1
petunia must eat the strudels that dobby should create	petunia must eat the strudels that hagrid must eat	1	1
neville may jump since hagrid may chew the eclaires	neville may chew the eclaires since the student may chew the eclaires	0	0
hagrid must assemble many doughnuts that petunia should arrange	hagrid must assemble many doughnuts that neville should assemble	1	1
hermione should assemble the eclaires which hagrid can hide	hermione should hide the eclaires which she should assemble	0	1
petunia must eat the croissant that ginny must create	petunia must eat the croissant that a professor must eat	0	1
petunia should create the cakes which mcgonagall should eat	petunia should eat the cakes which hagrid should eat	1	1
ron can eat the cakes that ginny should gobble	ron can eat the cakes that a professor should eat	0	1
hagrid can gobble a croissant that snape must create	hagrid can gobble a croissant that a professor must gobble	0	1
ron can prepare many strudels which mcgonagall may sprinkle	ron can prepare many strudels which hagrid must prepare	1	1
snape can gobble the souffles that albus must chew	snape can gobble the souffles that she should gobble	0	1
she must assemble the souffles that james must create	she must assemble the souffles that she should assemble	0	1
albus can sprinkle the doughnuts that he must make	albus can sprinkle the doughnuts that a professor should sprinkle	0	1
she must eat many chocolates that she must create	she must eat many chocolates that a professor should eat	0	1
sirius can arrange many strudels that fred must eat	sirius can arrange many strudels that neville should arrange	1	1
voldemort must create many strudels that fred should hide	voldemort must create many strudels that hagrid must create	1	1
he may prepare the croissant that mcgonagall can assemble	he may prepare the croissant that the professor should prepare	0	1
draco must chew many doughnuts that voldemort should assemble	draco must chew many doughnuts that draco should chew	1	1
sirius should chew a pancake since hermione may swim	sirius should swim since hermione may swim	0	0
ron should jump because snape may prepare the croissants	ron should prepare the croissants	0	0
hagrid should swim because she may sprinkle the cakes	hagrid should sprinkle the cakes because albus may sprinkle the cakes	0	0
draco can hide many doughnuts that lily can hide	draco can hide many doughnuts that harry may hide	1	1
mcgonagall must run since draco must arrange the baklava	mcgonagall must arrange the baklava since neville must arrange the baklava	0	0
george may hide the cakes that ron should arrange	george may hide the cakes that a professor should hide	0	1
hermione may gobble the strudels that harry must sprinkle	hermione may gobble the strudels that hagrid may gobble	1	1
snape should assemble the cookies that mcgonagall must assemble	snape should assemble the cookies that ron should assemble	1	1
ginny may make many chocolates that snape can chew	ginny may make many chocolates that hagrid should make	1	1
ginny can hide the doughnuts that petunia should eat	ginny can hide the doughnuts that snape should eat	1	1
hagrid may prepare many baklava which ginny should eat	hagrid may prepare many baklava which hagrid should prepare	1	1
neville may gobble the chocolates which ron may eat	neville may eat the chocolates which ron may eat	1	1
fred should gobble the cookies which ron can hide	fred should gobble the cookies which snape should gobble	1	1
hermione may eat the eclaires that lupin should create	hermione may eat the eclaires that a student should eat	0	1
sirius must giggle since lily must arrange the pancakes	sirius must arrange the cakes	0	0
snape should hide the doughnuts that ginny should create	snape should hide the doughnuts that snape should hide	1	1
lupin should arrange a souffle that albus can prepare	lupin should arrange a souffle that a student should arrange	0	1
hermione must sprinkle a souffle because ginny must hiccup	hermione must sprinkle a doughnut	0	0
mcgonagall should wiggle since james may gobble many doughnuts	mcgonagall should wiggle since voldemort may wiggle	0	0
hermione must create a souffle since she may smile	hermione must smile since voldemort may smile since she may smile	0	0
sirius should sprinkle a croissant that he must chew	sirius should sprinkle a croissant that a professor should sprinkle	0	1
since draco should walk hagrid should assemble many pancakes	draco should walk	0	0
petunia must eat the chocolates which she must create	petunia must eat the chocolates which petunia must eat	0	1
voldemort must sprinkle many strudels that she can assemble	voldemort must sprinkle many strudels that hagrid should sprinkle	0	1
she can walk because ginny can create a doughnut	she can create a doughnut because a student can create a doughnut	0	0
snape should assemble the chocolates that harry may create	snape should assemble the chocolates that james must assemble	1	1
ginny can eat the strudels which albus should create	ginny can eat the strudels which hagrid can eat	1	1
ron should prepare the souffle since vernon must wiggle	ron should prepare the souffle since vernon should prepare the cakes	0	0
dobby should make many souffles that petunia must eat	dobby should make many souffles that she should make	0	1
dobby must run because snape can arrange the pancakes	dobby must arrange the pancakes	0	0
petunia can gobble the eclaires that ron can eat	petunia can eat the eclaires that voldemort can eat	1	1
dobby can gobble a pancake which george can eat	dobby can eat a pancake which george can eat	1	1
james can create many baklava which hagrid may sprinkle	james can create many baklava which hagrid can create	1	1
george may create the eclaires that he can gobble	george may create the eclaires that a student should create	0	1
dobby should chew many doughnuts that fred may prepare	dobby should chew many doughnuts that harry should chew	1	1
she should eat many doughnuts which hermione must hide	she should eat many doughnuts which harry should eat	1	1
voldemort may sprinkle many cakes which ginny must gobble	voldemort may sprinkle many cakes which hagrid should sprinkle	1	1
neville may eat the eclaires that she can assemble	neville may eat the eclaires that a student should eat	0	1
snape can chew the chocolate that ginny should eat	snape can chew the chocolate that a student can chew	0	1
petunia may eat the pancakes because mcgonagall should hiccup	petunia may hiccup because she should hiccup	0	0
petunia must sprinkle the doughnuts which sirius should gobble	petunia must sprinkle the doughnuts which petunia must sprinkle	1	1
mcgonagall can gobble the croissants that draco must eat	mcgonagall can gobble the croissants that a student should gobble	0	1
petunia must hide a pancake because voldemort must giggle	petunia must hide a souffle	0	0
dobby can eat the chocolates which george must assemble	dobby can eat the chocolates which hermione can eat	1	1
george must assemble the eclaires that lupin must prepare	george must assemble the eclaires that neville must assemble	1	1
harry should assemble the doughnuts that snape can sprinkle	harry should sprinkle the doughnuts that snape can sprinkle	1	1
she can sprinkle the strudels that albus may create	she can sprinkle the strudels that hagrid should sprinkle	1	1
ron may assemble the chocolates that draco should arrange	ron may assemble the chocolates that ron may assemble	1	1
he may gobble a cake that lily must eat	he may gobble a cake that a professor may gobble	0	1
she can eat a chocolate which he should eat	she can eat a chocolate which a professor must eat	0	1
he should create many chocolates that dobby must arrange	he should create many chocolates that hagrid should create	1	1
because he may chew the chocolate petunia must jump	because he may jump petunia must jump	0	0
he must gobble the strudels which she should eat	he must eat the strudels which she should eat	1	1
snape may assemble the doughnuts which lupin may hide	snape may hide the doughnuts which snape may hide	1	1
petunia can arrange a cake that voldemort should sprinkle	petunia can arrange a cake that a professor should arrange	0	1
petunia can sprinkle a croissant that ron should sprinkle	petunia can sprinkle a croissant that a professor must sprinkle	0	1
voldemort can gobble the strudels that fred must hide	voldemort can gobble the strudels that james may gobble	1	1
george can sprinkle the eclaires because mcgonagall should walk	george can walk because she should walk	0	0
petunia must prepare the strudels that lily should sprinkle	petunia must prepare the strudels that hagrid must prepare	1	1
hagrid should assemble the souffles that lily may chew	hagrid should assemble the souffles that she should assemble	0	1
she must create the eclaires that ginny can assemble	she must create the eclaires that she must create	0	1
albus should chew the pancake because lily must giggle	albus should giggle because lily must giggle	0	0
ron should smile since lily can chew the chocolates	ron should chew the chocolates since hermione should chew the chocolates	0	0
snape must prepare a cake which ron may make	snape must prepare a cake which a professor must prepare	0	1
james should gobble the baklava that voldemort can sprinkle	james should gobble the baklava that snape should gobble	1	1
draco should hide the pancake which neville should chew	draco should hide the pancake which dobby must hide	1	1
hermione must chew the croissant that hagrid may assemble	hermione must chew the croissant that a professor must chew	0	1
vernon should eat the strudels that harry may sprinkle	vernon should eat the strudels that vernon should eat	1	1
hagrid should eat the pancakes that snape must arrange	hagrid should eat the pancakes that a professor should eat	0	1
ginny should make many pancakes because george may run	ginny should run because voldemort may run	0	0
hermione should smile because mcgonagall must chew a strudel	hermione should chew a strudel because a wizard should chew a strudel	0	0
draco may assemble the souffles which hermione must chew	draco may assemble the souffles which she should assemble	0	1
ron must gobble many strudels that she should create	ron must gobble many strudels that a student must gobble	0	1
lily can gobble the eclaires that hermione may gobble	lily can gobble the eclaires that she should gobble	0	1
lupin must gobble the chocolates that snape should assemble	lupin must gobble the chocolates that james must gobble	1	1
neville should make the croissant which dobby can eat	neville should eat the croissant which dobby can eat	1	1
snape can arrange many pancakes that snape can make	snape can arrange many pancakes that neville should arrange	1	1
petunia must create the souffles that he may create	petunia must create the souffles that a student must create	0	1
he can gobble the eclaires that snape can assemble	he can gobble the eclaires that she should gobble	0	1
ron can sprinkle the cakes that ron can assemble	ron can sprinkle the cakes that a professor should sprinkle	0	1
petunia should eat the chocolates which neville may hide	petunia should eat the chocolates which petunia should eat	1	1
petunia may wiggle since draco may sprinkle the doughnut	petunia may sprinkle the doughnut since hagrid must sprinkle the doughnut	0	0
fred must gobble the croissant which he may chew	fred must gobble the croissant which the professor must gobble	0	1
hagrid should hide the eclaires that ginny must sprinkle	hagrid should hide the eclaires that dobby must hide	1	1
sirius should make the croissants that hagrid should gobble	sirius should make the croissants that a student should make	0	1
hagrid should eat the souffle which fred can assemble	hagrid should eat the souffle which a professor should eat	0	1
draco may hide many strudels that draco should create	draco may hide many strudels that harry may hide	1	1
harry must hide the baklava that lupin can chew	harry must hide the baklava that snape must hide	1	1
she can chew the croissant because he should party	she can party because lupin should party	0	0
hermione should hide the chocolates because albus must hiccup	hermione should hide the chocolates	0	0
dobby must create the pancakes that lupin must chew	dobby must create the pancakes that hagrid must create	1	1
ginny should chew many cookies which ginny should sprinkle	ginny should chew many cookies which neville should chew	1	1
james must make the strudels which snape may prepare	james must make the strudels which james must make	1	1
hagrid should sprinkle many eclaires that james may sprinkle	hagrid should sprinkle many eclaires that hagrid should sprinkle	1	1
lupin may chew the souffle which neville can hide	lupin may chew the souffle which a student may chew	0	1
ron must sprinkle the doughnuts which petunia must arrange	ron must sprinkle the doughnuts which james should sprinkle	1	1
petunia may create many strudels that he must create	petunia may create many strudels that hagrid may create	0	1
she must jump since fred should prepare the eclaire	she must prepare the eclaire since hermione should prepare the eclaire	0	0
dobby should hide many strudels that he may gobble	dobby should hide many strudels that neville should hide	0	1
vernon may prepare many cakes which george can create	vernon may prepare many cakes which hagrid should prepare	1	1
george must gobble the eclaires that sirius should make	george must gobble the eclaires that she must gobble	0	1
ginny must assemble many eclaires which ginny must eat	ginny must eat the eclaires which he must eat	0	1
ginny should arrange many baklava which lily should assemble	ginny should arrange many baklava which neville should arrange	1	1
fred may eat a strudel which voldemort must eat	fred may eat a strudel which a professor may eat	0	1
george can arrange the strudels that mcgonagall must prepare	george can arrange the strudels that neville may arrange	1	1
mcgonagall may make many eclaires that ron should gobble	mcgonagall may make many eclaires that she should make	0	1
ron may sprinkle the strudel which neville can eat	ron may eat the strudel which neville can eat	1	1
mcgonagall must arrange a croissant that neville may create	mcgonagall must arrange a croissant that a professor must arrange	0	1
george should make the doughnut that dobby should arrange	george should make the doughnut that she should make	0	1
snape may prepare many souffles which lupin may arrange	snape may prepare many souffles which harry should prepare	1	1
albus may sprinkle a croissant which ginny must chew	albus may sprinkle a croissant which a professor must sprinkle	0	1
fred can chew the doughnuts which ginny can create	fred can chew the doughnuts which the professor may chew	0	1
she should gobble the baklava which sirius can hide	she should gobble the baklava which she should gobble	0	1
albus should chew many doughnuts that voldemort must hide	albus should chew many doughnuts that harry should chew	1	1
vernon must sprinkle the chocolates which harry must chew	vernon must sprinkle the chocolates which petunia must sprinkle	1	1
lupin must eat the doughnut which lily may chew	lupin must eat the doughnut which he must eat	0	1
james may arrange the cookies that ginny must create	james may arrange the cookies that ron may arrange	1	1
sirius should assemble the chocolates since fred may wiggle	sirius should assemble the baklava since voldemort may wiggle	1	1
vernon should create the doughnuts which mcgonagall must hide	vernon should hide the doughnuts which snape should create	1	1
neville can run because sirius must arrange many souffles	neville can arrange many souffles	0	0
albus should assemble many strudels that snape can make	albus should assemble many strudels that neville should assemble	1	1
harry may swim because ron should gobble many cakes	harry may gobble many cakes because neville should gobble many cakes	0	0
james may assemble the cookies that dobby may hide	james may assemble the cookies that ron may assemble	1	1
petunia may prepare many pancakes which draco can prepare	petunia may prepare many pancakes which dobby should prepare	1	1
she must chew the eclaire which draco should make	she must chew the eclaire which a student can chew	0	1
george may assemble the souffles which neville must prepare	george may assemble the souffles which she should assemble	0	1
fred should assemble the cookies that vernon must prepare	fred should assemble the cookies that ron should assemble	1	1
mcgonagall must gobble the strudels that james should prepare	mcgonagall must gobble the strudels that she must gobble	0	1
she must arrange the cookies that she can eat	she must arrange the cookies that ron can eat	0	1
lily should hiccup since mcgonagall can arrange the strudels	lily should arrange the strudels because neville can arrange the strudels	0	0
mcgonagall must gobble the souffles that voldemort may arrange	mcgonagall must gobble the souffles that she must gobble	0	1
because vernon should gobble a cookie she should hiccup	because vernon should gobble a cookie she should gobble a cookie	0	0
ginny may chew many cookies which george should make	ginny may chew many cookies which sirius may chew	1	1
petunia may create the chocolates which george can hide	petunia may create the chocolates which petunia can create	1	1
voldemort should assemble the chocolate that vernon should assemble	voldemort should assemble the chocolate that he should assemble	0	1
draco should arrange the strudels which lupin may create	draco should arrange the strudels which draco should arrange	1	1
mcgonagall must arrange the pancake that albus should make	mcgonagall must arrange the pancake that mcgonagall must arrange	1	1
she may create the souffles that lily should make	she may create the souffles that she may create	0	1
harry can chew many doughnuts that he must arrange	harry can chew many doughnuts that harry should chew	0	1
