target	prediction	equal structures	equal S, AdvP, and RelP clauses
since voldemort may sprinkle the chocolate that he must gobble neville may party because snape must hiccup	since voldemort may sprinkle the chocolate that he must gobble neville may hiccup because draco must party	1	1
ron may eat the chocolate which the professor should prepare because a student should create the eclaires	ron may eat the chocolate which a professor should prepare because the student should create a chocolate	0	1
petunia should walk because ron should hiccup since draco should gobble the pancakes which voldemort can create	petunia should walk because ron should hiccup since draco should create the pancakes which draco can hide	1	1
she may giggle since fred should sprinkle a souffle which neville may prepare because neville can jump	she may giggle since neville should sprinkle a souffle which fred may prepare because neville can jump	1	1
since the professor should sprinkle the cakes that ron may assemble a professor must chew the cookie	since the professor should sprinkle the cakes that a witch may assemble ron must chew the cookie	0	1
the witch may create the eclaires that a wizard may make because sirius must chew the pancake	the witch may create the eclaires that a wizard may chew because sirius must make the pancake	1	1
because he should create a doughnut the student should make many strudels since he must eat the strudels	because he should create a doughnut a student should make the strudels since he must eat many strudels	1	1
the student must create a eclaire that neville can gobble because vernon may laugh since albus must swim	the student must create a eclaire that lupin can gobble because george may laugh since hermione must swim	1	1
since hermione may laugh because she should party the wizard may assemble the pancake because sirius may wiggle	since hermione may laugh she should assemble the cake because a wizard may party because sirius may party	0	0
a professor should make a cake that sirius may sprinkle because james can laugh since she must wiggle	a professor should make a cake that sirius may sprinkle because james must laugh since she can wiggle	1	1
since dobby should walk a wizard may eat a baklava which lupin must assemble because ron can hiccup	since dobby should walk a wizard may eat a baklava which lupin must assemble because ron may hiccup	1	1
since hagrid may prepare the cookie because the professor must make a pancake voldemort must prepare the doughnuts	since hagrid may prepare the cookie because the professor must make a strudel voldemort must prepare the strudels	1	1
since he should laugh because a witch may prepare the eclaire which sirius may hide lily must run	since he should laugh because a witch may prepare the souffle vernon may hide many chocolates	0	0
because snape must giggle neville may jump because hermione should sprinkle the baklava since a wizard should wiggle	because snape must giggle neville may jump because the professor should sprinkle many baklava because hermione should wiggle	0	1
because ginny should swim neville can gobble the cookie that hermione may hide because the professor can giggle	because ginny should swim neville can gobble the cookie that neville may hide because the professor can giggle	1	1
since james must sprinkle a souffle the witch may create many croissants because hermione may chew the cakes	since james must sprinkle a souffle the witch may create many strudels because hermione may chew the doughnuts	1	1
since ginny must jump a professor may hide the chocolate that he can create since she should laugh	since ginny must jump a professor can hide the chocolate that he may create since she should laugh	1	1
a student should make the souffle since a professor must chew the cake that a student should create	a student should make the souffle since a professor must chew a cake that the student should create	1	1
because she must sprinkle the eclaire because the wizard may hide the cakes hagrid may assemble the souffle	because she must sprinkle the eclaire because the wizard may hide the souffle hagrid may assemble the cakes	0	1
since lupin can giggle she can wiggle since the student should smile since snape can create the cake	since lupin can giggle since she can wiggle george should create the doughnut since sirius can gobble many cookies	0	0
because neville must run sirius can chew the croissants which harry must eat because snape should chew the chocolate	because neville must run sirius must eat the croissants which harry can chew because snape should chew the chocolate	1	1
because petunia should chew the croissant that she can create snape must sprinkle a strudel that sirius must make	because petunia should chew the croissant that snape can create she must sprinkle a strudel that sirius must make	0	1
because vernon may chew a eclaire james should laugh because dobby must arrange the baklava that mcgonagall should gobble	because vernon may chew a eclaire dobby should chew a eclaire that james must arrange because the witch should gobble	0	0
since george must make the souffle that voldemort should chew vernon must chew the croissant since mcgonagall must smile	since george must make the souffle that voldemort should chew the witch must chew the croissant since albus must smile	0	0
neville must hide the strudels which vernon must create because albus should sprinkle the pancake that petunia must create	neville must hide the strudels which vernon must sprinkle because albus should create the pancake that petunia must create	1	1
since ginny must hide the cookie that she must assemble neville must hide the doughnut which ginny can chew	since ginny must hide the cookie that neville must assemble she must hide the doughnut which ginny can chew	0	1
since ginny must eat a strudel lily may wiggle since harry can chew a pancake that she can create	since ginny must eat a strudel lily may chew since harry can chew a pancake that she can create	0	0
george must prepare the cookie because he can smile because petunia should assemble a chocolate which sirius should prepare	george must prepare the cookie because he can smile because sirius should assemble a chocolate which petunia should prepare	1	1
fred must make the souffles that harry must create since harry must eat the croissant that snape should hide	fred must make the souffles that harry must create since harry must eat the croissant that harry should hide	1	1
because sirius should laugh because fred must prepare a souffle that draco should arrange he may gobble the cakes	because sirius should laugh because fred must prepare a baklava that draco should arrange he may gobble the croissant	0	1
since petunia can gobble the baklava that she can make because ron must wiggle voldemort can eat the strudel	since petunia can gobble the baklava that she can chew because voldemort must make the doughnuts ron can eat	0	0
since vernon may hiccup neville must eat a souffle that vernon may sprinkle since ron should chew a souffle	since vernon may hiccup neville must eat a souffle that vernon may sprinkle since a witch should chew a souffle	0	0
harry may arrange a croissant which harry should prepare since lily should eat a strudel which george may sprinkle	harry may arrange a croissant which harry should prepare since lily should eat a strudel which george should sprinkle	1	1
lily must hide the doughnuts which lupin must hide since snape may create the croissant that ginny can prepare	lily must hide the doughnuts which lupin must hide since ginny may create the croissant that she can prepare	0	1
since lupin should prepare the souffles vernon should party since she should sprinkle the strudels which voldemort should create	since lupin should prepare the souffles vernon should party since hermione should sprinkle the strudels which voldemort should create	0	1
since dobby can create a cookie that snape should eat petunia can prepare the croissant that lily can arrange	since dobby can create a cookie that snape should eat fred can arrange the croissant that the wizard can prepare	0	0
harry must prepare a croissant that lily can create because mcgonagall may gobble the eclaire which snape must prepare	harry must prepare a croissant that lily can create because mcgonagall must gobble the eclaire which snape may prepare	1	1
because lupin may hide a souffle that ginny must hide draco can sprinkle a cookie since vernon can wiggle	because lupin may hide a souffle that ginny must hide draco can sprinkle a cookie since a student can wiggle	0	0
ginny can eat the souffles which sirius can hide because neville must prepare the cookies that ginny must arrange	ginny can eat the souffles which neville can hide because sirius must prepare the cookies that ginny must arrange	1	1
since draco can eat many pancakes which snape can assemble draco may make many pancakes which he may prepare	since draco can eat many pancakes which snape can assemble draco may make many pancakes that he may prepare	1	1
since mcgonagall may sprinkle many strudels that albus should gobble petunia should party since mcgonagall may hide the strudels	since mcgonagall may sprinkle many strudels that albus should gobble fred should hide since strudels may assemble the doughnuts	0	0
because lily must prepare many eclaires which she can sprinkle albus must make the strudel that harry should chew	because lily must prepare many eclaires which harry can sprinkle lily must make the strudel that harry should chew	0	1
because she can create a souffle that vernon should prepare lupin may create the cookie because draco may wiggle	because she can create a souffle that vernon should prepare lupin may create because ginny may wiggle	0	0
voldemort should make the souffle which ron should assemble since lupin must create many souffles that draco may prepare	voldemort should make the souffle which ron should assemble since lupin must create many souffles that draco should prepare	1	1
because she must hiccup snape may prepare the cookies that ginny can create since albus may assemble the cookies	because she must hiccup snape may prepare the cookies that albus can create since ginny may assemble the cookies	1	1
since hagrid should assemble the eclaire snape can giggle since dobby should sprinkle the eclaires that albus must arrange	since hagrid should assemble the eclaire albus can giggle since snape should sprinkle the eclaires that dobby must arrange	1	1
since sirius may arrange the chocolate which george should chew he must prepare the baklava that neville can chew	since sirius may arrange the chocolate which george should chew he must chew the baklava that neville can prepare	1	1
petunia should arrange the doughnuts that lily may create since she can chew the souffle that hermione should gobble	petunia should arrange the doughnuts that lily may create since hermione can chew the souffle that she should gobble	0	1
sirius may laugh because the witch should assemble a doughnut which hermione must gobble since a witch may run	sirius may laugh because the witch should assemble a doughnut which hermione must gobble because a witch should run	1	1
draco should sprinkle the souffles that she should gobble since neville may prepare the eclaire that snape should arrange	draco should sprinkle the souffles that neville should gobble since she may prepare a eclaire that snape should arrange	0	1
since ron should hide a cookie that lupin may gobble harry may arrange the eclaires which she must arrange	since ron should hide a cookie that lupin may gobble she may arrange the eclaires which harry must arrange	0	1
since fred must make many cakes which lupin must gobble snape should sprinkle the strudel that ginny should sprinkle	since fred must make many cakes that lupin must gobble george should sprinkle the strudel which she should sprinkle	0	1
fred can create the doughnuts since she should jump since voldemort may sprinkle the baklava that draco should chew	fred can create the doughnuts since she should jump since voldemort may sprinkle the baklava that draco should make	1	1
since dobby can gobble the pancakes since snape should hide a croissant that she may make petunia must walk	since dobby can gobble the croissant since snape should hide a pancakes that neville may make since petunia must walk	0	0
since draco may gobble the strudel that draco may make because sirius must jump james may create the cookie	since draco may gobble the strudel that draco may make because sirius must jump he may create the cookie	0	1
because sirius should arrange the chocolate which he should make james must hide the doughnut that ginny should prepare	because sirius should arrange the chocolate which he should chew james must prepare the doughnut that ginny should hide	1	1
since fred can chew the strudels that petunia must hide neville must hide a chocolate that hagrid must make	since fred can chew the strudels that neville must hide petunia must hide a chocolate that hagrid must make	1	1
since voldemort must assemble the strudels which james must make lily should make the cookie that he may sprinkle	since voldemort must assemble the strudels which james must make lily should make the cookie that he should sprinkle	1	1
because mcgonagall should laugh since george must assemble the cookie since voldemort should laugh james should gobble a eclaire	because mcgonagall should laugh since george must assemble the cookie since voldemort should laugh james should gobble a croissant	1	1
because fred may hide the eclaires that albus should gobble ron may laugh since draco must create the eclaire	because fred may hide the eclaires that albus should gobble ron must laugh since draco may create the eclaire	1	1
lily must prepare the souffle since neville must run because dobby should hide the baklava which albus must arrange	lily must prepare the souffle since neville must hide because albus should sprinkle the baklava which dobby must prepare	0	0
dobby should sprinkle the doughnuts because mcgonagall must hide the baklava which james should chew because lupin should walk	dobby should sprinkle the doughnuts because mcgonagall must hide the baklava which lupin should chew because james should walk	1	1
because petunia must prepare many eclaires that fred can create ron must walk because george must assemble the eclaires	because petunia must prepare many eclaires that fred can create george must walk because ron must create the eclaires	1	1
since ron should smile because ginny should assemble a strudel which albus must arrange petunia can eat the cookie	since ron should smile because ginny should arrange a cookie which albus must create neville must assemble the croissant	1	1
since she can assemble the baklava which neville may create petunia should assemble the souffle because snape may smile	since she can assemble the baklava which neville may create petunia should gobble the croissant which neville may create	0	0
voldemort must chew a strudel that sirius must eat since vernon should prepare the strudel which vernon should sprinkle	voldemort must chew a strudel that sirius must eat because vernon should prepare the strudel which sirius should sprinkle	1	1
because lily should gobble many strudels because hermione may laugh vernon must sprinkle a cookie since fred must wiggle	because lily should gobble many strudels hermione may laugh because vernon must sprinkle a cookie since fred must wiggle	0	0
lupin should create a croissant that lily must arrange since he can sprinkle the eclaire which dobby should prepare	lupin should create a croissant that lily must sprinkle since he can arrange the eclaire which dobby should prepare	1	1
he may arrange many strudels that james should chew because he may create the baklava because george should party	he may arrange many strudels that james should chew because he may create the baklava because draco should party	1	1
because lily can run harry can sprinkle the souffle that neville can hide since lupin can eat the doughnuts	because lily can run harry can sprinkle a souffle that neville can hide since the can eat the doughnuts	0	0
sirius must sprinkle the souffle which lupin may make because hermione can prepare the eclaires that petunia can sprinkle	sirius must sprinkle the souffle which lupin may make because hermione can prepare the eclaires that lupin can sprinkle	1	1
since fred must assemble a eclaire that she can prepare albus must hide a souffle that fred must arrange	since fred must assemble a eclaire that she can hide albus must prepare a souffle that fred must arrange	1	1
albus may create the pancake that he should sprinkle because snape can gobble the doughnut that he must arrange	albus may create the pancake that he should sprinkle because snape can gobble the doughnut that he must eat	1	1
she should gobble the souffle which vernon may eat since ron must create the strudel that george must make	she should gobble the souffle which vernon may create since ron must eat the strudel that george must make	1	1
since a professor must swim james can hiccup since hermione may assemble a chocolate that a professor can arrange	since a professor must swim hermione can hiccup since james may assemble a chocolate that a professor can arrange	1	1
since sirius should eat the cookies that dobby must sprinkle hermione must party since mcgonagall may create the souffle	since sirius should eat the cookie that dobby must sprinkle mcgonagall must party since hermione may create the baklava	0	1
dobby should sprinkle the cake that lily can arrange since she must sprinkle a croissant that petunia must create	dobby should sprinkle the cake that lily can arrange since she must sprinkle a croissant that neville must create	1	1
since he may hide the croissants which she must assemble harry may make the souffles since hermione can party	since he may hide the croissants which she must assemble hermione may make the souffles since harry can party	1	1
because fred should make the pancakes which mcgonagall must make he must gobble the strudels that harry can sprinkle	because fred should make the pancakes which mcgonagall must make he must sprinkle the pancakes that draco can gobble	1	1
because ginny should eat a souffle which vernon should hide because dobby may walk ginny may eat the chocolate	because ginny should eat a souffle which dobby should hide because ginny may walk vernon may eat the chocolate	1	1
since dobby should create a eclaire that hagrid must create because sirius must giggle harry can chew a baklava	since dobby should create a eclaire that hagrid must create because harry must chew a baklava harry can giggle	0	0
because lily must hide a croissant which snape can gobble voldemort may sprinkle the strudels that albus should make	because lily must hide a croissant which snape can sprinkle voldemort may gobble the strudels that albus should make	1	1
because albus can hide the eclaire she may prepare a eclaire that she may prepare because he must laugh	because albus can hide a eclaire she may prepare the eclaire that she may prepare because he must laugh	1	1
since fred can chew the souffles since hagrid can run george may hide a doughnut that george should create	since fred can chew the souffles george can run since hagrid may hide a doughnut that george should create	0	0
fred must arrange the pancake that sirius can eat because petunia may make the eclaire that hagrid can sprinkle	fred must arrange the pancake that sirius can eat because fred may make the eclaire that sirius can sprinkle	1	1
because george should sprinkle the souffles since draco should jump hagrid should gobble the croissants which he should hide	because george should sprinkle the souffles since draco should jump voldemort should gobble the croissants which mcgonagall should hide	0	1
because draco must make a strudel since dobby must prepare a croissant that fred can make neville must run	because draco must make a strudel since dobby must prepare a croissant that fred must make neville can run	1	1
mcgonagall must eat the doughnuts since he should create many croissants that ginny can hide because she must laugh	mcgonagall must eat the doughnuts since he should create many chocolates that ginny can hide since she must swim	1	1
a professor may hide the croissants which ron must eat because harry must assemble the strudels that ron must hide	a professor may hide the croissants which ron must eat because harry must hide the strudels that ron must assemble	1	1
since a wizard must chew the cakes which he should eat fred should laugh because dobby should hide a cake	since a wizard must chew the cakes which he should eat dobby should chew a doughnut because fred should hide a eclaire	0	0
because she must assemble the eclaires because the student can hiccup neville must hide the baklava that mcgonagall can arrange	because she must assemble the eclaire because the student can hide many cakes neville must hide the baklava that mcgonagall can arrange	0	0
the professor should chew a chocolate that petunia may create because hermione should assemble the cakes that lily may chew	the professor should chew a chocolate that petunia may create because hermione should chew the cakes that she may assemble	0	1
since the witch must make the pancake which a wizard may hide because a student should laugh ron can party	since the witch must make the pancake which a wizard may hide because ron should laugh a student can party	0	1
since vernon must smile petunia must eat a strudel because fred should make the cakes which the student may prepare	since vernon must smile petunia must eat a strudel because fred should make the cakes which a student may prepare	1	1
because the witch must hiccup because hagrid must hide the croissant vernon should sprinkle a chocolate that she may arrange	because the witch must hiccup because hagrid must hide the croissant vernon should arrange a chocolate that she may sprinkle	1	1
petunia must eat a baklava that voldemort should assemble since a student may prepare the croissant that ginny should sprinkle	petunia must eat a baklava that a student should prepare since voldemort may sprinkle the croissant that ginny should assemble	0	1
since vernon can prepare the cake which hermione may assemble hagrid should arrange the pancake that a wizard may create	since vernon can prepare the cake which hermione may assemble hagrid should arrange the pancake that a professor may create	1	1
hagrid must make the eclaires that vernon must prepare since a student should chew a strudel because fred must hiccup	hagrid must make the eclaires that vernon must chew since a student should prepare a strudel because hagrid must hiccup	1	1
since lupin may hide the cookie since the student may jump george can hiccup since neville must chew the chocolates	since lupin may hide the cookie the student may jump since george can hiccup since ginny must chew many chocolates	0	0
a witch may arrange the souffle which draco can sprinkle since neville must run since voldemort can sprinkle the pancake	a witch may arrange the souffle which draco can hide since neville must sprinkle a cake because voldemort can sprinkle the doughnuts	0	0
because dobby should gobble the chocolate because draco must laugh he may create the souffles since the professor must party	because dobby should gobble the chocolate draco must laugh because he may create the souffles the professor must party	0	0
since voldemort should prepare the cookie that sirius must prepare james may hide the cookies that a student should arrange	since voldemort should prepare the cookie that sirius must hide james may prepare the cookies that a student should arrange	1	1
because sirius may make a souffle which hermione should hide she can prepare the souffles that the student may chew	because sirius may make a souffle that hermione should hide she can prepare the souffles which the student may chew	1	1
dobby should sprinkle the cakes because harry must assemble the doughnut since sirius must run because the student may wiggle	dobby should sprinkle the cakes because harry must run since the student must walk because sirius must run	0	0
because she must eat the strudels since she can jump the wizard must make the pancake which lupin should make	because she must eat the strudels since she can jump the professor must make the pancake which neville should make	1	1
since voldemort may sprinkle the souffles since george must hiccup harry can make a doughnut that a student must gobble	since voldemort may sprinkle the souffles since harry must hiccup george can make a doughnut that a student must gobble	1	1
since the student should assemble the eclaires that lily may eat albus should prepare the doughnuts which draco can eat	since the student should assemble the eclaires that lily may prepare draco should eat the doughnuts which albus can eat	1	1
because voldemort should wiggle neville can make the strudel since vernon should chew the baklava that a professor can hide	because voldemort should wiggle neville can make the souffles since vernon should chew a souffle that the professor can hide	0	1
since the witch may hide the cookie since the student should hide the chocolate the wizard must make a eclaire	since the witch may hide the cookie since the student should hide the chocolate a wizard must make the eclaire	1	1
lily must prepare the chocolates that lily may create since fred may prepare a cookie which a witch may gobble	lily must prepare the chocolates that lily may create since mcgonagall may prepare a cookie which dobby may gobble	0	0
harry should hide the croissant that ginny should arrange since snape should arrange a doughnut that a professor may create	harry should hide the croissant that ginny should arrange since petunia should arrange a cookie that a wizard may create	1	1
since he can swim since he may make a croissant which a professor can gobble ron may assemble the croissants	since he can swim since a professor may gobble a croissant which he can make since ron may assemble the strudel	0	0
draco can prepare a cake that the wizard must make since she must wiggle because draco should gobble many chocolates	draco can prepare a cake that the wizard must chew because draco must make many chocolates that she should gobble	0	0
because the witch should chew a chocolate george may run because she must arrange a pancake which albus may chew	because the witch should chew a chocolate george may run because hagrid must arrange a pancake which she may chew	0	1
since the witch should prepare the cookies which ron should make vernon may prepare a doughnut that she may hide	since the witch should prepare the cookies which ron should prepare vernon may giggle a she may hide	0	0
since james should hide the baklava which sirius may make she may gobble the croissant which a professor can make	since james should hide the baklava which hermione may make james may gobble a croissant which the student can make	0	1
because draco should arrange the eclaires lupin can walk since the professor can prepare the croissant that lily may hide	because draco should arrange the eclaires lupin can prepare the eclaire since the professor can hide the croissant that lily may walk	0	0
because a student can hide the souffle that snape can prepare lupin should sprinkle the chocolates that hagrid should eat	because a student can hide the souffle that she can prepare dobby should sprinkle the chocolates that hagrid should eat	0	1
because lupin can hide the eclaires that petunia should prepare she must hiccup because a professor should gobble a strudel	because lupin can hide the eclaires that petunia should prepare she must gobble because a professor should hide a strudel	0	0
a student must prepare the eclaires that he must sprinkle because voldemort may sprinkle the cookies which draco can arrange	a student must prepare the eclaires that he must sprinkle because draco may sprinkle the cookies which voldemort can arrange	1	1
because ron should hide the pancakes that a professor should create because she should hide the chocolates albus may giggle	because ron should hide the pancakes that a professor should create because should hide the doughnut that she may chew	0	0
because vernon may prepare the doughnuts that fred must hide harry may prepare many doughnuts because the professor should laugh	because vernon may prepare the doughnuts that fred must hide because may prepare many doughnuts since the professor should laugh	0	0
because hagrid may run voldemort should make a croissant because snape must create a pancake that a witch should hide	because hagrid may run voldemort must eat a pancake because she should hide a croissant that a witch should create	0	1
lily should jump since sirius should eat a croissant which lupin must prepare because a wizard should create the eclaire	lily should jump since sirius should prepare a croissant which lupin must eat because a wizard should create the eclaire	1	1
since the student can sprinkle a croissant which she may gobble she must make the cookie that james may make	since the student can sprinkle a croissant which she may gobble she must make the pancakes that james may make	0	1
because ron should make the cake which she may eat a professor may gobble the cake that petunia can gobble	because ron should make the cake which she may eat petunia may gobble a cake that the professor can gobble	0	1
because snape may prepare the strudels that lupin may hide hermione must create the strudels that the witch can chew	because snape may prepare the strudels that lupin may hide hermione must create the strudels that lupin may chew the cookies	0	1
because lily should arrange a eclaire that vernon can assemble the professor must arrange the pancake that hagrid can assemble	because lily should arrange a doughnut that the student can assemble vernon must arrange the pancake that dobby can assemble	0	1
since george can arrange a eclaire that voldemort can prepare hermione should create the souffle that the witch should chew	since george can arrange a eclaire that voldemort can prepare hermione should prepare the souffle that the witch should gobble	1	1
since vernon should assemble many doughnuts voldemort can gobble the pancake that hagrid can eat because a witch must swim	since vernon should assemble many doughnuts voldemort can gobble the pancake because hagrid must eat a doughnut that voldemort can make	0	0
since ginny may eat many croissants which he can prepare since dobby can hide a strudel a wizard should hiccup	since ginny may eat many croissants since he can prepare a eclaire which dobby can hide a wizard should hide many doughnuts	0	0
james may hide a baklava since snape may chew the baklava that she should create since a professor may wiggle	james may hide a baklava since snape may chew the baklava that lily should create since a professor may chew many cookies	0	0
because vernon may arrange the cookie which a student must gobble neville should assemble the cookies that ginny may eat	because vernon may arrange a cookie which the student must gobble neville should assemble the cookies that ginny may eat	1	1
because ginny should assemble the doughnuts that a student must make since george should eat a souffle harry must hiccup	because ginny should assemble the doughnuts that a student must make since george should a souffle since harry must hiccup	0	0
voldemort must hide the chocolate because ginny must gobble the baklava which a wizard may gobble since petunia may laugh	voldemort must hide the chocolate because ginny must gobble the baklava which a wizard may hide because sirius may hiccup	1	1
since the student must hiccup since voldemort should eat the doughnut sirius should arrange a eclaire which neville must hide	since the student must smile since voldemort should eat the eclaire sirius should hide a eclaire which neville must arrange	1	1
since james must eat a doughnut petunia should gobble the cakes that george should create since a student can swim	since james must eat a doughnut petunia should gobble the cakes that a student should create since george can swim	0	1
because a student may run ginny should gobble the cakes which sirius can sprinkle because albus must hide many cakes	because a student may run ginny should sprinkle the cakes because sirius must gobble many cakes which albus must hide	0	0
since harry should make many pancakes lupin should walk since she can sprinkle the souffles that the student may gobble	since harry should make many souffles lupin should walk since she can sprinkle the pancakes that the student may gobble	1	1
because ginny can jump mcgonagall should gobble a cookie which the student can sprinkle since voldemort must prepare the souffle	because ginny can jump since should gobble a cookie which the witch must sprinkle since the student can prepare a souffle	0	0
james can hide the chocolates that a professor can sprinkle because dobby must hide many cookies which she must hide	james can hide the chocolates which a professor can sprinkle because neville must hide many cookies that dobby must hide	0	1
the wizard may create the pancake that sirius may hide because harry may run since snape may assemble the eclaire	the wizard may create the pancake that sirius may hide because snape may run since harry may assemble the eclaire	1	1
since the student may chew the strudels which ginny must hide sirius may giggle because voldemort must hide the souffle	since the student may chew the strudels which ginny must hide voldemort may giggle because sirius must hide the souffle	1	1
james should hide the souffle that george can chew because a wizard should assemble a chocolate that he must hide	james should hide the souffle that a wizard can chew because draco should assemble a chocolate that george must hide	0	1
a witch must hide many pancakes that lupin should create because snape should make the souffles which james should sprinkle	a witch must hide many pancakes that lupin should create because snape should make the souffles which she should sprinkle	0	1
since lupin must chew a doughnut that lupin should eat hermione may gobble a cookie that the student must assemble	since lupin must chew a doughnut that hermione should eat lupin may gobble a cookie that the student must assemble	1	1
since vernon can prepare the cookies sirius should create the cakes which a wizard must chew because lily may party	since vernon can prepare the cookies sirius should eat the cakes which a wizard must hide because lily may party	1	1
because a student must chew a strudel which mcgonagall can make draco must eat the souffles that ginny should create	because a student must chew a strudel which mcgonagall can make draco must eat the souffles that mcgonagall should create	1	1
since neville should walk because she can sprinkle the pancakes the witch must hide a cookie that harry must arrange	since neville should walk because she can hide the pancakes the witch must sprinkle a cookie that harry must arrange	1	1
lily can sprinkle a baklava which ron should prepare since ginny should arrange a cake that the professor may sprinkle	lily can sprinkle a baklava that lily should prepare since a should arrange a cake which the professor may sprinkle	0	0
because ginny can run since a student should prepare the cookies vernon can assemble the baklava that voldemort must gobble	because ginny can run since a student should prepare the cookies voldemort can assemble the baklava that vernon must gobble	1	1
since snape must chew a doughnut the professor should run since petunia should create a souffle that the student should arrange	since snape must chew a doughnut petunia should should run since the professor should create a souffle that petunia should arrange	0	0
