Target Sentence,Predicted Sentence,Source Length,Target Length,Prediction Length,Correct Transformation,Parseable,Preserves Identical Tree Structure,"Preserves Significant Clauses (S, AdvP, RelP)"
because the student must create the cookies that lupin must assemble sirius may walk,because the student should arrange the cookies that lupin may assemble the cookies that lupin may assemble,14,14,17,0,0,N/A,N/A
since neville must sprinkle a doughnut a wizard can create the eclaires,since a must eat the eclaires that james must create,12,12,10,0,0,N/A,N/A
because he can arrange the baklava a witch must eat the eclaire,because a can arrange the baklava a student should arrange the baklava,12,12,12,0,0,N/A,N/A
because mcgonagall must make the pancakes hagrid should make many souffles,because she must make many souffles hagrid should make many souffles,11,11,11,0,1,0,1
since ron must create a eclaire since a student must sprinkle a pancake fred may assemble a chocolate that a witch can gobble,since a wizard must gobble a eclaire that ron can gobble,23,23,11,0,1,0,0
because dobby must wiggle vernon may assemble a pancake that ginny must assemble since draco can create a baklava which ron should eat,because a professor must assemble the chocolates that a professor should assemble because a ron must assemble,23,23,17,0,0,N/A,N/A
because the professor may make the croissants since hermione should create the baklava that a professor may prepare vernon should eat the strudels,because the professor may make the baklava that the professor must hide the baklava that the should assemble the baklava that the should create,23,23,24,0,0,N/A,N/A
because petunia can assemble the croissants since harry may prepare the croissants vernon may hiccup,because harry may assemble the croissants since harry may assemble the croissants since harry may assemble the croissants,15,15,18,0,1,0,0
since lily should eat the baklava george can chew a strudel that hagrid must arrange,since should eat the baklava that hagrid must eat the baklava that hagrid must eat the eclaires,15,15,17,0,0,N/A,N/A
since draco can create the doughnuts that albus may make albus may arrange the croissant,since draco can create the doughnuts that the should arrange the doughnuts that the student may create,15,15,17,0,0,N/A,N/A
since she should hide many doughnuts which he must prepare albus may prepare a eclaire,since she should hide many doughnuts which she should hide,15,15,10,0,1,0,0
because james must swim since lily must assemble the chocolate george should assemble the cookie,because james must assemble the chocolate since neville should assemble the chocolate,15,15,12,0,1,0,0
because draco should eat the baklava mcgonagall should eat many baklava that he can prepare,draco should eat the baklava that the should assemble many baklava that the should assemble,15,15,15,0,0,N/A,N/A
because harry should arrange the souffle that mcgonagall must gobble albus may prepare the croissants,harry harry should arrange the souffle that a student should arrange the souffle that a student should arrange,15,15,18,0,0,N/A,N/A
because she must assemble the croissant albus may create the croissant which hermione may sprinkle,because she must assemble the croissant which a professor should assemble the croissant which a student should assemble,15,15,18,0,0,N/A,N/A
because she must assemble the eclaires since albus should hiccup neville must make the doughnuts,because she must make the eclaires since james must assemble the eclaires since james must assemble the eclaires since james must assemble the eclaires since james must create the doughnuts,15,15,30,0,1,0,0
because neville should prepare a pancake that hagrid can hide vernon may create the croissant,because neville should prepare a croissant that dobby should create,15,15,10,0,1,0,0
since lupin must create the souffles snape should sprinkle the cookies which dobby can eat,since must assemble the cookies which the professor should sprinkle the cookies which mcgonagall should sprinkle,15,15,16,0,0,N/A,N/A
because sirius should assemble the strudel that a witch may prepare the wizard can party,because should assemble the strudel that the professor should assemble the strudel that ginny can assemble,15,15,16,0,0,N/A,N/A
since he must make the baklava that ginny may arrange ron must chew the doughnuts,since he must make the baklava that the should chew the baklava that the should create the baklava that the should create the baklava that the should create,15,15,28,0,0,N/A,N/A
since a wizard may prepare many chocolates which mcgonagall must hide hagrid must assemble the cakes that james must chew,since a wizard must prepare many cakes that mcgonagall must assemble,20,20,11,0,1,0,0
because fred must assemble a pancake which voldemort must chew the student can arrange the cake which ron may create,because sirius must assemble the croissants which ron can arrange the croissants which ron can arrange the croissants which ron can arrange,20,20,22,0,0,N/A,N/A
since fred can assemble the pancakes that she should eat since lupin must prepare the doughnuts voldemort can hiccup,since fred can assemble the pancakes that lupin can assemble the pancakes that lupin should assemble,19,19,16,0,0,N/A,N/A
because albus must create a baklava that george must assemble sirius can prepare the baklava that hagrid can gobble,because albus must assemble the baklava that hagrid must eat the baklava that the professor must chew,19,19,17,0,0,N/A,N/A
because dobby may create many doughnuts that hagrid should gobble mcgonagall may assemble the pancake that lily must arrange,because dobby may arrange the doughnuts that a student should assemble the pancake that sirius may assemble,19,19,17,0,0,N/A,N/A
because mcgonagall must chew the cookies that hermione should make he should make many doughnuts which hermione can make,because a professor must assemble many cookies that the should assemble many cookies that dobby must chew,19,19,17,0,0,N/A,N/A
since sirius can gobble the doughnut because she should prepare the strudels fred may create the chocolates,since sirius can gobble the doughnut because she should gobble the souffles because fred may gobble the souffles,17,17,18,0,1,0,0
since the professor can assemble the souffles a student may chew many eclaires that lupin can sprinkle,since the professor can assemble the souffles that lupin may assemble the souffles that lupin may assemble,17,17,17,0,0,N/A,N/A
since george must chew a eclaire draco must make the cake,since george must make the chocolates since neville must make a cake,11,11,12,0,1,0,0
because she should eat a baklava voldemort must arrange the pancakes,because she should assemble a doughnut,11,11,6,0,1,0,0
because she should prepare a pancake fred must chew the souffles,because she should chew the souffles,11,11,6,0,1,0,0
because draco should make the doughnuts james should arrange the doughnuts which george should gobble,because draco should make the doughnuts which draco should make the doughnuts which draco should make the doughnuts which draco should make,15,15,22,0,0,N/A,N/A
because hagrid should chew the eclaire vernon can arrange the croissants which lupin can assemble,because hagrid should chew the eclaire which lupin must arrange the eclaire which lupin can arrange the eclaire which lupin can arrange the eclaire which lupin can arrange,15,15,28,0,0,N/A,N/A
because harry must gobble the cake since draco may giggle she should create many croissants,because a professor can gobble the chocolates since harry may gobble the chocolates since harry may gobble the chocolates,15,15,19,0,1,0,0
because draco should arrange the doughnut she can eat the cookie which he must make,because draco should arrange the cookie which a professor should arrange the cookie which a professor can arrange,15,15,18,0,0,N/A,N/A
since fred should arrange a baklava he should chew a pancake that a witch must prepare,since fred should arrange a baklava that a student should create a eclaire that a student should create,16,16,18,0,0,N/A,N/A
since lupin should gobble the baklava a professor may hide a doughnut which he can sprinkle,since should gobble the baklava which the student should gobble the baklava which the student should gobble,16,16,17,0,0,N/A,N/A
because voldemort must prepare the eclaires which albus must chew james must chew the eclaires that he can eat,voldemort should assemble the eclaires that because hagrid must prepare the eclaires that a must eat,19,19,16,0,0,N/A,N/A
since a student can sprinkle the cakes since a witch must wiggle the witch may eat a eclaire,since a wizard can sprinkle the cakes since james may sprinkle the cakes,18,18,13,0,1,0,0
because harry can arrange the cookie she should jump,because harry can arrange the cookie because harry should arrange the cookie,9,9,12,0,1,0,0
since george can hide many eclaires she may jump,since george can hide many eclaires which ron can hide,9,9,10,0,1,0,0
because ron should sprinkle a strudel albus may giggle,because should can giggle a strudel,9,9,6,0,0,N/A,N/A
because hermione should create the baklava george can party,because should should party since the should arrange a baklava,9,9,10,0,0,N/A,N/A
because sirius should assemble the pancakes mcgonagall should party,because sirius should assemble the pancakes mcgonagall should assemble the pancakes,9,9,11,0,1,0,0
since she must smile snape must eat the baklava that petunia must prepare,since she must eat the baklava that the should create the baklava that the should create,13,13,16,0,0,N/A,N/A
because ginny may make the strudel since dobby must hiccup dobby should wiggle,because ginny may make the strudel since james should make the strudel since james should make the strudel since james should make,13,13,22,0,1,0,0
since james should gobble the cake that george must sprinkle she should laugh,since james should gobble the chocolates that neville must gobble the chocolates that neville must gobble,13,13,16,0,0,N/A,N/A
because harry can wiggle james can make the cakes that harry can prepare,harry harry may make the cakes that the professor should make a cakes that harry may assemble,13,13,17,0,0,N/A,N/A
because he must make a croissant that fred can hide fred must walk,because she must walk a croissant that because sirius must assemble,13,13,11,0,0,N/A,N/A
since a witch can assemble the cookie that snape must prepare a student must gobble many pancakes that albus may eat,since a witch can assemble the cookie that snape can assemble the cookie that snape can assemble,21,21,17,0,0,N/A,N/A
because ginny may make many doughnuts ron may create the souffles which draco should make since hermione should eat the eclaires,because ginny may make many doughnuts which ron may chew,21,21,10,0,1,0,0
because harry should eat the chocolate that george must hide since she should sprinkle the pancakes albus may create the baklava,because harry should eat the chocolate that a professor should sprinkle the should assemble the pancakes that the student must sprinkle the chocolate that a student should sprinkle,21,21,28,0,0,N/A,N/A
since hagrid may chew many cakes mcgonagall can sprinkle the croissant that voldemort should eat,since hagrid may sprinkle the croissant that the professor can sprinkle,15,15,11,0,1,0,0
because vernon should make the cakes that petunia can gobble lily must assemble the chocolate,because vernon should make the chocolate that the should assemble the cakes that petunia can assemble the cakes that petunia can assemble the cakes that petunia can assemble,15,15,28,0,0,N/A,N/A
since james should prepare the eclaires that ginny should create he must prepare a cookie,since james should prepare the eclaires that a student must prepare the eclaires that he must prepare,15,15,17,0,0,N/A,N/A
because vernon can hiccup george may gobble the pancakes because he must chew the souffles,because vernon can assemble the pancakes because harry must assemble the pancakes,15,15,12,0,1,0,0
since snape can gobble many chocolates which a witch may assemble because albus can sprinkle a pancake she can chew the eclaires,since snape can gobble many cakes which she may swim,22,22,10,0,1,0,0
because the wizard can smile she may make a cake,because the wizard can eat many strudels,10,10,7,0,1,0,0
since ginny must gobble the eclaires a student can smile,since must gobble the eclaires that james can gobble the eclaires,10,10,11,0,0,N/A,N/A
because a student may assemble the eclaire draco may walk,because a student may assemble the eclaire draco must assemble the eclaire,10,10,12,0,1,0,0
since snape can create the chocolate the student may assemble the chocolates that the wizard should chew,since snape can create the chocolate that the student may assemble the chocolate that the professor may assemble the chocolate that the professor may assemble the chocolate that the professor,17,17,30,0,0,N/A,N/A
since a wizard may sprinkle the baklava ginny should create the doughnut which the student may arrange,since a wizard must sprinkle the baklava which the student may sprinkle the baklava which the student may sprinkle,17,17,19,0,0,N/A,N/A
because fred should assemble a baklava draco must laugh since a wizard should gobble many strudels,because a professor should gobble many strudels because neville must gobble many strudels,16,16,13,0,1,0,0
since a professor can chew a eclaire mcgonagall must chew many chocolates which petunia may chew,since a professor must chew many chocolates which snape may chew many chocolates which snape may chew,16,16,17,0,0,N/A,N/A
since snape should make the baklava because a student must sprinkle the baklava ginny may hiccup,since snape should make the baklava because a student should sprinkle a baklava,16,16,13,0,1,0,0
since a professor can arrange the strudel since neville should create the cakes ron may swim,since a professor can sprinkle the strudel ron may make the croissant which ron can make,16,16,16,0,1,0,0
since neville should smile since mcgonagall should hide the chocolates that a wizard may prepare snape can assemble the doughnut,since neville should hide the doughnut that ginny should assemble the doughnut that ginny should assemble,20,20,16,0,0,N/A,N/A
because a witch may hide a eclaire that she should eat fred may assemble the doughnuts which albus may assemble,because a witch should assemble the doughnuts that she may assemble the doughnuts that mcgonagall may assemble the doughnuts,20,20,19,0,0,N/A,N/A
because fred should sprinkle the doughnut she can arrange the cakes,because fred should sprinkle the doughnut because fred can sprinkle the doughnut,11,11,12,0,1,0,0
because fred should swim petunia must laugh because voldemort must giggle,because fred should swim petunia should laugh because she must assemble because george must laugh,11,11,15,0,1,0,0
since lily can arrange the doughnuts vernon can gobble the cakes,since lily can arrange the doughnuts that she can gobble the doughnuts since hermione can gobble the doughnuts,11,11,18,0,0,N/A,N/A
since harry must chew the strudels snape should hide the chocolates,since harry must hide the strudels since james must hide the strudels snape may hide the strudels,11,11,17,0,1,0,0
because ron can assemble the doughnut snape must prepare a cake,because snape can assemble the doughnut ron should assemble the doughnut,11,11,11,0,1,1,1
because james must make the chocolates since harry can prepare the chocolate lily should arrange the cakes which ginny should assemble,because james can prepare the chocolate which a witch should prepare the chocolate which a witch should prepare the chocolate which a professor should prepare,21,21,25,0,0,N/A,N/A
because the professor must assemble many souffles that the wizard can hide hermione can gobble many chocolates,because the professor must gobble many souffles that the wizard should gobble many souffles,17,17,14,0,0,N/A,N/A
since the wizard must hide the pancake mcgonagall should gobble the doughnuts that the witch may assemble,since the wizard must hide the pancake that the should gobble the doughnuts that the should prepare,17,17,17,0,0,N/A,N/A
since vernon must hide the souffles the wizard can chew the cookies which neville can make,since vernon must hide the souffles which the can hide the souffles which the can chew,16,16,16,0,0,N/A,N/A
since george must gobble the souffle hagrid must assemble the strudels which the wizard can prepare,since george must gobble the souffle which the student must gobble the souffle which the student must gobble the souffle which the student must gobble the souffle which the student,16,16,30,0,0,N/A,N/A
since george can make many cookies hagrid may assemble a croissant that the witch can hide,since george can swim many cookies that the can make many cookies that the can make,16,16,16,0,0,N/A,N/A
since snape must assemble a doughnut ron must assemble the strudel that mcgonagall may chew,since snape must assemble the strudel that ginny must assemble the eclaires that mcgonagall must assemble the eclaires that mcgonagall must assemble,15,15,22,0,0,N/A,N/A
since lupin must prepare a chocolate fred should prepare a doughnut which ginny can arrange,since must assemble a baklava must assemble a baklava which lupin may assemble a strudel which voldemort can arrange,15,15,19,0,0,N/A,N/A
since lily should chew the cookies which the professor can arrange a student can hiccup,since should chew the cookies which the should chew the cookies which the should laugh,15,15,15,0,0,N/A,N/A
since he may sprinkle the eclaires which ron may assemble sirius must wiggle,he may sprinkle the eclaires which voldemort may sprinkle the eclaires which voldemort may sprinkle,13,13,15,0,0,N/A,N/A
because dobby must chew the cake that voldemort must assemble mcgonagall must walk,because a professor must chew the chocolates that a professor should chew the chocolates that a professor should chew,13,13,19,0,0,N/A,N/A
since draco must eat the pancake which hermione may assemble lily can swim,since draco must swim since a professor can swim,13,13,9,0,1,0,0
since she should make the doughnuts lily should arrange many baklava,since she should make many doughnuts,11,11,6,0,1,0,0
since albus must arrange the cookies he may sprinkle a cake,since albus must arrange the cookies,11,11,6,0,1,0,0
since the professor can create the baklava which hagrid may hide fred must create many strudels which ginny may gobble,since the student can prepare the chocolates which snape must eat the baklava which snape must eat,20,20,17,0,0,N/A,N/A
because ginny should arrange a cookie that lily may assemble vernon may sprinkle a doughnut which a professor should create,because ginny should assemble a cookie that dobby must assemble because that a student should assemble because that a student should assemble vernon should assemble,20,20,25,0,0,N/A,N/A
because sirius must make the souffles that she can chew mcgonagall can eat many doughnuts that a witch must eat,because sirius must make the souffles that she can create many doughnuts that she can create many doughnuts that she can create,20,20,22,0,0,N/A,N/A
since fred must chew a eclaire lily may prepare the chocolates,since fred must prepare the chocolates since neville may prepare the chocolates,11,11,12,0,1,0,0
since mcgonagall can eat a chocolate hermione may chew the eclaires,since mcgonagall can eat the eclaires which ginny may chew,11,11,10,0,1,0,0
because the professor can create the cookies a student must smile,because the wizard must smile,11,11,5,0,1,0,0
since george should make a pancake he must chew the croissants,since george should make the croissants,11,11,6,0,1,0,0
because hermione may prepare the pancakes which hermione must gobble voldemort must party,because petunia may prepare the pancakes which a student may prepare,13,13,11,0,1,0,0
because ginny may hiccup draco can chew the cakes that james must hide,because ginny may can the cakes that the professor must chew,13,13,11,0,0,N/A,N/A
since voldemort should swim fred can chew the croissants that fred should prepare,voldemort should swim because fred must chew the croissants that she must chew,13,13,13,0,1,0,0
because james should party lupin must hide the pancake that neville should gobble,because james must hide the pancake that she must hide,13,13,10,0,1,0,0
because mcgonagall should sprinkle a cake hermione should create the eclaires,because mcgonagall should assemble the eclaires which a student should assemble the eclaires,11,11,13,0,0,N/A,N/A
since draco may create a eclaire the wizard can swim,since james may swim since neville may not swim,10,10,9,0,1,0,0
because petunia should swim a student must assemble the doughnut,because a professor should assemble the doughnut,10,10,7,0,1,0,0
since a professor must chew the eclaire snape must sprinkle a eclaire that albus should gobble,since a professor must sprinkle a eclaire that snape should gobble,16,16,11,0,1,0,0
since the student may hide the croissant lupin should make a strudel that she may gobble,since the student may hide the croissant that lupin may hide the croissant that lupin may hide,16,16,17,0,0,N/A,N/A
because hagrid can create the chocolate which the student may prepare because ginny should chew the doughnut hermione can swim,because hagrid can create a chocolate which the should chew because a can arrange a chocolate which the should chew because,20,20,21,0,0,N/A,N/A
since dobby should sprinkle the croissants that the wizard can arrange draco must arrange the pancakes which fred can make,since dobby should sprinkle the croissants which the professor should sprinkle the croissants that the should sprinkle,20,20,17,0,0,N/A,N/A
because ginny must assemble the baklava because the wizard must smile lily can arrange the croissant which james may chew,because the student should assemble the croissant which mcgonagall must create the croissant,20,20,13,0,0,N/A,N/A
because a professor may make the doughnut the student can party since harry can hiccup,because a wizard can hiccup can may laugh since petunia may chew a doughnut,15,15,14,0,0,N/A,N/A
since ginny may gobble the chocolate that he must sprinkle harry should create the eclaire,since ginny may gobble the chocolate that he may gobble the chocolate that a student should gobble,15,15,17,0,0,N/A,N/A
because lupin must sprinkle many strudels that dobby should sprinkle hermione should gobble many croissants,because james must sprinkle many cakes that ginny must gobble,15,15,10,0,1,0,0
since hagrid should eat the doughnut that she can chew sirius can arrange the doughnuts,since hagrid should eat the doughnut that the professor can arrange the should make the doughnut that the professor can arrange the doughnut that the can arrange the doughnut that,15,15,30,0,0,N/A,N/A
since fred should sprinkle the pancakes which harry should hide draco must prepare many strudels,since fred should sprinkle the pancakes which vernon should sprinkle the pancakes which vernon should sprinkle,15,15,16,0,0,N/A,N/A
since ginny should make the cake that ginny may assemble a professor may eat many strudels,since ginny should make the chocolates that ginny should make the strudels that ginny should hide,16,16,16,0,0,N/A,N/A
since fred should arrange a cake which a student can assemble fred should sprinkle a cake,since fred should arrange a cookie which fred can assemble a eclaire which fred can assemble a souffle which fred can assemble,16,16,22,0,0,N/A,N/A
because lupin must create the strudel sirius should assemble a cookie which a professor must arrange,because must assemble a eclaire which lupin may assemble a eclaire which lupin may chew,16,16,15,0,0,N/A,N/A
because ginny should sprinkle the souffles vernon must make the baklava which the student should gobble,because vernon should sprinkle the souffles which the professor should sprinkle the souffles which the professor should sprinkle,16,16,18,0,0,N/A,N/A
since snape must wiggle hermione may eat a souffle which the wizard must gobble,since snape must not run,14,14,5,0,1,0,0
because ginny must smile george must eat the souffle that a witch should assemble,because ginny must eat the souffle that a student should eat the souffle that a student should eat the souffle that a student should eat,14,14,25,0,0,N/A,N/A
because mcgonagall should gobble a cake draco should party since george may jump,because should should party a student should jump,13,13,8,0,0,N/A,N/A
because she should run since dobby may gobble a pancake james must gobble the souffles which a student should hide since ron can smile,because vernon should run since dobby must create the souffles which ron must create,24,24,14,0,1,0,0
since mcgonagall may smile petunia can chew the croissant which ginny can prepare since neville should prepare the chocolate that she can gobble,since petunia can chew the croissant which mcgonagall may prepare the croissant should assemble the croissant that a student should prepare the chocolate that petunia must prepare,23,23,27,0,0,N/A,N/A
since hagrid can smile fred should eat a pancake that george must sprinkle,since hagrid can party fred should smile fred should assemble fred can arrange,13,13,13,0,0,N/A,N/A
since harry should jump fred may gobble a chocolate that albus must gobble,harry harry must party fred may party fred may party,13,13,10,0,0,N/A,N/A
because lily must make the eclaire that george can make snape can walk,because she must make a eclaire that the professor must walk,13,13,11,0,1,0,0
because george should hiccup ron must create the doughnut that snape should prepare because he can laugh,because george should hiccup since a professor should laugh,17,17,9,0,1,0,0
because the wizard should gobble a pancake lily may assemble a strudel that a witch may prepare,because the should assemble the chocolates that a student should arrange the cookie that a student should arrange,17,17,18,0,0,N/A,N/A
because fred should eat the cakes that the witch must create a wizard can eat the cake,because fred should eat the cakes that the should assemble the cakes that the should assemble,17,17,16,0,0,N/A,N/A
because fred must hide many souffles that the student must arrange the wizard may hide the baklava,because fred must hide many souffles that the witch should chew,17,17,11,0,1,0,0
because the witch must create many doughnuts that voldemort may eat lupin must prepare the croissants which ron should sprinkle,because the witch must the cookie that ron should assemble the doughnuts that the student should arrange,20,20,17,0,0,N/A,N/A
since the wizard should chew the baklava that fred can arrange vernon should create the pancakes which albus must make,since the should chew the baklava that fred may chew the baklava that fred may chew,20,20,16,0,0,N/A,N/A
since dobby can create a eclaire that vernon must make hagrid can hide the croissants which the professor must hide,since dobby can hide the croissants that the witch can hide the chocolates that the witch can hide,20,20,18,0,0,N/A,N/A
because fred should gobble a doughnut that snape should hide a wizard may make the pancake that james can hide,because fred should gobble a pancake that snape may assemble a pancake that snape may assemble,20,20,16,0,0,N/A,N/A
since the wizard should make a croissant which draco can create neville should chew the eclaires,since the should chew the eclaires which the witch should chew,16,16,11,0,0,N/A,N/A
because he may prepare the cakes hermione may chew a cookie since vernon can assemble many doughnuts which a wizard should gobble,he may eat since the may assemble since she may assemble since she may assemble since she may assemble many cakes which she must assemble,22,22,25,0,0,N/A,N/A
because petunia should create a cake ginny should create the doughnuts since mcgonagall can sprinkle the doughnut that a student may prepare,because petunia should sprinkle the doughnut that the professor can sprinkle since a professor should sprinkle the doughnut that the professor can sprinkle,22,22,23,0,1,0,0
because george can assemble many eclaires because fred must assemble the baklava which the wizard can arrange she should eat a cake,because the wizard can assemble many eclaires which a student must chew,22,22,12,0,1,0,0
since ron should chew a cake since snape may prepare a baklava hagrid may prepare many strudels that voldemort may prepare,since snape should prepare a cake since ron should prepare many strudels that ginny should hide,21,21,16,0,1,0,0
because sirius must prepare many baklava since a professor should giggle hermione should sprinkle the baklava that the wizard can arrange,sirius must sprinkle the baklava that the should arrange because mcgonagall should sprinkle the baklava that the should sprinkle,21,21,19,0,0,N/A,N/A
since he should assemble the chocolates the student should create many chocolates which the witch may prepare since dobby should jump,since he should assemble the chocolates which the student should assemble the chocolates which the student should assemble the chocolates which the student should assemble,21,21,25,0,0,N/A,N/A
because neville can chew the chocolate which the wizard should gobble he can sprinkle the pancake which neville can make,because the wizard can chew the chocolate which the professor can sprinkle the chocolate which the professor can sprinkle,20,20,19,0,0,N/A,N/A
