target,prediction,source length,target length,prediction length,correct,Preserves Tree Structure,Preserves Significant Clauses,Negates Main Verb,Negates Target Verb,Negates Target Verb in Main Clause,Negation Present Outside the Main Clause,Parseable
since petunia may arrange a strudel that the student may eat a wizard should not hide the souffle because lupin may make the cakes,since petunia may arrange a strudel that the student may eat a wizard should not hide the souffle because lupin may hide,23,24,22,0,0,0,1,1,1,0,1
since the wizard must eat a baklava lupin may not hide the cookies since voldemort should hide the croissant that he may create,since the wizard must eat a baklava lupin may not hide the cookies since voldemort should hide the croissant that he should hide,22,23,23,0,1,1,1,1,1,0,1
since the witch must gobble the doughnuts which lupin can assemble mcgonagall must not eat a cookie which the student should prepare,since the witch must gobble the doughnuts which lupin can assemble mcgonagall must not eat a cookie which the student should prepare,21,22,22,1,1,1,1,1,1,0,1
because george can sprinkle a chocolate that vernon may gobble fred must not gobble the souffles since dobby can make the doughnut,because george can sprinkle a chocolate that vernon may gobble fred must not gobble the souffles since dobby can make the souffles,21,22,22,0,0,1,1,1,1,0,1
since a professor must run since he may create the eclaire a student may not chew the doughnuts because he should hiccup,since a professor must run since he may create the eclaire a student may not chew the doughnuts because he should chew,21,22,22,0,1,1,1,1,1,0,1
the wizard must not arrange the croissant that albus must make,the wizard must not arrange the croissant that albus must make,10,11,11,1,1,1,1,1,1,0,1
a professor can not gobble the strudels which lily must make,a professor can not gobble the strudels which lily must make,10,11,11,1,1,1,1,1,1,0,1
james must not assemble a cake that the professor can prepare,james must not assemble a cake that the professor can prepare,10,11,11,1,1,1,1,1,1,0,1
fred may not walk,fred may not walk,3,4,4,1,1,1,1,1,1,0,1
ginny must not swim,ginny must not swim,3,4,4,1,1,1,1,1,1,0,1
ron must not swim,ron must not swim,3,4,4,1,1,1,1,1,1,0,1
mcgonagall should not smile,mcgonagall should not smile,3,4,4,1,1,1,1,1,1,0,1
sirius must not walk,sirius must not walk,3,4,4,1,1,1,1,1,1,0,1
ginny should not walk,ginny should not walk,3,4,4,1,1,1,1,1,1,0,1
sirius must not prepare the cake,sirius must not prepare the cake,5,6,6,1,1,1,1,1,1,0,1
sirius can not gobble a souffle,sirius can not gobble a souffle,5,6,6,1,1,1,1,1,1,0,1
a student may not create the doughnuts,a student may not create the doughnuts,6,7,7,1,1,1,1,1,1,0,1
the witch may not gobble the croissants,the witch may not gobble the croissants,6,7,7,1,1,1,1,1,1,0,1
the student may not make the cake,the student may not make the cake,6,7,7,1,1,1,1,1,1,0,1
a professor can not prepare a chocolate,a professor can not prepare a chocolate,6,7,7,1,1,1,1,1,1,0,1
ron may not prepare a eclaire because dobby should gobble a chocolate,ron may not prepare a eclaire because dobby should gobble a chocolate,11,12,12,1,1,1,1,1,1,0,1
mcgonagall must not gobble the cookie because fred may make many strudels,mcgonagall must not gobble the cookie because fred may make many strudels,11,12,12,1,1,1,1,1,1,0,1
because lupin must gobble the souffle lupin must not make the baklava,because lupin must gobble the souffle lupin must not make the baklava,11,12,12,1,1,1,1,1,1,0,1
hagrid can not arrange the cakes since she should make many cakes,hagrid can not arrange the cakes since she should make many cakes,11,12,12,1,1,1,1,1,1,0,1
ron must not sprinkle the croissants,ron must not sprinkle the croissants,5,6,6,1,1,1,1,1,1,0,1
mcgonagall should not prepare a baklava,mcgonagall should not prepare a baklava,5,6,6,1,1,1,1,1,1,0,1
hagrid can not arrange the chocolate,hagrid can not arrange the chocolate,5,6,6,1,1,1,1,1,1,0,1
he must not assemble the pancakes,he must not assemble the pancakes,5,6,6,1,1,1,1,1,1,0,1
james may not swim,james may not swim,3,4,4,1,1,1,1,1,1,0,1
albus may not wiggle,albus may not wiggle,3,4,4,1,1,1,1,1,1,0,1
she must not run,she must not run,3,4,4,1,1,1,1,1,1,0,1
she must not hiccup,she must not hiccup,3,4,4,1,1,1,1,1,1,0,1
sirius may not eat the strudels because dobby can laugh because he should make the pancake that a wizard should hide,sirius may not eat the strudels because dobby can laugh because he should make the pancake that a wizard should hide,20,21,21,1,1,1,1,1,1,0,1
since sirius must make the cakes which mcgonagall should create the professor must not create the pancakes which albus must sprinkle,since sirius must make the cakes which mcgonagall should create the professor must not create the pancakes which albus must sprinkle,20,21,21,1,1,1,1,1,1,0,1
lupin must not arrange the chocolates that lupin may create since a professor should gobble the baklava that she should gobble,lupin must not arrange the chocolates that lupin may create since a professor should gobble the baklava that she should gobble,20,21,21,1,1,1,1,1,1,0,1
since voldemort should gobble the chocolate the professor should not chew a cookie,since voldemort should gobble the chocolate the professor should not chew a cookie,12,13,13,1,1,1,1,1,1,0,1
because a witch should eat the croissants petunia should not sprinkle the baklava,because a witch should eat the croissants petunia should not sprinkle the baklava,12,13,13,1,1,1,1,1,1,0,1
draco may not prepare a chocolate since the student must prepare a doughnut,draco may not prepare a chocolate since the student must prepare a doughnut,12,13,13,1,1,1,1,1,1,0,1
since ginny should gobble many croissants the student must not prepare a cookie,since ginny should gobble many croissants the student must not prepare a cookie,12,13,13,1,1,1,1,1,1,0,1
fred must not chew the doughnuts which george must make since he must arrange the croissants,fred must not chew the doughnuts which george must make since he must arrange the croissants,15,16,16,1,1,1,1,1,1,0,1
because a professor may smile dobby must not prepare a baklava,because a professor may smile dobby must not prepare a baklava,10,11,11,1,1,1,1,1,1,0,1
albus may not sprinkle the chocolate that the wizard must eat,albus may not sprinkle the chocolate that the wizard must eat,10,11,11,1,1,1,1,1,1,0,1
lupin may not arrange many cakes which she must assemble,lupin may not arrange many cakes which she must assemble,9,10,10,1,1,1,1,1,1,0,1
ron can not eat a chocolate that lupin can make,ron can not eat a chocolate that lupin can make,9,10,10,1,1,1,1,1,1,0,1
george may not make a eclaire which draco must chew,george may not make a eclaire which draco must chew,9,10,10,1,1,1,1,1,1,0,1
a professor should not hide the chocolates that a student should arrange because a professor should prepare a souffle,a professor should not hide the chocolates that a student should arrange because a professor should prepare a souffle,18,19,19,1,1,1,1,1,1,0,1
snape should not arrange a croissant since draco must arrange the souffles because ginny must create a doughnut,snape should not arrange a croissant since draco must arrange the souffles because ginny must create a doughnut,17,18,18,1,1,1,1,1,1,0,1
a witch must not hide many strudels because albus must chew the souffle that a witch should prepare,a witch must not hide many strudels because albus must chew the souffle that a witch should prepare,17,18,18,1,1,1,1,1,1,0,1
because the professor should hide the cookies that albus may eat a student can not eat the croissants,because the professor should hide the cookies that albus may eat a student can not eat the croissants,17,18,18,1,1,1,1,1,1,0,1
since vernon must smile hagrid should not hide a doughnut,since vernon must smile hagrid should not hide a doughnut,9,10,10,1,1,1,1,1,1,0,1
petunia should not chew a baklava that dobby must chew,petunia should not chew a baklava that dobby must chew,9,10,10,1,1,1,1,1,1,0,1
since harry may wiggle the witch must not swim since snape can create a baklava which petunia must make,since harry may wiggle the witch must not swim since snape can create a baklava which petunia must make,18,19,19,1,1,1,1,1,1,0,1
he must not arrange a cookie which petunia should assemble,he must not arrange a cookie which petunia should assemble,9,10,10,1,1,1,1,1,1,0,1
george must not prepare the cake which ron should chew,george must not prepare the cake which ron should chew,9,10,10,1,1,1,1,1,1,0,1
mcgonagall may not create a eclaire that sirius should gobble,mcgonagall may not create a eclaire that sirius should gobble,9,10,10,1,1,1,1,1,1,0,1
draco should not assemble the eclaires which a witch must create,draco should not assemble the eclaires which a witch must create,10,11,11,1,1,1,1,1,1,0,1
the student can not create the croissant since lily can smile,the student can not create the croissant since lily can smile,10,11,11,1,1,1,1,1,1,0,1
voldemort should not make the chocolate which a professor can gobble,voldemort should not make the chocolate which a professor can gobble,10,11,11,1,1,1,1,1,1,0,1
the student must not create the pancakes that james can eat,the student must not create the pancakes that james can eat,10,11,11,1,1,1,1,1,1,0,1
the witch may not create the eclaire that james must chew,the witch may not create the eclaire that james must chew,10,11,11,1,1,1,1,1,1,0,1
since mcgonagall may make a doughnut the wizard should not party,since mcgonagall may make a doughnut the wizard should not party,10,11,11,1,1,1,1,1,1,0,1
mcgonagall may not chew the chocolates that a student may eat,mcgonagall may not chew the chocolates that a student may eat,10,11,11,1,1,1,1,1,1,0,1
snape can not chew a eclaire which a professor can make,snape can not chew a eclaire which a professor can make,10,11,11,1,1,1,1,1,1,0,1
since a witch may walk mcgonagall can not prepare many baklava that albus can sprinkle,since a witch may walk mcgonagall can not prepare many baklava that albus can sprinkle,14,15,15,1,1,1,1,1,1,0,1
ginny should not party because mcgonagall should gobble the doughnut that a professor can prepare,ginny should not party because mcgonagall should gobble the doughnut that a professor can prepare,14,15,15,1,1,1,1,1,1,0,1
george must not prepare the cookie which george can sprinkle,george must not prepare the cookie which george can sprinkle,9,10,10,1,1,1,1,1,1,0,1
vernon must not chew many eclaires which albus must gobble,vernon must not chew many eclaires which albus must gobble,9,10,10,1,1,1,1,1,1,0,1
harry may not create the strudel that neville must chew,harry may not create the strudel that neville must chew,9,10,10,1,1,1,1,1,1,0,1
a professor must not create many baklava because sirius may arrange the pancake which he should make,a professor must not create many baklava because sirius may arrange the pancake which he should make,16,17,17,1,1,1,1,1,1,0,1
petunia should not sprinkle the strudel because the professor must make the cakes that james should eat,petunia should not sprinkle the strudel because the professor must make the cakes that james should eat,16,17,17,1,1,1,1,1,1,0,1
since lily should assemble the chocolate fred may not assemble the baklava that harry must eat,since lily should assemble the chocolate fred may not assemble the baklava that harry must eat,15,16,16,1,1,1,1,1,1,0,1
since lily can hide the croissants snape must not gobble the pancakes since snape must jump,since lily can hide the croissants snape must not gobble the pancakes since snape must jump,15,16,16,1,1,1,1,1,1,0,1
hagrid can not sprinkle the doughnut since george can arrange a souffle that he may chew,hagrid can not sprinkle the doughnut since george can arrange a souffle that he may chew,15,16,16,1,1,1,1,1,1,0,1
hagrid can not assemble the croissants which the student can chew,hagrid can not assemble the croissants which the student can chew,10,11,11,1,1,1,1,1,1,0,1
a wizard can not make the souffle that harry must assemble,a wizard can not make the souffle that harry must assemble,10,11,11,1,1,1,1,1,1,0,1
the witch must not hide the doughnuts that hagrid should eat,the witch must not hide the doughnuts that hagrid should eat,10,11,11,1,1,1,1,1,1,0,1
draco can not prepare the doughnuts that a professor may chew,draco can not prepare the doughnuts that a professor may chew,10,11,11,1,1,1,1,1,1,0,1
he can not giggle,he can not giggle,3,4,4,1,1,1,1,1,1,0,1
george may not giggle,george may not giggle,3,4,4,1,1,1,1,1,1,0,1
she should not create a baklava that lupin should arrange,she should not create a baklava that lupin should arrange,9,10,10,1,1,1,1,1,1,0,1
albus may not gobble a baklava that voldemort can hide,albus may not gobble a baklava that voldemort can hide,9,10,10,1,1,1,1,1,1,0,1
because he may party a wizard should not jump,because he may party a wizard should not jump,8,9,9,1,1,1,1,1,1,0,1
since a professor should arrange a doughnut she can not eat the cake,since a professor should arrange a doughnut she can not eat the cake,12,13,13,1,1,1,1,1,1,0,1
draco must not chew the cookie,draco must not chew the cookie,5,6,6,1,1,1,1,1,1,0,1
lupin must not gobble the chocolates,lupin must not gobble the chocolates,5,6,6,1,1,1,1,1,1,0,1
she must not prepare a cake,she must not prepare a cake,5,6,6,1,1,1,1,1,1,0,1
lupin can not prepare a doughnut,lupin can not prepare a doughnut,5,6,6,1,1,1,1,1,1,0,1
hagrid must not eat the cakes,hagrid must not eat the cakes,5,6,6,1,1,1,1,1,1,0,1
he can not prepare the baklava that she may hide,he can not prepare the baklava that she may hide,9,10,10,1,1,1,1,1,1,0,1
george may not assemble the pancakes that he may prepare,george may not assemble the pancakes that he may prepare,9,10,10,1,1,1,1,1,1,0,1
james can not sprinkle the chocolates that hagrid may assemble,james can not sprinkle the chocolates that hagrid may assemble,9,10,10,1,1,1,1,1,1,0,1
she should not hide the eclaires which draco should sprinkle,she should not hide the eclaires which draco should sprinkle,9,10,10,1,1,1,1,1,1,0,1
james must not gobble many chocolates that he must chew,james must not gobble many chocolates that he must chew,9,10,10,1,1,1,1,1,1,0,1
she can not prepare a souffle which mcgonagall should gobble,she can not prepare a souffle which mcgonagall should gobble,9,10,10,1,1,1,1,1,1,0,1
since sirius can gobble many cookies ginny should not walk,since sirius can gobble many cookies ginny should not walk,9,10,10,1,1,1,1,1,1,0,1
because the professor can sprinkle a eclaire the wizard must not sprinkle the baklava,because the professor can sprinkle a eclaire the wizard must not sprinkle the baklava,13,14,14,1,1,1,1,1,1,0,1
ron should not swim,ron should not swim,3,4,4,1,1,1,1,1,1,0,1
albus must not giggle,albus must not giggle,3,4,4,1,1,1,1,1,1,0,1
vernon may not wiggle,vernon may not wiggle,3,4,4,1,1,1,1,1,1,0,1
lupin can not party since he can jump,lupin can not party since he can jump,7,8,8,1,1,1,1,1,1,0,1
the professor should not chew a eclaire,the professor should not chew a eclaire,6,7,7,1,1,1,1,1,1,0,1
lily must not prepare many baklava,lily must not prepare many baklava,5,6,6,1,1,1,1,1,1,0,1
neville must not gobble the strudels,neville must not gobble the strudels,5,6,6,1,1,1,1,1,1,0,1
neville should not eat the souffles,neville should not eat the souffles,5,6,6,1,1,1,1,1,1,0,1
ginny should not eat the cookies,ginny should not eat the cookies,5,6,6,1,1,1,1,1,1,0,1
voldemort can not prepare the souffle,voldemort can not prepare the souffle,5,6,6,1,1,1,1,1,1,0,1
lupin should not gobble the baklava which fred must create since vernon must eat the doughnuts,lupin should not gobble the baklava which fred must create since vernon must eat the doughnuts,15,16,16,1,1,1,1,1,1,0,1
a student can not smile since draco should gobble the doughnuts which the student should make,a student can not smile since draco should gobble the doughnuts which the student should make,15,16,16,1,1,1,1,1,1,0,1
hermione can not sprinkle the chocolates which hagrid should create because harry should eat the baklava,hermione can not sprinkle the chocolates which hagrid should create because harry should eat the baklava,15,16,16,1,1,1,1,1,1,0,1
the professor may not make the croissants,the professor may not make the croissants,6,7,7,1,1,1,1,1,1,0,1
the student should not hide the croissant,the student should not hide the croissant,6,7,7,1,1,1,1,1,1,0,1
a professor should not make a cookie,a professor should not make a cookie,6,7,7,1,1,1,1,1,1,0,1
the witch must not gobble a doughnut,the witch must not gobble a doughnut,6,7,7,1,1,1,1,1,1,0,1
hagrid should not chew the souffle that the student may gobble,hagrid should not chew the souffle that the student may gobble,10,11,11,1,1,1,1,1,1,0,1
snape must not sprinkle the doughnuts that the wizard may gobble,snape must not sprinkle the doughnuts that the wizard may gobble,10,11,11,1,1,1,1,1,1,0,1
she can not gobble the strudels which a witch can chew,she can not gobble the strudels which a witch can chew,10,11,11,1,1,1,1,1,1,0,1
neville must not sprinkle a pancake,neville must not sprinkle a pancake,5,6,6,1,1,1,1,1,1,0,1
vernon can not assemble the cookies,vernon can not assemble the cookies,5,6,6,1,1,1,1,1,1,0,1
mcgonagall must not arrange the doughnuts,mcgonagall must not arrange the doughnuts,5,6,6,1,1,1,1,1,1,0,1
since a professor can create the cakes that hagrid can create hermione may not make the cake,since a professor can create the cakes that hagrid can create hermione may not make the cake,16,17,17,1,1,1,1,1,1,0,1
a wizard must not prepare a cookie which fred can sprinkle because vernon may sprinkle the doughnut,a wizard must not prepare a cookie which fred can sprinkle because vernon may sprinkle the doughnut,16,17,17,1,1,1,1,1,1,0,1
james can not sprinkle a pancake which the professor should assemble because sirius must chew the chocolate,james can not sprinkle a pancake which the professor should assemble because sirius must chew the chocolate,16,17,17,1,1,1,1,1,1,0,1
a witch can not hiccup,a witch can not hiccup,4,5,5,1,1,1,1,1,1,0,1
voldemort can not eat a souffle,voldemort can not eat a souffle,5,6,6,1,1,1,1,1,1,0,1
lily can not hide a croissant,lily can not hide a croissant,5,6,6,1,1,1,1,1,1,0,1
he can not make the croissants,he can not make the croissants,5,6,6,1,1,1,1,1,1,0,1
lupin should not create a croissant that james should hide,lupin should not create a croissant that james should hide,9,10,10,1,1,1,1,1,1,0,1
voldemort must not make the baklava that vernon can prepare,voldemort must not make the baklava that vernon can prepare,9,10,10,1,1,1,1,1,1,0,1
dobby should not prepare the pancake that snape should make,dobby should not prepare the pancake that snape should make,9,10,10,1,1,1,1,1,1,0,1
he can not hide a croissant which a witch must eat since neville should gobble the cookies which petunia must make,he can not hide a croissant which a witch must eat since neville should gobble the cookies which petunia must make,20,21,21,1,1,1,1,1,1,0,1
fred can not assemble a eclaire which vernon should sprinkle since the professor should hide a pancake which james may chew,fred can not assemble a eclaire which vernon should sprinkle since the professor should hide a pancake which james may chew,20,21,21,1,1,1,1,1,1,0,1
since ron must chew the souffles that hagrid should prepare voldemort should not make the cookie which hermione must create,since ron must chew the souffles that hagrid should prepare voldemort should not make the cookie which hermione must create,19,20,20,1,1,1,1,1,1,0,1
since a witch can gobble the strudels because a professor may assemble a cake albus may not eat the cake,since a witch can gobble the strudels because a professor may assemble a cake albus may not eat the cake,19,20,20,1,1,1,1,1,1,0,1
because fred may prepare a cake fred may not sprinkle a chocolate,because fred may prepare a cake fred may not sprinkle a chocolate,11,12,12,1,1,1,1,1,1,0,1
neville should not assemble the cookies because albus should assemble the doughnuts,neville should not assemble the cookies because albus should assemble the doughnuts,11,12,12,1,1,1,1,1,1,0,1
the wizard must not prepare many pancakes because a student may jump,the wizard must not prepare many pancakes because a student may jump,11,12,12,1,1,1,1,1,1,0,1
voldemort may not sprinkle a eclaire because fred must create the cake,voldemort may not sprinkle a eclaire because fred must create the cake,11,12,12,1,1,1,1,1,1,0,1
vernon must not swim,vernon must not swim,3,4,4,1,1,1,1,1,1,0,1
mcgonagall can not arrange a baklava that draco must arrange because hagrid can chew the souffles that voldemort should create,mcgonagall can not arrange a baklava that draco must arrange because hagrid can chew the souffles that voldemort should create,19,20,20,1,1,1,1,1,1,0,1
dobby should not create the souffle which snape must assemble since sirius must assemble many pancakes which vernon should gobble,dobby should not create the souffle which snape must assemble since sirius must assemble many pancakes which vernon should gobble,19,20,20,1,1,1,1,1,1,0,1
dobby must not arrange many chocolates which lupin should gobble because petunia can hide the chocolates which petunia must hide,dobby must not arrange many chocolates which lupin should gobble because petunia can hide the chocolates which petunia must hide,19,20,20,1,1,1,1,1,1,0,1
