target,prediction,source length,target length,prediction length,correct,Preserves Tree Structure,Preserves Significant Clauses,Negates Main Verb,Negates Target Verb,Parseable
because dobby must prepare a pancake mcgonagall should not swim,because dobby must prepare a pancake mcgonagall should not swim,9,10,10,1,1,1,1,1,1
because vernon may hiccup james should not sprinkle many eclaires,because vernon may hiccup james should not sprinkle many eclaires,9,10,10,1,1,1,1,1,1
because hagrid should hiccup voldemort can not wiggle,because hagrid should hiccup voldemort can not wiggle,7,8,8,1,1,1,1,1,1
because dobby may hiccup albus can not hiccup,because dobby may hiccup albus can not hiccup,7,8,8,1,1,1,1,1,1
since draco may laugh ginny should not party,since draco may laugh ginny should not party,7,8,8,1,1,1,1,1,1
because lupin may giggle vernon should not walk,because lupin may giggle vernon should not walk,7,8,8,1,1,1,1,1,1
because hagrid should run snape can not jump,because hagrid should run snape can not jump,7,8,8,1,1,1,1,1,1
because george can arrange the pancakes vernon may not chew a cake,because george can arrange the pancakes vernon may not chew a cake,11,12,12,1,1,1,1,1,1
because vernon must chew the pancakes lupin can not prepare the cakes,because vernon must chew the pancakes lupin can not prepare the cakes,11,12,12,1,1,1,1,1,1
since the witch can laugh a student should not eat a souffle,since the witch can laugh a student should not eat a souffle,11,12,12,1,1,1,1,1,1
because lily should make a pancake ron may not arrange the cookies,because lily should make a pancake ron may not arrange the cookies,11,12,12,1,1,1,1,1,1
since petunia may eat many eclaires vernon should not prepare the chocolates,since petunia may eat many eclaires vernon should not prepare the chocolates,11,12,12,1,1,1,1,1,1
because george must sprinkle the cookies which neville may assemble petunia should not run,because george must sprinkle the cookies which neville may assemble petunia should not run,13,14,14,1,1,1,1,1,1
because harry must giggle neville must not eat the cookies which lupin should create,because harry must giggle neville must not eat the cookies which lupin should create,13,14,14,1,1,1,1,1,1
because lily must run hagrid must not make the eclaires that hagrid must gobble,because lily must run hagrid must not make the eclaires that hagrid must gobble,13,14,14,1,1,1,1,1,1
since the witch must hide the doughnuts voldemort can not chew the cakes,since the witch must hide the doughnuts voldemort can not chew the cakes,12,13,13,1,1,1,1,1,1
since lupin should assemble a cookie the student must not chew the strudel,since lupin should assemble a cookie the student must not chew the strudel,12,13,13,1,1,1,1,1,1
because he must jump dobby must not gobble the chocolate that dobby must chew,because he must jump dobby must not gobble the chocolate that dobby must chew,13,14,14,1,1,1,1,1,1
since lily should party lupin must not create a chocolate that fred should sprinkle,since lily should party lupin must not create a chocolate that fred should sprinkle,13,14,14,1,1,1,1,1,1
because harry may sprinkle the eclaires because he should wiggle mcgonagall may not run,because harry may sprinkle the eclaires because he should wiggle mcgonagall may run,13,14,13,0,0,0,0,0,1
because lupin must wiggle she should not make the pancakes which fred must chew,because lupin must wiggle she should not make the pancakes which fred must chew,13,14,14,1,1,1,1,1,1
since sirius should hide the chocolates which hermione must arrange fred should not wiggle,since sirius should hide the chocolates which hermione must arrange fred should not wiggle,13,14,14,1,1,1,1,1,1
because voldemort may make a souffle which hagrid can make the professor must not wiggle,because voldemort may make a souffle which hagrid can make the professor must not wiggle,14,15,15,1,1,1,1,1,1
since a professor must run he should not hide the eclaires which he can create,since a professor must run he should not hide the eclaires which he can create,14,15,15,1,1,1,1,1,1
since a student can sprinkle a souffle she may not party since voldemort must swim,since a student can sprinkle a souffle she may not party since voldemort must swim,14,15,15,1,1,1,1,1,1
since sirius may make the strudels which a wizard should chew voldemort may not laugh,since sirius may make the strudels which a wizard should chew voldemort may not laugh,14,15,15,1,1,1,1,1,1
because the wizard must jump hagrid should not hide the cookies that he can hide,because the wizard must jump hagrid should not hide the cookies that he can hide,14,15,15,1,1,1,1,1,1
because he should create the doughnuts which dobby should chew ron must not assemble a strudel which lupin may gobble,because he should create the doughnuts which dobby should chew ron must not assemble a strudel which lupin may gobble,19,20,20,1,1,1,1,1,1
since fred must assemble the souffles that lupin may chew she may not sprinkle the cake that harry must make,since fred must assemble the souffles that lupin may chew she may not sprinkle the cake that harry must make,19,20,20,1,1,1,1,1,1
since hermione should sprinkle a cake since lily may swim harry may not arrange the strudels that snape must create,since hermione should sprinkle a cake since lily may swim harry may not arrange the strudels that snape must create,19,20,20,1,1,1,1,1,1
because the student must hiccup since the student should make many souffles voldemort must not jump since vernon can jump,because the student must hiccup since since the student should make many souffles voldemort must not since vernon can jump,19,20,20,0,N/A,N/A,N/A,0,0
since ron should chew many eclaires that lupin must chew hagrid must not prepare the souffle which snape must create,since ron should chew many eclaires that lupin must chew hagrid must not prepare the souffle which snape must create,19,20,20,1,1,1,1,1,1
because a professor should assemble the cakes which a professor may hide neville may not gobble a chocolate that vernon may gobble,because a professor should assemble the cakes which a professor may hide neville may not gobble a chocolate that vernon may gobble,21,22,22,1,1,1,1,1,1
because a wizard must prepare the chocolates that a wizard can sprinkle hermione must not gobble a cookie that she should sprinkle,because a wizard must prepare the chocolates that a wizard can sprinkle that hermione must gobble a cookie that she should sprinkle,21,22,22,0,N/A,N/A,N/A,0,0
because james should sprinkle a croissant vernon must not sprinkle the chocolates that snape must hide because snape must arrange many cakes,because james should sprinkle a croissant vernon must not sprinkle the chocolates that snape must hide because snape must arrange many cakes,21,22,22,1,1,1,1,1,1
since ron may create the strudel that the professor may sprinkle ron may not arrange a baklava that a professor may hide,since ron may create the strudel that the professor may sprinkle ron may not arrange a baklava that a professor may hide,21,22,22,1,1,1,1,1,1
because george must chew many chocolates which dobby can sprinkle a student should not arrange a eclaire that the student can make,because george must chew many chocolates which dobby can sprinkle a student should not arrange a eclaire that the student can make,21,22,22,1,1,1,1,1,1
since george may hide the croissant that snape must make draco should not assemble the baklava which mcgonagall can arrange since ginny may run,since george may hide the croissant that snape must make draco should not assemble the baklava which mcgonagall can arrange since ginny may arrange,23,24,24,0,1,1,1,1,1
because a student may sprinkle the strudel dobby may not eat the strudel that a student must gobble since mcgonagall may make many strudels,because a student may sprinkle the strudel dobby may not eat the strudel that a student must gobble since mcgonagall may make,23,24,22,0,0,0,1,1,1
because harry may arrange the chocolates since lupin should wiggle vernon should not giggle because dobby may arrange a cookie which ginny should hide,because harry may arrange the chocolates since lupin should wiggle since vernon should giggle because dobby may arrange a cookie which ginny may arrange,23,24,24,0,0,0,0,0,1
since lupin may gobble the croissants which she should assemble dobby should not sprinkle a baklava which james should arrange since voldemort can party,since lupin may gobble the croissants which she should assemble dobby should not sprinkle a baklava which james should arrange since voldemort should arrange,23,24,24,0,1,1,1,1,1
since neville must chew many baklava that vernon must create since sirius must eat a cake that mcgonagall must hide hermione may not jump,since neville must chew many baklava that vernon must create since sirius must eat a cake that mcgonagall must hide must hide,23,24,22,0,N/A,N/A,N/A,0,0
since lupin may eat a pancake he must not chew a strudel which she should assemble,since lupin may eat a pancake he must not chew a strudel which she should assemble,15,16,16,1,1,1,1,1,1
since james should hide the chocolate sirius should not assemble many cookies that she may sprinkle,since james should hide the chocolate sirius should not assemble many cookies that she may sprinkle,15,16,16,1,1,1,1,1,1
because lily may chew a strudel that george can create george should not hide the pancakes,because lily may chew a strudel that george can create george should not hide the pancakes,15,16,16,1,1,1,1,1,1
since george may gobble a cake that mcgonagall may arrange hermione may not prepare the cake,since george may gobble a cake that mcgonagall may arrange hermione may not prepare the cake,15,16,16,1,1,1,1,1,1
because ron must assemble the strudel that albus can assemble neville may not assemble a cookie,because ron must assemble the strudel that albus can assemble neville may assemble a cookie,15,16,15,0,0,0,0,0,1
since a witch may assemble a souffle snape should not create a strudel that sirius should create,since a witch may assemble a souffle snape should not create a strudel that sirius should create,16,17,17,1,1,1,1,1,1
since a student must chew a cookie snape may not gobble the doughnuts that albus can gobble,since a student must chew a cookie snape may not gobble the doughnuts that albus can gobble,16,17,17,1,1,1,1,1,1
since a professor may hide the eclaire mcgonagall should not create the cake that she can create,since a professor may hide the eclaire mcgonagall should not create the cake that she can create,16,17,17,1,1,1,1,1,1
since a witch may eat the croissants that voldemort should make mcgonagall must not eat many strudels,since a witch may eat the croissants that voldemort should make mcgonagall mcgonagall must not eat many,16,17,17,0,N/A,N/A,N/A,1,0
since fred can sprinkle a cake that the witch should create neville must not sprinkle the chocolates,since fred can sprinkle a cake that the witch should create neville must not sprinkle the chocolates,16,17,17,1,1,1,1,1,1
because a wizard should jump the witch should not arrange the eclaire,because a wizard should jump the witch should not arrange the eclaire,11,12,12,1,1,1,1,1,1
because vernon can assemble a pancake she must not assemble the cookie,because vernon can assemble a pancake she must not assemble the cookie,11,12,12,1,1,1,1,1,1
since lupin should chew the eclaires harry can not sprinkle many strudels,since lupin should chew the eclaires harry can not sprinkle many strudels,11,12,12,1,1,1,1,1,1
because a professor must swim a student must not gobble a souffle,because a professor must swim a student must not gobble a souffle,11,12,12,1,1,1,1,1,1
because a professor can wiggle dobby can not chew a croissant,because a professor can wiggle dobby can not chew a croissant,10,11,11,1,1,1,1,1,1
since neville must gobble the eclaires which ron must sprinkle dobby can not prepare the cookies,since neville must gobble the eclaires which ron must sprinkle dobby can prepare the cookies,15,16,15,0,0,0,0,0,1
since ron should make the eclaires ron must not make a pancake which hermione can sprinkle,since ron should make the eclaires ron must not make a pancake which hermione can sprinkle,15,16,16,1,1,1,1,1,1
since ginny may create a croissant fred should not make the doughnuts that vernon may eat,since ginny may create a croissant fred should not make the doughnuts that vernon may eat,15,16,16,1,1,1,1,1,1
because hagrid can sprinkle the cookies ron may not eat the souffles that george must hide,because hagrid can sprinkle the cookies ron may not eat the souffles that george must hide,15,16,16,1,1,1,1,1,1
because george should sprinkle the pancakes which dobby can assemble voldemort may not sprinkle the cookies,because george should sprinkle the pancakes which dobby can assemble voldemort may not sprinkle the cookies,15,16,16,1,1,1,1,1,1
since albus should hide the cookie that hagrid must chew he must not create a souffle that ron must chew,since albus should hide the cookie that hagrid must chew he must not create a souffle that ron must chew,19,20,20,1,1,1,1,1,1
since james may arrange a chocolate that snape should arrange ginny must not assemble many chocolates that she should assemble,since james may arrange a chocolate that snape should arrange ginny must not assemble many chocolates that she should assemble,19,20,20,1,1,1,1,1,1
since dobby must jump since petunia should chew the baklava that snape can chew draco should not gobble many strudels,since dobby must jump since petunia should chew the baklava that snape snape can chew draco should gobble many strudels,19,20,20,0,N/A,N/A,N/A,0,0
because george may hide the doughnuts that hagrid may create neville should not create the pancakes which lupin must hide,because george may hide the doughnuts that hagrid may create neville should not create the pancakes which lupin must hide,19,20,20,1,1,1,1,1,1
since mcgonagall must run since mcgonagall can sprinkle the cookies that ron may eat the student must not smile,since mcgonagall must run since mcgonagall can not sprinkle the cookies that ron may eat the student must smile,18,19,19,0,0,0,0,0,1
because petunia should party the wizard must not assemble the pancakes,because petunia should party the wizard must not assemble the pancakes,10,11,11,1,1,1,1,1,1
because a student should chew a cake ginny must not wiggle,because a student should chew a cake ginny must not wiggle,10,11,11,1,1,1,1,1,1
because a witch must sprinkle the pancake snape should not laugh,because a witch must sprinkle the pancake not snape should laugh,10,11,11,0,N/A,N/A,N/A,0,0
since ginny must wiggle a professor must not assemble a croissant,since ginny must wiggle a professor must not assemble a croissant,10,11,11,1,1,1,1,1,1
because the witch may make a chocolate james should not hiccup,because the witch may make a chocolate james should not hiccup,10,11,11,1,1,1,1,1,1
since he should prepare many pancakes she must not make the eclaires that harry can assemble,since he should prepare many pancakes she must not make the eclaires that harry can assemble,15,16,16,1,1,1,1,1,1
because hagrid may sprinkle the croissant since snape may smile mcgonagall can not make a chocolate,because hagrid may sprinkle the croissant since snape may smile mcgonagall can make a chocolate,15,16,15,0,0,0,0,0,1
since voldemort should sprinkle many eclaires george must not create the eclaires which george must hide,since voldemort should sprinkle many eclaires george must not create the eclaires which george must hide,15,16,16,1,1,1,1,1,1
since hagrid should prepare a chocolate that dobby can create sirius may not sprinkle a cookie,since hagrid should prepare a chocolate that dobby can create sirius may sprinkle a cookie,15,16,15,0,0,0,0,0,1
since he must chew the doughnut albus should not make the croissant which lupin should make,since he must chew the doughnut albus should not make the croissant which lupin should make,15,16,16,1,1,1,1,1,1
since fred must gobble the eclaire since she can chew a baklava which the professor must prepare a wizard must not hide the strudels,since fred must gobble the eclaire since she can chew a baklava which the professor must prepare a wizard must hide must hide,23,24,23,0,N/A,N/A,N/A,0,0
since the professor can eat a baklava lily should not gobble the baklava because a student should arrange the croissant that he should make,since the professor can eat a baklava lily should not gobble the baklava because a student should arrange the croissant that he should arrange,23,24,24,0,1,1,1,1,1
since hermione may prepare many baklava because a student must gobble a croissant the student must not eat the souffle which draco must arrange,since hermione may prepare many baklava because a student must gobble a croissant since the student must eat the souffle which draco must eat,23,24,24,0,0,0,0,0,1
since lily must hiccup hermione may not prepare the eclaires which ginny can prepare since ginny must gobble the cookies that fred should hide,since lily must hiccup hermione may not prepare the eclaires which ginny can prepare since ginny must gobble the cookies that fred should gobble the cookies that fred should assemble,23,24,30,0,N/A,N/A,N/A,1,0
because fred can make a souffle that james may arrange he should not assemble the souffles that mcgonagall can gobble since sirius should laugh,because fred can make a souffle that james may arrange he should not assemble the souffles that mcgonagall can gobble since sirius should mcgonagall can gobble since sirius should gobble,23,24,30,0,N/A,N/A,N/A,1,0
since voldemort can gobble the cookie the student must not prepare the cakes that fred should prepare,since voldemort can gobble the cookie the student must not prepare the cakes that fred should prepare,16,17,17,1,1,1,1,1,1
since the student may sprinkle the souffles that voldemort must eat lily may not sprinkle many eclaires,since the student may sprinkle the souffles that voldemort must eat lily may not sprinkle many eclaires,16,17,17,1,1,1,1,1,1
because snape must sprinkle the chocolate which the wizard should assemble fred may not prepare the pancakes,because snape must sprinkle the chocolate which the wizard should assemble fred may not prepare the pancakes,16,17,17,1,1,1,1,1,1
because lupin may make a baklava draco should not gobble the souffles that a witch must sprinkle,because lupin may make a baklava draco should not gobble the souffles that a witch must sprinkle,16,17,17,1,1,1,1,1,1
because mcgonagall should gobble a croissant which george should assemble the professor should not prepare the strudels,because mcgonagall should gobble a croissant which george should assemble the professor should not prepare the strudels,16,17,17,1,1,1,1,1,1
since snape must arrange the souffles hagrid should not arrange the strudels,since snape must arrange the souffles hagrid should not arrange the strudels,11,12,12,1,1,1,1,1,1
since he should chew the souffles sirius may not chew a souffle,since he should chew the souffles sirius may not chew a souffle,11,12,12,1,1,1,1,1,1
because mcgonagall can eat the chocolate ginny should not make the eclaires,because mcgonagall can eat the chocolate ginny should not make the eclaires,11,12,12,1,1,1,1,1,1
since she may create the cookie voldemort should not gobble the eclaires,since she may create the cookie voldemort should not gobble the eclaires,11,12,12,1,1,1,1,1,1
because snape should assemble many baklava neville can not chew the doughnuts,because snape should assemble many baklava neville can not chew the doughnuts,11,12,12,1,1,1,1,1,1
since ron can sprinkle a cookie fred must not eat the doughnuts,since ron can sprinkle a cookie fred must not eat the doughnuts,11,12,12,1,1,1,1,1,1
since fred should prepare the chocolate vernon may not prepare the eclaire,since fred should prepare the chocolate vernon may not prepare the eclaire,11,12,12,1,1,1,1,1,1
since mcgonagall should chew a cookie she may not create a souffle,since mcgonagall should chew a cookie she may not create a souffle,11,12,12,1,1,1,1,1,1
since a professor may giggle the wizard should not assemble the cookies,since a professor may giggle the wizard should not assemble the cookies,11,12,12,1,1,1,1,1,1
since hagrid should gobble the pancakes petunia must not assemble the doughnuts,since hagrid should gobble the pancakes petunia must not assemble the doughnuts,11,12,12,1,1,1,1,1,1
since hermione should hide the strudels which voldemort may create the wizard may not hide the baklava that vernon should assemble,since hermione should hide the strudels which voldemort may create the wizard may not hide the baklava that vernon should assemble,20,21,21,1,1,1,1,1,1
because fred should wiggle voldemort may not make the pancakes since fred must create the baklava that the student may assemble,because fred should wiggle voldemort may not make the pancakes since fred must create the baklava that the student may assemble,20,21,21,1,1,1,1,1,1
because a wizard can gobble the cake which snape may hide draco must not create a eclaire that mcgonagall can assemble,because a wizard can gobble the cake which snape may hide draco must not create a eclaire that mcgonagall can assemble,20,21,21,1,1,1,1,1,1
because neville may gobble the croissants which fred should eat petunia may not chew the cookies because a professor may party,because neville may gobble the croissants which fred should eat petunia may not chew the cookies because a professor may party,20,21,21,1,1,1,1,1,1
because lily should wiggle george may not run because george should arrange a eclaire since a student must assemble the eclaires,because lily should wiggle george may not run because george should arrange a eclaire since a student must assemble the eclaires,20,21,21,1,1,1,1,1,1
because harry must chew the doughnut because james must run fred must not create the cakes that james should hide,because harry must chew the doughnut because james must run fred must create the cakes that james should hide,19,20,19,0,0,0,0,0,1
since petunia can prepare the eclaire which voldemort should chew she may not prepare the eclaire that ginny should sprinkle,since petunia can prepare the eclaire which voldemort should chew she may not prepare the eclaire that ginny should sprinkle,19,20,20,1,1,1,1,1,1
since albus may assemble the cakes which neville may eat ginny must not hide the doughnuts that lily should gobble,since albus may assemble the cakes which neville may eat ginny must not hide the doughnuts that lily should gobble,19,20,20,1,1,1,1,1,1
because he must laugh because lily may chew a pancake snape should not eat a doughnut which mcgonagall can chew,because he must laugh because lily may chew a pancake pancake snape should eat a doughnut which mcgonagall can chew,19,20,20,0,N/A,N/A,N/A,0,0
since ron may arrange a doughnut that he must assemble lily must not chew a cookie which she may chew,since ron may arrange a doughnut that he must assemble lily must not chew a cookie which she may chew,19,20,20,1,1,1,1,1,1
because snape must party snape should not eat the doughnuts which george can create since lupin should wiggle,because snape must party snape should not eat the doughnuts which george can create since lupin should wiggle,17,18,18,1,1,1,1,1,1
because snape must laugh because mcgonagall may chew the souffles that vernon should prepare she may not walk,because snape must laugh because mcgonagall mcgonagall may chew the souffles that vernon should prepare she may walk,17,18,18,0,N/A,N/A,N/A,0,0
since the student can sprinkle the cookies neville must not chew the souffles that the professor must eat,since the student can sprinkle the cookies neville must not chew the souffles that the professor must eat,17,18,18,1,1,1,1,1,1
because a student should assemble the doughnuts albus should not make many cookies which a wizard should gobble,because a student should assemble the doughnuts albus should not make many cookies which a wizard should gobble,17,18,18,1,1,1,1,1,1
since the student may prepare the eclaires ron must not assemble a chocolate which a student can arrange,since the student may prepare the eclaires ron must not assemble a chocolate which a student can arrange,17,18,18,1,1,1,1,1,1
since snape should chew the chocolates the witch should not gobble a eclaire,since snape should chew the chocolates the witch should not gobble a eclaire,12,13,13,1,1,1,1,1,1
because a professor may create a eclaire lupin should not prepare the cakes,because a professor may create a eclaire lupin should not prepare the cakes,12,13,13,1,1,1,1,1,1
because a professor must make a souffle fred must not chew the eclaire,because a professor must make a souffle fred must not chew the eclaire,12,13,13,1,1,1,1,1,1
since albus can arrange the cookies the student can not arrange a croissant,since albus can arrange the cookies the student can not arrange a croissant,12,13,13,1,1,1,1,1,1
because a professor may prepare the baklava dobby must not chew the souffle,because a professor may prepare the baklava dobby must not chew the souffle,12,13,13,1,1,1,1,1,1
because dobby must arrange a croissant he must not make the eclaire that harry can gobble,because dobby must arrange a croissant he must not make the eclaire that harry can gobble,15,16,16,1,1,1,1,1,1
since draco should eat the chocolates since harry can laugh mcgonagall should not sprinkle many doughnuts,since draco should eat the chocolates since harry can laugh mcgonagall should not sprinkle many doughnuts,15,16,16,1,1,1,1,1,1
since ginny should create the eclaires which snape may assemble he should not make the chocolates,since ginny should create the eclaires which snape may assemble he should not make the chocolates,15,16,16,1,1,1,1,1,1
because a professor should party the professor may not chew the strudels which ron may sprinkle,because a professor should party the professor may not chew the strudels which ron may sprinkle,15,16,16,1,1,1,1,1,1
since george may arrange a eclaire he may not chew the baklava that lily should gobble,since george may arrange a eclaire he may not chew the baklava that lily should gobble,15,16,16,1,1,1,1,1,1
because draco may create many cookies he should not eat the cookie which the witch should make,because draco may create many cookies he should not eat the cookie which the witch should make,16,17,17,1,1,1,1,1,1
because fred may arrange the pancakes because dobby may walk the witch should not assemble the cake,because fred may arrange the pancakes because dobby may walk the witch should assemble the cake,16,17,16,0,0,0,0,0,1
because he should chew a strudel that harry must hide the wizard may not eat the chocolates,because he should chew a strudel that harry must hide the wizard may not eat the chocolates,16,17,17,1,1,1,1,1,1
because draco must laugh she must not assemble the croissants because the student must gobble a cookie,because draco must laugh she must not assemble the croissants because the student must gobble a cookie,16,17,17,1,1,1,1,1,1
since lupin can eat the strudels that a student must make fred should not create many cookies,since lupin can eat the strudels that a student must make fred should not create many cookies,16,17,17,1,1,1,1,1,1
since george can gobble the doughnut that a professor may create albus must not hide the doughnut,since george can gobble the doughnut that a professor may create albus must not hide the doughnut,16,17,17,1,1,1,1,1,1
since a wizard may eat the pancakes dobby can not assemble the cakes which hermione should arrange,since a wizard may eat the pancakes dobby can not assemble the cakes which hermione should arrange,16,17,17,1,1,1,1,1,1
since ron may chew the pancakes sirius must not gobble the chocolate which a wizard may hide,since ron may chew the pancakes sirius must not gobble the chocolate which a wizard may hide,16,17,17,1,1,1,1,1,1
since a student should giggle since dobby must arrange the baklava ron must not chew the cake,since a student should giggle since since dobby must arrange the baklava ron must chew the cake,16,17,17,0,N/A,N/A,N/A,0,0
since lupin should create a baklava which a student can sprinkle hermione may not chew the doughnut,since lupin should create a baklava which a student can sprinkle hermione may not chew the doughnut,16,17,17,1,1,1,1,1,1
since draco should chew a baklava that ron must chew albus must not sprinkle the doughnuts that a professor must assemble,since draco should chew a baklava that ron must chew albus must not sprinkle the doughnuts that a professor must assemble,20,21,21,1,1,1,1,1,1
since hermione must giggle since neville must chew the eclaires that hagrid can prepare the wizard may not gobble the cake,since hermione must giggle since neville must chew the eclaires that hagrid can prepare the wizard may gobble the cake,20,21,20,0,0,0,0,0,1
since voldemort may assemble a cookie she should not smile since he should eat the chocolates that the student should make,since voldemort may assemble a cookie she should not smile since he should eat the chocolates that the student should make,20,21,21,1,1,1,1,1,1
because voldemort may create the croissant mcgonagall can not run since ginny should prepare the pancakes which the witch may eat,because voldemort may create the croissant mcgonagall can not run since ginny should prepare the pancakes which the witch may eat,20,21,21,1,1,1,1,1,1
because neville should create the baklava which the student must assemble mcgonagall must not assemble the cookie which she may create,because neville should create the baklava which the student must assemble mcgonagall must not assemble the cookie which she may create,20,21,21,1,1,1,1,1,1
because a student must chew many strudels he must not assemble the eclaires because harry must prepare the pancake,because a student must chew many strudels he must not assemble the eclaires because harry must prepare the pancake,18,19,19,1,1,1,1,1,1
because she must assemble the souffle because george must chew the cakes the professor must not make a cookie,because she must assemble the souffle because george must chew the cakes the professor must make a cookie,18,19,18,0,0,0,0,0,1
because he can eat a croissant the student should not prepare the eclaire because fred may create a pancake,because he can eat a croissant the student should not prepare the eclaire because fred may create a pancake,18,19,19,1,1,1,1,1,1
because dobby should gobble the cakes since the wizard must gobble many baklava he should not make the cakes,because dobby should gobble the cakes since the wizard must gobble many strudels since he should make the cakes,18,19,19,0,0,0,0,0,1
because dobby can giggle since a witch can run she can not create a souffle that sirius must eat,because dobby can giggle since a witch can not run she can create a souffle that sirius must eat,18,19,19,0,0,0,0,0,1
because lily must prepare the pancake vernon should not chew a cookie,because lily must prepare the pancake vernon should not chew a cookie,11,12,12,1,1,1,1,1,1
since james must make the pancakes snape must not gobble a chocolate,since james must make the pancakes snape must not gobble a chocolate,11,12,12,1,1,1,1,1,1
since lily may make a croissant snape may not chew the chocolates,since lily may make a croissant snape may not chew the chocolates,11,12,12,1,1,1,1,1,1
since draco should gobble the doughnuts she can not sprinkle many souffles,since draco should gobble the doughnuts she can not sprinkle many souffles,11,12,12,1,1,1,1,1,1
since albus can sprinkle the croissants albus must not chew the souffles,since albus can sprinkle the croissants albus must not chew the souffles,11,12,12,1,1,1,1,1,1
because lupin must make a souffle draco should not smile,because lupin must make a souffle draco should not smile,9,10,10,1,1,1,1,1,1
since ron must chew a souffle ginny may not giggle,since ron must chew a souffle ginny may not giggle,9,10,10,1,1,1,1,1,1
since voldemort may assemble the doughnut dobby may not laugh,since voldemort may assemble the doughnut dobby may not laugh,9,10,10,1,1,1,1,1,1
because hagrid should giggle vernon may not arrange the strudels,because hagrid should giggle vernon may not arrange the strudels,9,10,10,1,1,1,1,1,1
since neville should wiggle snape must not eat a eclaire,since neville should wiggle snape must not eat a eclaire,9,10,10,1,1,1,1,1,1
because ginny should hide a chocolate which lily must eat ginny must not hide many pancakes,because ginny should hide a chocolate which lily must eat ginny must hide must not pancakes,15,16,16,0,N/A,N/A,N/A,0,0
since hagrid can swim since george may prepare the doughnuts snape can not assemble the pancake,since hagrid can swim since george may not prepare the doughnuts snape can assemble the pancake,15,16,16,0,0,0,0,0,1
since a witch should arrange the baklava that a witch should create petunia should not walk,since a witch should arrange the baklava that a witch should create petunia should not walk,15,16,16,1,1,1,1,1,1
since she must walk she must not party since vernon should giggle since petunia can hiccup,since she must walk she must not party since vernon should giggle since petunia can hiccup,15,16,16,1,1,1,1,1,1
because george should arrange many doughnuts which fred may sprinkle george can not eat the eclaires,because george should arrange many doughnuts which fred may sprinkle george can not eat the eclaires,15,16,16,1,1,1,1,1,1
because james must arrange the cookies hermione can not assemble the chocolates,because james must arrange the cookies hermione can not assemble the chocolates,11,12,12,1,1,1,1,1,1
since the wizard must jump the professor must not sprinkle the cakes,since the wizard must jump the professor must not sprinkle the cakes,11,12,12,1,1,1,1,1,1
because sirius must walk since sirius can giggle harry should not laugh,because sirius must walk since sirius can not giggle harry should laugh,11,12,12,0,0,0,0,0,1
because snape should prepare a souffle dobby must not gobble the cakes,because snape should prepare a souffle dobby must not gobble the cakes,11,12,12,1,1,1,1,1,1
