target,prediction,source length,target length,prediction length,correct,Preserves Tree Structure,Preserves Significant Clauses,Negates Main Verb,Negates Target Verb,Parseable
he should not create the baklava,he should not assemble the baklava,5,6,6,0,1,0,0,0,1
he can not create the cake,the can not create the chocolate,5,6,6,0,N/A,N/A,N/A,1,0
voldemort can not eat the cakes,he can not the the cakes,5,6,6,0,N/A,N/A,N/A,0,0
the student must not walk,the student must not chew the cookies,4,5,7,0,0,0,0,0,1
hagrid should not arrange a croissant which fred may eat,hagrid should not chew a cookie,9,10,6,0,0,0,0,0,1
lupin may not gobble a pancake which lupin should sprinkle,lupin may not assemble the souffles,9,10,6,0,0,0,0,0,1
lupin may not sprinkle the chocolates that snape should eat,lupin may not eat the eclaires that he should not,9,10,10,0,N/A,N/A,N/A,0,0
since harry must assemble the croissants the witch should not assemble the baklava,since petunia must not the baklava,12,13,6,0,N/A,N/A,N/A,0,0
since ginny should gobble many croissants the student must not prepare a cookie,since voldemort may not the chocolate,12,13,6,0,N/A,N/A,N/A,0,0
because neville may gobble a strudel the professor may not assemble the strudels,because may may not the baklava,12,13,6,0,N/A,N/A,N/A,0,0
sirius should not assemble the cookies,sirius should not hide the cookies,5,6,6,0,1,0,0,0,1
george should not chew a strudel,george should not hide a pancake,5,6,6,0,1,0,0,0,1
voldemort must not assemble the croissant,voldemort must not assemble the pancake,5,6,6,0,1,0,0,1,1
lupin must not eat the doughnuts,lupin may not gobble the souffles,5,6,6,0,1,0,0,0,1
since albus must hide the croissants which she must prepare lily must not wiggle,since voldemort must chew a croissant,13,14,6,0,0,0,0,0,1
he may not hiccup since mcgonagall should arrange many doughnuts which she must hide,he may not chew the cakes that he may chew,13,14,10,0,0,0,0,0,1
a student should not run,a student should not hide,4,5,5,0,1,0,0,0,1
a student can not smile,a student can not,4,5,4,0,N/A,N/A,N/A,0,0
a witch should not hiccup,a witch should not,4,5,4,0,N/A,N/A,N/A,0,0
because neville may hiccup a professor should not swim,because a student should not chew a cookie,8,9,8,0,0,0,0,0,1
because voldemort may make the souffles which lupin must assemble petunia should not assemble the eclaire,because a professor should not assemble a cookie,15,16,8,0,0,0,0,1,1
because ron should eat a cake lupin should not assemble the baklava that fred must hide,because ginny must eat the cakes that dobby must not eat the cakes that dobby must not create the cakes,15,16,20,0,N/A,N/A,N/A,0,0
mcgonagall should not create a croissant,mcgonagall should not assemble a croissant,5,6,6,0,1,0,0,0,1
lily must not make the doughnuts,the student must not,5,6,4,0,N/A,N/A,N/A,0,0
fred must not sprinkle the eclaires,fred must not assemble the chocolates,5,6,6,0,1,0,0,0,1
she can not hide the croissant,the can not gobble the pancake,5,6,6,0,N/A,N/A,N/A,0,0
neville may not create a souffle,neville may not chew a chocolate,5,6,6,0,1,0,0,0,1
he can not gobble the cookie,the can not prepare the chocolate,5,6,6,0,N/A,N/A,N/A,0,0
the wizard should not make the cake,the should not make the cookies,6,7,6,0,N/A,N/A,N/A,1,0
the student may not hide the souffle,the professor may not the the,6,7,6,0,N/A,N/A,N/A,0,0
the student must not chew the chocolates,the student must not chew the croissants,6,7,7,0,1,0,0,1,1
a student may not create the doughnuts,a professor can not create the cookies,6,7,7,0,1,0,0,1,1
a student should not jump,a student should not hide,4,5,5,0,1,0,0,0,1
since james can assemble the baklava neville can not make the souffle which she should sprinkle since harry should prepare the cake,draco can not create the souffle,21,22,6,0,0,0,0,0,1
the student can not gobble a eclaire which voldemort must hide because she should arrange many cakes that a student should hide,the student must not chew the cakes,21,22,7,0,0,0,0,0,1
since petunia must chew many chocolates since she may gobble the baklava albus must not assemble the cakes that sirius can create,since voldemort must hide the croissant,21,22,6,0,0,0,0,0,1
since mcgonagall should make the strudel he can not eat the souffle since albus should prepare the cookies which snape should chew,draco must not create the souffle that a professor should not create,21,22,12,0,N/A,N/A,N/A,0,0
harry should not gobble the cookie which the wizard must make,the professor must not gobble the chocolate,10,11,7,0,0,0,0,1,1
lily must not chew a croissant since the wizard can party,lily must not arrange a croissant,10,11,6,0,0,0,0,0,1
she should not arrange the pancakes which a witch should make,she should not chew a chocolate,10,11,6,0,0,0,0,0,1
ginny can not prepare the souffles that fred should assemble,the can not assemble the baklava,9,10,6,0,N/A,N/A,N/A,0,0
albus can not sprinkle the cakes that petunia should assemble since the student must make a cake that a professor may sprinkle,he may not chew the cakes that he must chew,21,22,10,0,0,0,0,0,1
a professor should not hide the cookies that lupin may sprinkle since a student can chew many eclaires that she must eat,a professor must not create a eclaire that lupin must make,21,22,11,0,0,0,0,0,1
since a professor may gobble the souffle that sirius may eat the wizard may not hiccup since ron may make the croissant,the wizard may not make the cookies,21,22,7,0,0,0,0,0,1
she should not gobble a chocolate which a witch should create since ginny should make the pancake that albus must make,she should not assemble a cookie,20,21,6,0,0,0,0,0,1
dobby may not hide the baklava,dobby may not arrange the baklava,5,6,6,0,1,0,0,0,1
lily should not arrange the eclaires,lily should not assemble the pancakes,5,6,6,0,1,0,0,0,1
james must not assemble a chocolate,james must not arrange a chocolate,5,6,6,0,1,0,0,0,1
james must not prepare the croissants,james must not arrange the croissants,5,6,6,0,1,0,0,0,1
snape may not gobble the cake,snape may not walk,5,6,4,0,0,0,0,0,1
dobby should not create the souffle which snape must assemble since sirius must assemble many pancakes which vernon should gobble,dobby must not hide the souffles,19,20,6,0,0,0,0,0,1
he may not assemble the chocolate which vernon should hide because he can eat the souffle which draco may sprinkle,the professor can not gobble the souffle,19,20,7,0,0,0,0,0,1
draco should not create a cake,draco should not make a cake,5,6,6,0,1,0,0,0,1
voldemort can not hide the cookies,voldemort can not hiccup,5,6,4,0,0,0,0,0,1
lily can not wiggle,sirius can not can wiggle,3,4,5,0,N/A,N/A,N/A,0,0
james can not jump,james can not arrange,3,4,4,0,1,0,0,0,1
hagrid should not jump,hagrid should not prepare the souffles,3,4,6,0,0,0,0,0,1
lupin can not wiggle,lupin can not arrange,3,4,4,0,1,0,0,0,1
hagrid can not smile,hagrid can not,3,4,3,0,N/A,N/A,N/A,0,0
she may not jump,she may not arrange the cookies,3,4,6,0,0,0,0,0,1
lupin should not sprinkle the cookies,lupin should not prepare the souffles,5,6,6,0,1,0,0,0,1
fred may not arrange the chocolates,fred may not prepare the chocolates,5,6,6,0,1,0,0,0,1
dobby should not chew the chocolates that sirius can create,dobby can not hide,9,10,4,0,0,0,0,0,1
albus can not assemble a eclaire which voldemort can make,albus must not make the baklava,9,10,6,0,0,0,0,0,1
ginny can not make the doughnut that hagrid should create,the can not gobble the cookies that should may prepare,9,10,10,0,N/A,N/A,N/A,0,0
harry must not gobble the eclaires which james must chew,harry must not arrange the eclaires,9,10,6,0,0,0,0,0,1
james should not make the pancakes which fred can eat,james should not chew the eclaires which james should not,9,10,10,0,N/A,N/A,N/A,0,0
sirius should not gobble a doughnut that fred can eat,sirius should not hide the baklava,9,10,6,0,0,0,0,0,1
because voldemort may chew a cake lily can not swim,because may should chew the baklava which he should not hide the cakes,9,10,13,0,N/A,N/A,N/A,0,0
hermione must not prepare a strudel that he must arrange,hermione must not chew the strudel that hermione must not,9,10,10,0,N/A,N/A,N/A,0,0
a witch must not chew a eclaire,a witch must not arrange a eclaire,6,7,7,0,1,0,0,0,1
the professor must not chew the cakes,the professor must not chew the baklava,6,7,7,0,1,0,0,1,1
the student must not create a souffle,the professor must not chew a chocolate,6,7,7,0,1,0,0,0,1
a professor should not gobble the cookie,a professor should not gobble the pancake,6,7,7,0,1,0,0,1,1
the witch must not gobble a doughnut,the professor must not chew the pancake,6,7,7,0,1,0,0,0,1
she should not giggle,she should not hide,3,4,4,0,1,0,0,0,1
ginny must not walk,ginny must not,3,4,3,0,N/A,N/A,N/A,0,0
the professor can not giggle,the can not chew the chocolate,4,5,6,0,N/A,N/A,N/A,0,0
a professor should not wiggle,a professor should not hide a baklava,4,5,7,0,0,0,0,0,1
albus should not party,albus should not hide the baklava,3,4,6,0,0,0,0,0,1
hagrid must not laugh,hagrid may not chew the baklava,3,4,6,0,0,0,0,0,1
a wizard may not make the souffle which george can eat,the professor can not eat the souffle,10,11,7,0,0,0,0,0,1
george must not sprinkle the eclaire which a wizard should sprinkle,george must not arrange a pancake,10,11,6,0,0,0,0,0,1
a student should not make the strudels which dobby must prepare,dobby should not eat the souffles,10,11,6,0,0,0,0,0,1
she must not sprinkle the pancake which the professor must chew,she must not arrange the baklava,10,11,6,0,0,0,0,0,1
fred must not make the pancake that a witch must assemble,fred must not assemble a cake,10,11,6,0,0,0,0,0,1
because neville can create a croissant a witch must not chew the souffles,because a student should not chew a cookie,12,13,8,0,0,0,0,1,1
ginny should not hide the eclaires because a student can hide the eclaires,ginny should not hide,12,13,4,0,0,0,0,1,1
a professor must not swim,a professor must not chew a eclaire,4,5,7,0,0,0,0,0,1
the student must not run,the student must not the the croissants,4,5,7,0,N/A,N/A,N/A,0,0
he can not laugh,he can not,3,4,3,0,N/A,N/A,N/A,0,0
voldemort can not walk,voldemort can not laugh,3,4,4,0,1,0,0,0,1
ginny can not swim,ginny can not,3,4,3,0,N/A,N/A,N/A,0,0
dobby may not walk,dobby may not hiccup,3,4,4,0,1,0,0,0,1
the wizard must not jump,the student must not,4,5,4,0,N/A,N/A,N/A,0,0
snape can not hide the strudel that george must sprinkle,the student can not hide the croissants,9,10,7,0,0,0,0,1,1
james should not create the eclaires that draco may prepare,james should not prepare,9,10,4,0,0,0,0,0,1
he should not create many cookies that petunia may chew,he should not assemble a pancake,9,10,6,0,0,0,0,0,1
a professor should not prepare a cake that fred must chew since the student may create the croissants,a professor should not assemble the baklava,17,18,7,0,0,0,0,0,1
the professor must not make many cookies which harry can eat since a student should arrange the strudel,the professor must not chew the baklava,17,18,7,0,0,0,0,0,1
dobby can not wiggle because hagrid must gobble many cookies that voldemort should gobble since voldemort must giggle,hagrid must not arrange the strudel,17,18,6,0,0,0,0,0,1
petunia should not eat the chocolate since the wizard must walk since the student can make a souffle,a professor can not arrange a chocolate,17,18,7,0,0,0,0,0,1
since harry should gobble the cakes neville can not eat the cake because harry may chew many chocolates,because she may eat the baklava that she may eat the baklava that she may eat the baklava that she may eat the souffle that she may eat the souffle,17,18,30,0,N/A,N/A,N/A,0,0
snape should not create a cake which a student may create,snape should not chew a cookie,10,11,6,0,0,0,0,0,1
a student can not make the cookie which snape can make,a student can not make a chocolate,10,11,7,0,0,0,0,1,1
he should not sprinkle the baklava that a professor must sprinkle,since must not arrange a baklava,10,11,6,0,N/A,N/A,N/A,0,0
fred must not eat the croissants that the student may gobble,fred must not assemble a cookie,10,11,6,0,0,0,0,0,1
voldemort may not assemble the eclaires that the witch may assemble,voldemort may not hide the baklava,10,11,6,0,0,0,0,0,1
draco may not eat a chocolate,draco may not arrange the baklava,5,6,6,0,1,0,0,0,1
he may not gobble the pancakes,he may not assemble,5,6,4,0,0,0,0,0,1
petunia can not hide a strudel,petunia must not hide a cookie,5,6,6,0,1,0,0,1,1
the wizard should not chew a cake that the student can create,a student should not eat a cake,11,12,7,0,0,0,0,0,1
a witch may not eat a chocolate that a professor must hide,a professor must not make a eclaire that a professor must make,11,12,12,0,1,0,0,0,1
sirius can not eat the croissants since harry should create the cake,sirius can not prepare the baklava,11,12,6,0,0,0,0,0,1
since albus must arrange a baklava james may not gobble the baklava,since voldemort must hide the baklava,11,12,6,0,0,0,0,0,1
hagrid should not chew a doughnut since lily may make the strudel,hagrid should not chew the baklava,11,12,6,0,0,0,0,1,1
since a witch should smile albus can not laugh,since voldemort can not the baklava,8,9,6,0,N/A,N/A,N/A,0,0
voldemort can not make a souffle that he may sprinkle,voldemort may not hiccup,9,10,4,0,0,0,0,0,1
james must not prepare the croissants that fred should gobble,james must not arrange the strudel,9,10,6,0,0,0,0,0,1
snape should not sprinkle the cookies that hermione may arrange,snape should not assemble the souffles,9,10,6,0,0,0,0,0,1
she should not hide a baklava that petunia can gobble,she should not chew a chocolate that she should chew,9,10,10,0,0,0,0,0,1
since the wizard should sprinkle the eclaires she should not arrange the cookie that fred should arrange,since should not prepare the chocolate,16,17,6,0,N/A,N/A,N/A,0,0
since the student can assemble many baklava which george must make mcgonagall should not arrange the doughnuts,since petunia must not the strudel,16,17,6,0,N/A,N/A,N/A,0,0
since a witch must create the baklava which james should chew she can not hide a strudel,since voldemort must not chew a croissant,16,17,7,0,0,0,0,0,1
because the witch should swim the wizard can not arrange the eclaires that a witch may arrange,because may may not chew the cakes that a student may not,16,17,12,0,N/A,N/A,N/A,0,0
a witch can not gobble many souffles that hermione may arrange,a professor can not sprinkle the chocolates that lupin may not create,10,11,12,0,N/A,N/A,N/A,0,0
he may not arrange the cookies that a wizard should create,he may not chew the cakes,10,11,6,0,0,0,0,0,1
the professor must not prepare the baklava which lily should gobble,the professor may not gobble the croissants,10,11,7,0,0,0,0,0,1
because she should party george must not gobble the baklava that a professor should assemble,because a student may assemble the baklava which he may assemble a cookie,14,15,13,0,N/A,N/A,N/A,0,0
the student should not eat the cookies which harry can create,the student should not gobble the cookies,10,11,7,0,0,0,0,0,1
a professor can not create a baklava that snape may gobble,a wizard may not create the pancakes,10,11,7,0,0,0,0,1,1
george can not gobble the strudel which voldemort may create,the professor can not gobble the chocolates,9,10,7,0,0,0,0,1,1
neville should not arrange the doughnuts which he must arrange,neville should not prepare a cookie that he should chew,9,10,10,0,0,0,0,0,1
albus must not gobble the cake which hagrid should create,albus must not hide a cake,9,10,6,0,0,0,0,0,1
petunia may not hide a cookie which ron must gobble,petunia may not hide a doughnut,9,10,6,0,0,0,0,1,1
because snape must party voldemort should not laugh,because ron should not chew the baklava,7,8,7,0,0,0,0,0,1
the professor can not eat the souffle,the professor can not create the souffle,6,7,7,0,1,0,0,0,1
the professor may not prepare many chocolates,the professor may not chew the baklava,6,7,7,0,1,0,0,0,1
she should not make a strudel that she can assemble because the professor may sprinkle the croissant which harry may make,she should not chew the baklava,20,21,6,0,0,0,0,0,1
hermione may not create the eclaires which he should eat since the professor can make a souffle that sirius can make,hermione can not chew the baklava,20,21,6,0,0,0,0,0,1
since lupin may assemble the baklava that snape must make albus should not gobble a cookie which a witch may make,a professor may not chew a pancake that lupin must not chew,20,21,12,0,N/A,N/A,N/A,0,0
harry must not create the strudel which fred can eat,harry must not create the eclaires,9,10,6,0,0,0,0,1,1
hagrid may not prepare the souffles that mcgonagall should arrange,the professor may not prepare the cookies that he may prepare,9,10,11,0,0,1,0,1,1
neville should not hide a chocolate that james should hide,neville should not prepare a cookie,9,10,6,0,0,0,0,0,1
james should not eat the pancakes that dobby may make,james should not assemble the baklava,9,10,6,0,0,0,0,0,1
snape can not chew the eclaires which the witch may gobble,snape may not create the cookies that she can not create,10,11,11,0,N/A,N/A,N/A,0,0
hagrid can not eat the baklava,the can not create the strudels,5,6,6,0,N/A,N/A,N/A,0,0
james can not hide a pancake,james can not hide a chocolate,5,6,6,0,1,0,0,1,1
hagrid can not arrange the chocolate,hagrid can not make the strudels,5,6,6,0,0,0,0,0,1
a wizard can not prepare the chocolate,a student can not make the pancake,6,7,7,0,1,0,0,0,1
a student should not create the souffles,a student may not the the baklava,6,7,7,0,N/A,N/A,N/A,0,0
the professor should not assemble a baklava,a professor should not assemble a cookie,6,7,7,0,0,0,0,1,1
the student should not arrange a chocolate,a student should not a a pancake,6,7,7,0,N/A,N/A,N/A,0,0
mcgonagall must not assemble the croissant,mcgonagall must not assemble a chocolate,5,6,6,0,1,0,0,1,1
petunia must not smile,petunia must not hide,3,4,4,0,1,0,0,0,1
hermione must not smile,hermione must not arrange,3,4,4,0,1,0,0,0,1
because hagrid must eat many souffles a wizard may not assemble the cookie because he must arrange the cakes,because ron must hide the baklava which ron should hide the cakes which he must make,18,19,16,0,N/A,N/A,N/A,0,0
a wizard must not hide the souffle that the witch should arrange since the wizard should make the baklava,a witch should not assemble the baklava,18,19,7,0,0,0,0,0,1
since lily must party since sirius may party ginny must not arrange the pancake which lupin may assemble,since voldemort must not the baklava that hagrid must not the baklava,17,18,12,0,N/A,N/A,N/A,0,0
snape can not create the strudels that the professor must chew,since he can chew the strudels,10,11,6,0,0,0,0,0,1
draco may not hide a cookie that the professor must gobble,draco may not arrange a cake that a student must not,10,11,11,0,N/A,N/A,N/A,0,0
because she may chew the chocolate that draco may eat since snape should make the strudels mcgonagall must not party,because must must hide the baklava which should not hide the baklava,19,20,12,0,N/A,N/A,N/A,0,0
ginny should not make a baklava which dobby must gobble because vernon should party because neville may prepare the pancake,ginny should not hide the baklava,19,20,6,0,0,0,0,0,1
hagrid can not assemble the baklava which she should hide because lupin may gobble a cake because hagrid must laugh,hagrid may not chew the baklava that a student should not hide,19,20,12,0,N/A,N/A,N/A,0,0
dobby must not sprinkle the strudels which hagrid may assemble because she may eat many croissants,hagrid should not assemble the cookies,15,16,6,0,0,0,0,0,1
since lupin must create a eclaire harry may not chew a chocolate which lupin must create,lupin must not chew a pancake that lupin must gobble,15,16,10,0,0,0,0,1,1
because she must wiggle a wizard can not sprinkle the baklava which the student may eat,because may should not eat the cakes that he should not eat the cakes that he should not,15,16,18,0,N/A,N/A,N/A,0,0
the professor must not giggle,the professor must not chew the cookies,4,5,7,0,0,0,0,0,1
because harry can assemble the baklava that lupin must make ginny may not prepare many cakes,because he must gobble the baklava which he must gobble the cakes which he must gobble,15,16,16,0,N/A,N/A,N/A,0,0
because hermione should assemble the baklava she must not eat a eclaire which draco must prepare,hermione should not eat a eclaire which he must not chew a cookie,15,16,13,0,N/A,N/A,N/A,1,0
lily must not make many doughnuts which hagrid should hide since albus must make a pancake,lily must not chew a croissant,15,16,6,0,0,0,0,0,1
sirius should not create a eclaire that snape must hide since james should gobble many chocolates,sirius should not hide the baklava that dobby should not,15,16,10,0,N/A,N/A,N/A,0,0
since hagrid may gobble many eclaires petunia must not eat a baklava that james may sprinkle,since voldemort may prepare the baklava that may may not chew the baklava,15,16,13,0,N/A,N/A,N/A,0,0
dobby must not create the cake that he must gobble,dobby must not hide the baklava,9,10,6,0,0,0,0,0,1
she must not assemble the eclaire which voldemort can assemble,she must not arrange a pancake,9,10,6,0,0,0,0,0,1
albus should not chew the doughnut which she should gobble,ron should not chew the baklava,9,10,6,0,0,0,0,1,1
harry may not make the doughnuts which dobby can sprinkle,harry can not hide the eclaires,9,10,6,0,0,0,0,0,1
snape should not make the souffles that vernon can create,snape should not chew a cookie,9,10,6,0,0,0,0,0,1
neville should not hiccup,neville should not prepare the baklava,3,4,6,0,0,0,0,0,1
snape should not swim,snape should not,3,4,3,0,N/A,N/A,N/A,0,0
mcgonagall must not laugh,mcgonagall may not laugh,3,4,4,0,1,0,0,1,1
hagrid should not gobble the doughnut that vernon must sprinkle,the student must not gobble the chocolates that lupin must gobble the chocolates that neville must gobble the chocolates,9,10,19,0,N/A,N/A,N/A,1,0
dobby should not assemble a chocolate that albus may prepare,dobby may not prepare the baklava,9,10,6,0,0,0,0,0,1
draco must not sprinkle the baklava,draco must not arrange the baklava,5,6,6,0,1,0,0,0,1
neville should not chew a cake,neville should not prepare a cake,5,6,6,0,1,0,0,0,1
a student must not smile,a student must not,4,5,4,0,N/A,N/A,N/A,0,0
a professor must not eat the baklava that the witch can arrange,the professor can not gobble the baklava,11,12,7,0,0,0,0,0,1
a student should not hide the doughnuts that a wizard can hide,a student can not chew the cookies,11,12,7,0,0,0,0,0,1
a witch can not chew a cake which the professor must gobble,a student must not create the cookies,11,12,7,0,0,0,0,0,1
since albus should eat the chocolate snape should not party,since should should not hide the pancakes that,9,10,8,0,N/A,N/A,N/A,0,0
hagrid may not eat the cookies that ron can sprinkle,the professor can not sprinkle the strudels,9,10,7,0,0,0,0,0,1
hermione may not create the pancakes that george may create,hermione may not arrange the pancakes,9,10,6,0,0,0,0,0,1
since she should chew the baklava voldemort must not run,since voldemort must hide the baklava,9,10,6,0,0,0,0,0,1
a professor should not laugh,a should not laugh,4,5,4,0,N/A,N/A,N/A,1,0
the student should not laugh,the student should not hide the baklava,4,5,7,0,0,0,0,0,1
a witch should not jump,a witch should not,4,5,4,0,N/A,N/A,N/A,0,0
the professor can not make the pancakes that he may eat since the witch must eat the doughnuts that mcgonagall must prepare,the professor can not create the baklava,21,22,7,0,0,0,0,0,1
since the student must wiggle hermione should not create the baklava because the student must make the pancakes which draco must chew,since voldemort must prepare a croissant which may not chew a chocolate,21,22,12,0,N/A,N/A,N/A,0,0
because james can hide many chocolates lupin should not walk since a professor must sprinkle a souffle which a professor should eat,because a student should eat the cakes which he must not eat the cakes that he should hide,21,22,18,0,N/A,N/A,N/A,0,0
hermione can not sprinkle a cookie that george should hide,hermione must not hide,9,10,4,0,0,0,0,0,1
hermione should not hide the cake that mcgonagall should make,hermione should not assemble a croissant,9,10,6,0,0,0,0,0,1
he should not prepare the strudel that voldemort should assemble,he should not assemble the baklava,9,10,6,0,0,0,0,0,1
dobby may not eat a cake that james may make,dobby should not hide a baklava,9,10,6,0,0,0,0,0,1
he can not prepare a cookie that lily should prepare,he can not chew a chocolate,9,10,6,0,0,0,0,0,1
a professor should not swim because a student should party,a professor should not hide a cookie,9,10,7,0,0,0,0,0,1
harry may not create the baklava that dobby must arrange,harry must not arrange the pancakes,9,10,6,0,0,0,0,0,1
the wizard must not chew the souffles which dobby should gobble,the professor must not chew the croissants,10,11,7,0,0,0,0,1,1
ginny may not sprinkle many strudels that a wizard can chew,a student not create a eclaire that a student can not,10,11,11,0,N/A,N/A,N/A,0,0
a student can not sprinkle the chocolate that neville should make,draco should not prepare a cookie that neville should make,10,11,10,0,0,1,0,0,1
james must not chew the strudels,james may not arrange the chocolate,5,6,6,0,0,0,0,0,1
ginny must not create the croissant,ginny must not,5,6,3,0,N/A,N/A,N/A,0,0
vernon can not hide the doughnuts,vernon can not hide,5,6,4,0,0,0,0,1,1
draco should not create the souffles,draco should not sprinkle the strudels,5,6,6,0,1,0,0,0,1
albus should not hide many baklava,petunia should not assemble the baklava,5,6,6,0,1,0,0,0,1
