target,prediction,source length,target length,prediction length,correct,Preserves Tree Structure,Preserves Significant Clauses,Parseable
a witch should eat the cookies,a student may sprinkle the baklava,6,6,6,0,1,0,1
dobby can create many souffles that the student must hide,dobby must hide the souffles,10,10,5,0,0,0,1
lupin should hide a eclaire that ginny must create,lupin should gobble the cakes that lupin should gobble,9,9,9,0,0,0,1
hagrid may laugh because ginny should gobble a doughnut,because a should may assemble a cookie,9,9,7,0,N/A,N/A,0
ron can chew many pancakes that james must chew,ron must chew a eclaire,9,9,5,0,0,0,1
petunia may create the chocolates which george can hide,draco can create the chocolates that vernon can create,9,9,9,0,1,0,1
ginny should arrange many baklava which lily should assemble,ginny should hide a cookie,9,9,5,0,0,0,1
since lily must sprinkle the chocolates george can hiccup,since voldemort must hide the baklava,9,9,6,0,0,0,1
since fred should party albus can make the strudels,hagrid can gobble the strudels,9,9,5,0,0,0,1
he should arrange many croissants which hermione must gobble,he should hide the cakes that he should chew,9,9,9,0,0,0,1
ron must gobble a eclaire that the student can arrange,ron must arrange,10,10,3,0,0,0,1
a wizard can arrange the cookies which hagrid should assemble,hagrid should chew the baklava,10,10,5,0,0,0,1
vernon may make a eclaire because a student should smile,vernon must hide,10,10,3,0,0,0,1
lily should eat a cookie which ginny must assemble,a professor should chew a eclaire which a student must assemble,9,9,11,0,0,1,1
snape should make the doughnuts that snape must assemble,snape must assemble the baklava that a should assemble,9,9,9,0,N/A,N/A,0
ginny may chew many cookies which george should make,ginny must arrange,9,9,3,0,0,0,1
james should prepare the cookies which vernon should arrange,vernon should hide the cookies that vernon should make,9,9,9,0,1,0,1
he may gobble a eclaire which neville must make,he may assemble a pancake,9,9,5,0,0,0,1
the student may giggle,the professor may gobble the pancakes,4,4,6,0,0,0,1
the professor may laugh,the professor may,4,4,3,0,N/A,N/A,0
the professor must laugh,the student can hide,4,4,4,0,1,0,1
mcgonagall may sprinkle a cookie,mcgonagall may assemble a chocolate,5,5,5,0,1,0,1
james may assemble many chocolates,james may eat the strudels,5,5,5,0,1,0,1
lily can make many croissants,mcgonagall can make,5,5,3,0,0,0,1
vernon should arrange the baklava,vernon should assemble the baklava,5,5,5,0,1,0,1
albus may eat a chocolate,albus may arrange a eclaire,5,5,5,0,1,0,1
a witch must swim,a witch must assemble,4,4,4,0,1,0,1
voldemort must hide a baklava that dobby should make because draco may party,voldemort must chew the strudel,13,13,5,0,0,0,1
ginny should sprinkle many chocolates that draco should assemble since fred may party,since he should chew the baklava that he should chew the baklava that he must chew,13,13,16,0,N/A,N/A,0
harry should gobble the pancakes that voldemort should eat because dobby may wiggle,harry must create the pancakes,13,13,5,0,0,0,1
fred must sprinkle the strudels,fred may gobble the chocolates,5,5,5,0,1,0,1
albus must assemble the eclaire,albus must assemble the baklava,5,5,5,0,1,0,1
he must chew the doughnuts,he must assemble,5,5,3,0,0,0,1
a professor should hiccup,a professor should assemble a a professor should assemble a cookie,4,4,11,0,N/A,N/A,0
mcgonagall may create the cake,the professor may create,5,5,4,0,0,0,1
snape must assemble the doughnut,snape must assemble the pancakes,5,5,5,0,0,0,1
albus can hide the croissants,the can hide the baklava,5,5,5,0,N/A,N/A,0
vernon should arrange the souffle,vernon should gobble the souffle,5,5,5,0,1,0,1
lily must party since the student should assemble the eclaires,lily must assemble the baklava,10,10,5,0,0,0,1
sirius may sprinkle the chocolates that the wizard must create,the must arrange the chocolates that the must create the chocolates that the must create the chocolates that the must create the chocolates that the must create,10,10,27,0,N/A,N/A,0
a witch may assemble a cake,a professor must assemble,6,6,4,0,0,0,1
a witch may assemble the doughnut,a may may the cookies,6,6,5,0,N/A,N/A,0
ron should smile since lily can chew the chocolates,ron should hide the baklava,9,9,5,0,0,0,1
harry must eat the strudel that ron must gobble,harry must create the eclaires,9,9,5,0,0,0,1
lily may laugh since james can arrange the souffle,a professor may eat the baklava,9,9,6,0,0,0,1
voldemort may chew the cake which he may assemble,voldemort may assemble a baklava,9,9,5,0,0,0,1
dobby can sprinkle the doughnuts that lupin can eat,lupin can eat the chocolates that lupin can not create the chocolates,9,9,12,0,N/A,N/A,0
dobby can create the eclaire that he must hide,he must chew the baklava,9,9,5,0,0,0,1
he must gobble the strudels which she should eat,he must eat the cakes which he may gobble,9,9,9,0,1,0,1
hermione can create the cookie that snape may create,since the may prepare the pancakes that she may eat,9,9,10,0,N/A,N/A,0
petunia must eat the cookies that voldemort must sprinkle,petunia must gobble the baklava,9,9,5,0,0,0,1
a student should hide a doughnut that sirius can sprinkle,a student can sprinkle a eclaire,10,10,6,0,0,0,1
george can chew the pancakes that she must make,george must chew the strudel,9,9,5,0,0,0,1
because petunia may make the eclaires petunia must giggle,because voldemort must eat the baklava that albus must chew,9,9,10,0,0,0,1
harry can chew many baklava that albus may eat,harry may eat the pancakes,9,9,5,0,0,0,1
snape must chew many cakes which snape must sprinkle,snape must chew the pancakes,9,9,5,0,0,0,1
voldemort must arrange the doughnut that dobby must prepare,voldemort must hide the cookies,9,9,5,0,0,0,1
neville may arrange the pancake because vernon should create a strudel that george should gobble,neville should hide a cake that vernon should chew a souffle that neville should chew,15,15,15,0,N/A,N/A,0
a student must arrange the cake which a professor may create because vernon can laugh,a witch can sprinkle,15,15,4,0,0,0,1
because albus should prepare the pancake which neville may make ginny can prepare the chocolates,because the can eat the baklava,15,15,6,0,N/A,N/A,0
because he should gobble the pancakes that george should hide fred must sprinkle the eclaire,because a professor may assemble the baklava,15,15,7,0,0,0,1
because dobby must chew the strudel that voldemort must gobble harry must make many pancakes,because must must chew the baklava that albus must make,15,15,10,0,N/A,N/A,0
because a witch may create a eclaire that a wizard should hide ginny may sprinkle the croissant,because the may sprinkle the baklava,17,17,6,0,N/A,N/A,0
draco must create the eclaire,draco must make,5,5,3,0,0,0,1
neville must create the croissant,neville may assemble the cookies,5,5,5,0,0,0,1
dobby should assemble the chocolates,dobby should hide the strudel,5,5,5,0,0,0,1
lily should assemble the baklava,the should hide the pancakes,5,5,5,0,N/A,N/A,0
voldemort can assemble a doughnut,voldemort can hide a croissant,5,5,5,0,1,0,1
because fred must eat the cookies sirius may assemble the eclaires,because the student may gobble the baklava,11,11,7,0,0,0,1
lupin should hide the croissants because snape can sprinkle the cake,lupin should gobble the souffles,11,11,5,0,0,0,1
since ginny should sprinkle the baklava lily must party since she should arrange the cookie,the student must sprinkle the baklava,15,15,6,0,0,0,1
hagrid must hide a doughnut because fred must hiccup since vernon should eat the chocolate,hagrid may assemble the baklava,15,15,5,0,0,0,1
since lupin may gobble a chocolate dobby must gobble the baklava which petunia should eat,lupin may gobble the cakes that lupin may gobble,15,15,9,0,0,0,1
since lily may eat a cake ginny can create a croissant that lupin can assemble,lupin can arrange the chocolates that lupin can arrange the cookie that lupin can arrange,15,15,15,0,N/A,N/A,0
since voldemort may eat a baklava she should eat the cakes,since the student may assemble the baklava,11,11,7,0,0,0,1
because he can chew the baklava fred may arrange a croissant,because a professor may prepare a cookie,11,11,7,0,0,0,1
a student can prepare the souffle that a witch must gobble,a professor must create the souffle,11,11,6,0,0,0,1
voldemort should make a cookie that petunia must create since george may eat the croissants,voldemort should create the baklava,15,15,5,0,0,0,1
because albus can run mcgonagall should sprinkle the doughnuts since george should make the souffles,because the should hide the baklava,15,15,6,0,N/A,N/A,0
hagrid may eat the baklava since petunia must hide the baklava that harry should prepare,the professor may prepare the strudels,15,15,6,0,0,0,1
george can make a cake since voldemort may eat the souffles which she can eat,george can eat,15,15,3,0,0,0,1
albus must assemble many cakes that she can hide since ginny should prepare a eclaire,albus must create a cake,15,15,5,0,0,0,1
dobby should assemble the chocolates which a witch must prepare,dobby must hide the baklava,10,10,5,0,0,0,1
albus may gobble the souffle,albus may assemble the baklava,5,5,5,0,1,0,1
fred may sprinkle the strudels,james may arrange the strudels,5,5,5,0,1,0,1
voldemort can create the doughnut,the can can create the doughnut,5,5,6,0,N/A,N/A,0
hermione may eat the eclaires,hermione may gobble the pancakes,5,5,5,0,1,0,1
albus must assemble a baklava,albus must assemble a baklava,5,5,5,1,1,1,1
he should create the baklava which mcgonagall should make,he should make a pancake which should should make,9,9,9,0,N/A,N/A,0
dobby should hide many strudels that he may gobble,he may gobble the cookies that he should create,9,9,9,0,0,0,1
since a student may eat the pancakes which a wizard must arrange albus can make the strudels that vernon should make,vernon should make a cake,21,21,5,0,0,0,1
because she must sprinkle the souffles that voldemort should eat a professor should chew a cake that neville can gobble,because a professor may eat the baklava that a student may prepare a cookie,20,20,14,0,N/A,N/A,0
a student must create many strudels which albus can hide,a professor should arrange a chocolate which a student must chew,10,10,11,0,0,1,1
a professor can arrange the souffle which a student must arrange,a professor must create a cake,11,11,6,0,0,0,1
sirius may assemble the chocolates since ginny should make the eclaire,sirius can make the strudels,11,11,5,0,0,0,1
dobby can eat the doughnut because lily may prepare many souffles,mcgonagall may prepare the strudels which should may prepare the strudels which should may prepare the strudels,11,11,17,0,N/A,N/A,0
she should arrange the eclaires because james should gobble the chocolate,she should sprinkle the baklava,11,11,5,0,0,0,1
a student should sprinkle many souffles,a student should sprinkle a cookie,6,6,6,0,0,0,1
a student may hide the baklava,a student may hide the baklava,6,6,6,1,1,1,1
a student may walk,a student should,4,4,3,0,N/A,N/A,0
the student may laugh,the professor can gobble,4,4,4,0,1,0,1
a student can smile,a student can arrange,4,4,4,0,1,0,1
because sirius must assemble the doughnuts that james can prepare ron should assemble the baklava which mcgonagall can prepare,because a professor can sprinkle the pancake,19,19,7,0,0,0,1
since lily must eat the baklava that mcgonagall should sprinkle lily should prepare the pancakes that he must arrange,since should should chew the baklava that ginny should make,19,19,10,0,N/A,N/A,0
neville must prepare a baklava because sirius should arrange the doughnuts,neville must assemble the baklava,11,11,5,0,0,0,1
the professor should hide the eclaire which a student should eat,the professor should chew the cakes that a student should chew,11,11,11,0,0,0,1
since hermione must arrange the strudel vernon should assemble a croissant,since voldemort must assemble a croissant,11,11,6,0,0,0,1
draco can prepare a cake that the wizard must make since she must wiggle because draco should gobble many chocolates,draco must chew the cookies that he can chew,20,20,9,0,0,0,1
she should hide many cookies that petunia should prepare because fred must eat the souffles that voldemort can gobble,she should create the cookies that she should create,19,19,9,0,0,0,1
sirius must assemble a baklava that petunia must make because a professor can sprinkle the cookie,sirius may gobble the chocolate,16,16,5,0,0,0,1
the wizard must chew the cakes since snape must chew the eclaires that she should make,the professor must chew the pancake,16,16,6,0,0,0,1
ginny should create a chocolate,ginny should assemble a cookie,5,5,5,0,1,0,1
albus must make a souffle,albus must chew a baklava,5,5,5,0,1,0,1
james should create a cake,james should hide a pancake,5,5,5,0,1,0,1
sirius must create the cookies,sirius must gobble,5,5,3,0,0,0,1
snape should eat many eclaires,snape should hide the souffles,5,5,5,0,1,0,1
lupin must arrange the doughnut,lupin must make the souffles,5,5,5,0,0,0,1
sirius may make many chocolates,sirius may gobble the eclaires,5,5,5,0,1,0,1
hermione can gobble the eclaires,hermione can gobble the baklava,5,5,5,0,1,0,1
dobby should gobble the cookie,dobby may gobble the baklava,5,5,5,0,1,0,1
vernon may make the croissant since james should gobble a eclaire that james may eat,vernon may eat the chocolates that vernon may not,15,15,9,0,N/A,N/A,0
because james may chew many pancakes draco should jump since lupin should make the doughnuts,because the professor may arrange the baklava,15,15,7,0,0,0,1
since sirius may prepare the pancakes which hermione must create fred may eat a strudel,hermione must chew the baklava which a professor must chew,15,15,10,0,0,0,1
since voldemort may sprinkle the chocolate george should arrange the doughnuts that the student can create,the professor can gobble the pancakes that the student may gobble the pancakes that the student can create,16,16,18,0,N/A,N/A,0
he should assemble the baklava that hagrid must gobble since a professor must arrange a cake,he should chew a cake,16,16,5,0,0,0,1
ron may walk,ron may sprinkle,3,3,3,0,1,0,1
lily should jump,a should should prepare,3,3,4,0,N/A,N/A,0
she must party,she must chew,3,3,3,0,1,0,1
lupin may jump,lupin may gobble,3,3,3,0,1,0,1
lily can wiggle,lily can wiggle,3,3,3,1,1,1,1
the professor must party,the must must chew the baklava,4,4,6,0,N/A,N/A,0
a witch should run,a witch should sprinkle,4,4,4,0,1,0,1
the professor must prepare the cookies which mcgonagall may sprinkle,the professor may sprinkle the baklava,10,10,6,0,0,0,1
since james may laugh a wizard should eat the souffle,since the may hide the baklava,10,10,6,0,N/A,N/A,0
lupin can prepare the pancake which the professor may make,vernon can prepare a croissant,10,10,5,0,0,0,1
harry may chew the strudels,harry may create,5,5,3,0,0,0,1
hagrid should arrange the pancakes,hagrid should arrange the pancakes,5,5,5,1,1,1,1
since she may sprinkle the strudels which he must assemble ron can jump,since the must assemble the strudels which hagrid must assemble the strudels,13,13,12,0,N/A,N/A,0
since the student may prepare the croissant fred must chew the cookies,the professor may assemble the baklava that the student may assemble the strudels,12,12,13,0,N/A,N/A,0
a professor can arrange a doughnut which harry must chew,a student must create a doughnut,10,10,6,0,0,0,1
vernon must create the souffle,vernon must hide the baklava,5,5,5,0,1,0,1
neville must prepare many croissants,neville must assemble the baklava,5,5,5,0,1,0,1
since he can make many chocolates george may gobble the strudels which vernon can chew since a student can gobble the cakes,vernon can hide a pancake which hagrid can create,22,22,9,0,0,0,1
since the student may assemble the doughnuts which the wizard should chew since she can hide a chocolate a wizard must hiccup,since a professor should chew a baklava,22,22,7,0,0,0,1
the professor may arrange a baklava that lily may assemble,the professor may assemble the baklava,10,10,6,0,0,0,1
the student can eat the souffles which she should create,the professor can eat the pancakes that the professor can eat,10,10,11,0,0,1,1
the professor should assemble the baklava which mcgonagall can prepare,the professor should sprinkle the souffles,10,10,6,0,0,0,1
petunia should arrange the cookies which she must create,petunia must hide the baklava,9,9,5,0,0,0,1
george may make the cookies which draco can prepare,draco can can the doughnut,9,9,5,0,N/A,N/A,0
hagrid must eat the eclaires which he should make,hagrid must chew a pancake,9,9,5,0,0,0,1
he can gobble the pancakes that hermione should sprinkle,she should sprinkle the chocolates that the may sprinkle,9,9,9,0,N/A,N/A,0
petunia must prepare the strudels that lily should sprinkle,james should create the strudels,9,9,5,0,0,0,1
because mcgonagall may arrange a cookie george should chew the doughnut,because a professor should chew the baklava,11,11,7,0,0,0,1
the wizard may hide the baklava which a professor should hide,the professor must prepare a chocolate,11,11,6,0,0,0,1
the wizard may gobble the baklava,the may assemble the baklava,6,6,5,0,N/A,N/A,0
a professor may chew the cakes,a professor may a the strudel,6,6,6,0,N/A,N/A,0
the student should prepare the cakes,the student may gobble the cakes,6,6,6,0,1,0,1
because lily must hide a croissant which snape can gobble voldemort may sprinkle the strudels that albus should make,because a professor can make a cake,19,19,7,0,0,0,1
because george must gobble the cookies that petunia can arrange harry should create the cookie which petunia can eat,because the can eat the cakes that can can gobble the pancake,19,19,12,0,N/A,N/A,0
the wizard must giggle,the professor must chew the cookies,4,4,6,0,0,0,1
a student must prepare many cakes,a student must hide,6,6,4,0,0,0,1
a professor should sprinkle the doughnuts,a student may assemble the baklava,6,6,6,0,1,0,1
sirius should sprinkle the baklava,the student should sprinkle,5,5,4,0,0,0,1
snape must chew a baklava,snape must chew the baklava,5,5,5,0,1,0,1
fred can sprinkle the baklava,ginny can gobble the baklava,5,5,5,0,1,0,1
ginny must gobble the pancakes,ginny must arrange the baklava,5,5,5,0,1,0,1
draco should prepare a cookie,draco should make a pancake,5,5,5,0,1,0,1
a student should chew the eclaire,a student should hide a baklava,6,6,6,0,1,0,1
a professor must create the eclaires,a professor must chew the baklava,6,6,6,0,1,0,1
the student may make the doughnuts,the can hide the,6,6,4,0,N/A,N/A,0
mcgonagall can make the strudels that dobby can prepare since she may assemble a croissant,the professor may prepare the strudels,15,15,6,0,0,0,1
because harry can prepare the chocolates since he must hiccup harry should chew many souffles,because must must chew the baklava which should not chew the baklava which he must make,15,15,16,0,N/A,N/A,0
george may assemble the souffles which mcgonagall may sprinkle since ron should gobble a strudel,george must not arrange a pancake,15,15,6,0,0,0,1
because snape must prepare the strudel voldemort may prepare the cookie which ginny must sprinkle,because a student must eat the baklava which he must create a cookie,15,15,13,0,N/A,N/A,0
sirius must sprinkle many croissants that she should assemble,sirius must gobble the baklava,9,9,5,0,0,0,1
dobby should eat a croissant that lupin must hide,dobby must hide the strudel,9,9,5,0,0,0,1
dobby must prepare the pancake which ginny must make,dobby must hide the strudel,9,9,5,0,0,0,1
ginny should sprinkle the croissant which he may sprinkle,the may not the cookies which the may sprinkle the cookies which she may sprinkle,9,9,15,0,N/A,N/A,0
he can gobble the eclaires that snape can assemble,the can hide the croissants,9,9,5,0,N/A,N/A,0
she must gobble many pancakes since neville should chew the baklava,she must chew the baklava,11,11,5,0,0,0,1
harry must prepare a chocolate since hermione should prepare the doughnuts,harry must create the baklava,11,11,5,0,0,0,1
mcgonagall should chew a eclaire because ginny may make the croissants,mcgonagall should assemble the baklava,11,11,5,0,0,0,1
the professor can run,the can can the,4,4,4,0,N/A,N/A,0
snape can smile,snape can not,3,3,3,0,N/A,N/A,0
hermione should swim,hermione should hide the baklava,3,3,5,0,0,0,1
sirius should laugh,sirius should laugh,3,3,3,1,1,1,1
james must swim,james must assemble,3,3,3,0,1,0,1
a witch must run,a witch must make,4,4,4,0,1,0,1
lily can assemble a doughnut that he can sprinkle,a can arrange a chocolate,9,9,5,0,N/A,N/A,0
harry must arrange the strudel which ron must sprinkle,harry must create the pancakes,9,9,5,0,0,0,1
sirius should chew a pancake since hermione may swim,sirius should chew a baklava which he should chew,9,9,9,0,0,0,1
hermione may assemble the cookie which she should assemble,hermione may gobble the baklava that hermione must gobble,9,9,9,0,0,0,1
harry may create the baklava since a professor may jump since lupin may laugh,harry may prepare the pancakes,14,14,5,0,0,0,1
since snape may eat the baklava which james should make dobby may jump,since dobby should hide,13,13,4,0,0,0,1
