Target Sentence,Predicted Sentence,Source Length,Target Length,Prediction Length,Correct Transformation,Parseable,Preserves Identical Tree Structure,"Preserves Significant Clauses (S, AdvP, RelP)"
since harry can make the eclaires that petunia may eat the student should gobble the chocolate,since harry can make the eclaires that petunia may eat the student should gobble the chocolate,16,16,16,1,1,1,1
because the wizard should eat a doughnut harry should sprinkle the chocolates that fred may sprinkle,because the wizard should eat a doughnut harry should sprinkle the chocolates that fred may sprinkle,16,16,16,1,1,1,1
he must arrange a eclaire since james must create a strudel,he must arrange a eclaire since james must create a strudel,11,11,11,1,1,1,1
since hermione must arrange the strudel vernon should assemble a croissant,since hermione must arrange the strudel vernon should assemble a croissant,11,11,11,1,1,1,1
because ron should hide the pancakes that a professor should create because she should hide the chocolates albus may giggle,because ron should hide the pancakes that a professor should create because she should hide the chocolates albus may giggle,20,20,20,1,1,1,1
since vernon may hiccup neville must eat a souffle that vernon may sprinkle since ron should chew a souffle,since vernon may hiccup neville must eat a souffle that vernon may sprinkle since ron should chew a souffle,19,19,19,1,1,1,1
since dobby can gobble the pancakes since snape should hide a croissant that she may make petunia must walk,since dobby can gobble the pancakes since snape should hide a croissant that she may make petunia must walk,19,19,19,1,1,1,1
the wizard can jump,the wizard can jump,4,4,4,1,1,1,1
the wizard must create a chocolate that a witch may create,the wizard must create a chocolate that a witch may create,11,11,11,1,1,1,1
since voldemort must hide the cookies harry should prepare many eclaires,since voldemort must hide the cookies harry should prepare many eclaires,11,11,11,1,1,1,1
a professor can arrange the croissants,a professor can arrange the croissants,6,6,6,1,1,1,1
because vernon must assemble the baklava ginny must make the cookies,because vernon must assemble the baklava ginny must make the cookies,11,11,11,1,1,1,1
james must hide the doughnut because draco can create many souffles,james must hide the doughnut because draco can create many souffles,11,11,11,1,1,1,1
because ginny should make a chocolate that hagrid can chew neville can arrange a cake that sirius must assemble,because ginny should make a chocolate that hagrid can chew neville can arrange a cake that sirius must assemble,19,19,19,1,1,1,1
because lily can gobble the souffle that snape must prepare he can hide a cookie that mcgonagall must chew,because lily can gobble the souffle that snape must prepare he can hide a cookie that mcgonagall must chew,19,19,19,1,1,1,1
lily must prepare the souffle since neville must run because dobby should hide the baklava which albus must arrange,lily must prepare the souffle since neville must run because dobby should hide the baklava which albus must arrange,19,19,19,1,1,1,1
since harry should hide the eclaires that he should hide ron should arrange a cookie that ginny must gobble,since harry should hide the eclaires that he should hide ron should arrange a cookie that ginny must gobble,19,19,19,1,1,1,1
hagrid can create many eclaires that a witch can eat because sirius can wiggle,hagrid can create many eclaires that a witch can eat because sirius can wiggle,14,14,14,1,1,1,1
ginny must sprinkle the baklava,ginny must sprinkle the baklava,5,5,5,1,1,1,1
ron must chew the doughnut,ron must chew the doughnut,5,5,5,1,1,1,1
neville may chew the eclaire,neville may chew the eclaire,5,5,5,1,1,1,1
because dobby should assemble many doughnuts fred can hide the cakes,because dobby should assemble many doughnuts fred can hide the cakes,11,11,11,1,1,1,1
james should create a croissant because draco should assemble the pancake,james should create a croissant because draco should assemble the pancake,11,11,11,1,1,1,1
since petunia must assemble a baklava hagrid must arrange the souffles,since petunia must assemble a baklava hagrid must arrange the souffles,11,11,11,1,1,1,1
albus may sprinkle the cookie because he can arrange the pancakes,albus may sprinkle the cookie because he can arrange the pancakes,11,11,11,1,1,1,1
because voldemort should hide a baklava because she should gobble a chocolate albus may create the eclaires,because voldemort should hide a baklava because she should gobble a chocolate albus may create the eclaires,17,17,17,1,1,1,1
since the professor should eat the baklava a professor can eat the strudels that snape may chew,since the professor should eat the baklava a professor can eat the strudels that snape may chew,17,17,17,1,1,1,1
ron can jump because mcgonagall can smile since the wizard should create the cookie that snape can chew,ron can jump because mcgonagall can smile since the wizard should create the cookie that snape can chew,18,18,18,1,1,1,1
since the student should arrange the souffles a witch can create a baklava that a wizard must prepare,since the student should arrange the souffles a witch can create a baklava that a wizard must prepare,18,18,18,1,1,1,1
sirius must make the doughnut which james may eat,sirius must make the doughnut which james may eat,9,9,9,1,1,1,1
draco may prepare the cookies that he may prepare,draco may prepare the cookies that he may prepare,9,9,9,1,1,1,1
hagrid may make the cookie which lupin must make,hagrid may make the cookie which lupin must make,9,9,9,1,1,1,1
sirius can arrange many strudels that fred must eat,sirius can arrange many strudels that fred must eat,9,9,9,1,1,1,1
snape should arrange the baklava that neville may arrange,snape should arrange the baklava that neville may arrange,9,9,9,1,1,1,1
the witch must sprinkle the eclaires that mcgonagall may create,the witch must sprinkle the eclaires that mcgonagall may create,10,10,10,1,1,1,1
since he may prepare the baklava albus should chew the eclaires,since he may prepare the baklava albus should chew the eclaires,11,11,11,1,1,1,1
lily must jump,lily must jump,3,3,3,1,1,1,1
sirius may wiggle,sirius may wiggle,3,3,3,1,1,1,1
fred must run,fred must run,3,3,3,1,1,1,1
neville should swim,neville should swim,3,3,3,1,1,1,1
she should wiggle,she should wiggle,3,3,3,1,1,1,1
ron can chew many croissants which snape should create,ron can chew many croissants which snape should create,9,9,9,1,1,1,1
hermione should prepare a pancake which lily can arrange,hermione should prepare a pancake which lily can arrange,9,9,9,1,1,1,1
snape should hide many cakes that dobby may arrange,snape should hide many cakes that dobby may arrange,9,9,9,1,1,1,1
hagrid should create a strudel that george must arrange,hagrid should create a strudel that george must arrange,9,9,9,1,1,1,1
she must eat a cake which petunia should chew,she must eat a cake which petunia should chew,9,9,9,1,1,1,1
draco may chew the souffle that george can sprinkle,draco may chew the souffle that george can sprinkle,9,9,9,1,1,1,1
petunia may wiggle since draco may sprinkle the doughnut,petunia may wiggle since draco may sprinkle the doughnut,9,9,9,1,1,1,1
mcgonagall can gobble the croissants that draco must eat,mcgonagall can gobble the croissants that draco must eat,9,9,9,1,1,1,1
james can giggle since sirius should party,james can giggle since sirius should party,7,7,7,1,1,1,1
lily may walk,lily may walk,3,3,3,1,1,1,1
harry can run,harry can run,3,3,3,1,1,1,1
fred should run,fred should run,3,3,3,1,1,1,1
mcgonagall may jump,mcgonagall may jump,3,3,3,1,1,1,1
george should hiccup,george should hiccup,3,3,3,1,1,1,1
since albus should chew the chocolate that petunia should chew sirius must swim,since albus should chew the chocolate that petunia should chew sirius must swim,13,13,13,1,1,1,1
because hermione should party she must create the baklava that george can eat,because hermione should party she must create the baklava that george can eat,13,13,13,1,1,1,1
because ginny may eat the strudels that sirius must make james can laugh,because ginny may eat the strudels that sirius must make james can laugh,13,13,13,1,1,1,1
ginny should chew a cake,ginny should chew a cake,5,5,5,1,1,1,1
voldemort can create the doughnut,voldemort can create the doughnut,5,5,5,1,1,1,1
hermione should prepare the strudel,hermione should prepare the strudel,5,5,5,1,1,1,1
she should prepare the pancake,she should prepare the pancake,5,5,5,1,1,1,1
james must sprinkle the pancakes,james must sprinkle the pancakes,5,5,5,1,1,1,1
he may create the eclaire,he may create the eclaire,5,5,5,1,1,1,1
voldemort may arrange the doughnuts,voldemort may arrange the doughnuts,5,5,5,1,1,1,1
hermione must prepare the eclaires,hermione must prepare the eclaires,5,5,5,1,1,1,1
vernon should gobble many pancakes,vernon should gobble many pancakes,5,5,5,1,1,1,1
the wizard must sprinkle a croissant,the wizard must sprinkle a croissant,6,6,6,1,1,1,1
because the student must create a croissant voldemort may laugh,because the student must create a croissant voldemort may laugh,10,10,10,1,1,1,1
because ron should gobble the baklava albus must eat a strudel,because ron should gobble the baklava albus must eat a strudel,11,11,11,1,1,1,1
the wizard may sprinkle the baklava which the witch may arrange,the wizard may sprinkle the baklava which the witch may arrange,11,11,11,1,1,1,1
because albus can smile a professor should prepare a pancake,because albus can smile a professor should prepare a pancake,10,10,10,1,1,1,1
she may gobble a pancake because sirius should run,she may gobble a pancake because sirius should run,9,9,9,1,1,1,1
ginny must prepare a souffle which neville can make,ginny must prepare a souffle which neville can make,9,9,9,1,1,1,1
since ron can hide the cakes lupin must run,since ron can hide the cakes lupin must run,9,9,9,1,1,1,1
lily can assemble a doughnut that he can sprinkle,lily can assemble a doughnut that he can sprinkle,9,9,9,1,1,1,1
hagrid must hide the cookie that voldemort should hide,hagrid must hide the cookie that voldemort should hide,9,9,9,1,1,1,1
neville must gobble a croissant,neville must gobble a croissant,5,5,5,1,1,1,1
petunia must arrange many pancakes,petunia must arrange many pancakes,5,5,5,1,1,1,1
he must chew a doughnut,he must chew a doughnut,5,5,5,1,1,1,1
draco can assemble the strudels,draco can assemble the strudels,5,5,5,1,1,1,1
voldemort must sprinkle many croissants,voldemort must sprinkle many croissants,5,5,5,1,1,1,1
james should assemble the croissant,james should assemble the croissant,5,5,5,1,1,1,1
ginny can arrange the baklava,ginny can arrange the baklava,5,5,5,1,1,1,1
albus must gobble the doughnuts,albus must gobble the doughnuts,5,5,5,1,1,1,1
vernon may gobble many croissants since the student can eat the chocolate that hermione should assemble,vernon may gobble many croissants since the student can eat the chocolate that hermione should assemble,16,16,16,1,1,1,1
the student should prepare the strudel because petunia must make the pancakes since vernon may run,the student should prepare the strudel because petunia must make the pancakes since vernon may run,16,16,16,1,1,1,1
because voldemort should arrange a baklava petunia can chew a cake because hermione must prepare a cake which dobby can prepare,because voldemort should arrange a baklava petunia can chew a cake because hermione must prepare a cake which dobby can prepare,21,21,21,1,1,1,1
albus should create the doughnuts which hagrid should create since george should make many cakes since ron may chew the souffles,albus should create the doughnuts which hagrid should create since george should make many cakes since ron may chew the souffles,21,21,21,1,1,1,1
the wizard must eat the baklava that albus may prepare because lily must chew the chocolate because a professor may giggle,the wizard must eat the baklava that albus may prepare because lily must chew the chocolate because a professor may giggle,21,21,21,1,1,1,1
james should gobble the croissants,james should gobble the croissants,5,5,5,1,1,1,1
lupin may eat the cookie,lupin may eat the cookie,5,5,5,1,1,1,1
james can gobble a cookie,james can gobble a cookie,5,5,5,1,1,1,1
petunia may assemble many strudels,petunia may assemble many strudels,5,5,5,1,1,1,1
snape must hide the strudels,snape must hide the strudels,5,5,5,1,1,1,1
since hagrid must make the chocolates that neville must sprinkle ginny should chew a baklava,since hagrid must make the chocolates that neville must sprinkle ginny should chew a baklava,15,15,15,1,1,1,1
because ginny should swim because she must assemble the pancake fred can create the cakes,because ginny should swim because she must assemble the pancake fred can create the cakes,15,15,15,1,1,1,1
hagrid must gobble the cakes that lily should hide since dobby must arrange the baklava,hagrid must gobble the cakes that lily should hide since dobby must arrange the baklava,15,15,15,1,1,1,1
a professor must create the souffles,a professor must create the souffles,6,6,6,1,1,1,1
dobby should gobble many eclaires,dobby should gobble many eclaires,5,5,5,1,1,1,1
snape may arrange a baklava,snape may arrange a baklava,5,5,5,1,1,1,1
snape may create the souffles,snape may create the souffles,5,5,5,1,1,1,1
hermione should assemble the chocolates,hermione should assemble the chocolates,5,5,5,1,1,1,1
george should gobble the doughnuts,george should gobble the doughnuts,5,5,5,1,1,1,1
snape should sprinkle the pancake,snape should sprinkle the pancake,5,5,5,1,1,1,1
a student can chew the chocolate,a student can chew the chocolate,6,6,6,1,1,1,1
a witch should hiccup,a witch should hiccup,4,4,4,1,1,1,1
snape may hiccup since the student may jump since dobby can smile,snape may hiccup since the student may jump since dobby can smile,12,12,12,1,1,1,1
james should party,james should party,3,3,3,1,1,1,1
albus must smile,albus must smile,3,3,3,1,1,1,1
lupin should run,lupin should run,3,3,3,1,1,1,1
lily can hiccup,lily can hiccup,3,3,3,1,1,1,1
mcgonagall may hiccup,mcgonagall may hiccup,3,3,3,1,1,1,1
albus may wiggle,albus may wiggle,3,3,3,1,1,1,1
dobby should run,dobby should run,3,3,3,1,1,1,1
voldemort should swim,voldemort should swim,3,3,3,1,1,1,1
james can swim,james can swim,3,3,3,1,1,1,1
george must walk,george must walk,3,3,3,1,1,1,1
hagrid can create the baklava,hagrid can create the baklava,5,5,5,1,1,1,1
dobby should arrange the pancakes,dobby should arrange the pancakes,5,5,5,1,1,1,1
vernon must assemble a pancake,vernon must assemble a pancake,5,5,5,1,1,1,1
draco must gobble a eclaire,draco must gobble a eclaire,5,5,5,1,1,1,1
petunia can assemble the cakes,petunia can assemble the cakes,5,5,5,1,1,1,1
a professor should arrange many cookies that a wizard may gobble,a professor should arrange many cookies that a wizard may gobble,11,11,11,1,1,1,1
a professor may gobble the baklava that a student may chew,a professor may gobble the baklava that a student may chew,11,11,11,1,1,1,1
because he should chew a souffle she must gobble the cookie,because he should chew a souffle she must gobble the cookie,11,11,11,1,1,1,1
a student may assemble the pancakes,a student may assemble the pancakes,6,6,6,1,1,1,1
since a professor should laugh mcgonagall can eat the cookie,since a professor should laugh mcgonagall can eat the cookie,10,10,10,1,1,1,1
the professor should chew the strudels that lily should sprinkle,the professor should chew the strudels that lily should sprinkle,10,10,10,1,1,1,1
a student should giggle,a student should giggle,4,4,4,1,1,1,1
because vernon must laugh petunia must prepare the cakes which draco may hide,because vernon must laugh petunia must prepare the cakes which draco may hide,13,13,13,1,1,1,1
because the witch may prepare the cakes the student must create a eclaire,because the witch may prepare the cakes the student must create a eclaire,13,13,13,1,1,1,1
because lily may wiggle dobby should assemble a eclaire that hagrid must chew,because lily may wiggle dobby should assemble a eclaire that hagrid must chew,13,13,13,1,1,1,1
because neville may chew a souffle that snape may create dobby must hiccup,because neville may chew a souffle that snape may create dobby must hiccup,13,13,13,1,1,1,1
petunia should create the croissant,petunia should create the croissant,5,5,5,1,1,1,1
draco should prepare a cookie,draco should prepare a cookie,5,5,5,1,1,1,1
sirius should gobble the doughnuts,sirius should gobble the doughnuts,5,5,5,1,1,1,1
neville should prepare the cake,neville should prepare the cake,5,5,5,1,1,1,1
mcgonagall can gobble the pancake,mcgonagall can gobble the pancake,5,5,5,1,1,1,1
a student can eat a doughnut which she must arrange,a student can eat a doughnut which she must arrange,10,10,10,1,1,1,1
the wizard should arrange a strudel that sirius must arrange,the wizard should arrange a strudel that sirius must arrange,10,10,10,1,1,1,1
voldemort should gobble the baklava which petunia may arrange,voldemort should gobble the baklava which petunia may arrange,9,9,9,1,1,1,1
he may gobble the baklava that petunia must arrange,he may gobble the baklava that petunia must arrange,9,9,9,1,1,1,1
voldemort must eat the baklava that petunia may make,voldemort must eat the baklava that petunia may make,9,9,9,1,1,1,1
vernon can make a croissant that fred must assemble,vernon can make a croissant that fred must assemble,9,9,9,1,1,1,1
george can sprinkle a souffle that lily must sprinkle,george can sprinkle a souffle that lily must sprinkle,9,9,9,1,1,1,1
the wizard should eat a eclaire which vernon can prepare,the wizard should eat a eclaire which vernon can prepare,10,10,10,1,1,1,1
a wizard can arrange the cookies which hagrid should assemble,a wizard can arrange the cookies which hagrid should assemble,10,10,10,1,1,1,1
since ron should arrange many eclaires which petunia can assemble the student must sprinkle many eclaires,since ron should arrange many eclaires which petunia can assemble the student must sprinkle many eclaires,16,16,16,1,1,1,1
he may chew the cakes since lupin must make a cake that a professor should arrange,he may chew the cakes since lupin must make a cake that a professor should arrange,16,16,16,1,1,1,1
since the student may chew the strudels which ginny must hide sirius may giggle because voldemort must hide the souffle,since the student may chew the strudels which ginny must hide sirius may giggle because voldemort must hide the souffle,20,20,20,1,1,1,1
because a student must prepare a strudel that harry should hide ron may arrange a doughnut that he can eat,because a student must prepare a strudel that harry should hide ron may arrange a doughnut that he can eat,20,20,20,1,1,1,1
hermione must walk,hermione must walk,3,3,3,1,1,1,1
he must giggle,he must giggle,3,3,3,1,1,1,1
draco can wiggle,draco can wiggle,3,3,3,1,1,1,1
draco must smile,draco must smile,3,3,3,1,1,1,1
lily must party,lily must party,3,3,3,1,1,1,1
the student may assemble the cookies which sirius must chew,the student may assemble the cookies which sirius must chew,10,10,10,1,1,1,1
hermione should eat a chocolate that the professor should create,hermione should eat a chocolate that the professor should create,10,10,10,1,1,1,1
because albus must chew a eclaire that albus can eat snape may assemble the eclaire that she must chew because harry can walk,because albus must chew a eclaire that albus can eat snape may assemble the eclaire that she must chew because harry can walk,23,23,23,1,1,1,1
a witch can eat a cake that the professor should chew since vernon must gobble the cake which he can make,a witch can eat a cake that the professor should chew since vernon must gobble the cake which he can make,21,21,21,1,1,1,1
a student must gobble the doughnuts,a student must gobble the doughnuts,6,6,6,1,1,1,1
ron may make the chocolate that a witch should eat,ron may make the chocolate that a witch should eat,10,10,10,1,1,1,1
a wizard may arrange a souffle that sirius should create,a wizard may arrange a souffle that sirius should create,10,10,10,1,1,1,1
albus must make a souffle,albus must make a souffle,5,5,5,1,1,1,1
sirius should make the doughnut,sirius should make the doughnut,5,5,5,1,1,1,1
neville must prepare the doughnuts,neville must prepare the doughnuts,5,5,5,1,1,1,1
mcgonagall can create the cookies,mcgonagall can create the cookies,5,5,5,1,1,1,1
voldemort may hide a souffle,voldemort may hide a souffle,5,5,5,1,1,1,1
albus should chew a eclaire which the student should make,albus should chew a eclaire which the student should make,10,10,10,1,1,1,1
lupin must eat the eclaires which a witch should prepare,lupin must eat the eclaires which a witch should prepare,10,10,10,1,1,1,1
hagrid must assemble the chocolate that mcgonagall should arrange,hagrid must assemble the chocolate that mcgonagall should arrange,9,9,9,1,1,1,1
james should gobble the baklava that voldemort can sprinkle,james should gobble the baklava that voldemort can sprinkle,9,9,9,1,1,1,1
voldemort may make the chocolates that neville should make,voldemort may make the chocolates that neville should make,9,9,9,1,1,1,1
because snape must arrange the baklava petunia should swim,because snape must arrange the baklava petunia should swim,9,9,9,1,1,1,1
lupin must smile since snape can gobble the pancakes,lupin must smile since snape can gobble the pancakes,9,9,9,1,1,1,1
vernon should sprinkle a cake,vernon should sprinkle a cake,5,5,5,1,1,1,1
ginny should assemble a baklava,ginny should assemble a baklava,5,5,5,1,1,1,1
vernon should make the cookie,vernon should make the cookie,5,5,5,1,1,1,1
fred should gobble the strudel,fred should gobble the strudel,5,5,5,1,1,1,1
hermione should make the souffles,hermione should make the souffles,5,5,5,1,1,1,1
a professor can arrange a doughnut which harry must chew,a professor can arrange a doughnut which harry must chew,10,10,10,1,1,1,1
ginny can create the doughnuts which hermione can hide,ginny can create the doughnuts which hermione can hide,9,9,9,1,1,1,1
mcgonagall must arrange a croissant that neville may create,mcgonagall must arrange a croissant that neville may create,9,9,9,1,1,1,1
lupin should create the souffle that harry must arrange,lupin should create the souffle that harry must arrange,9,9,9,1,1,1,1
george may eat many baklava that voldemort must arrange,george may eat many baklava that voldemort must arrange,9,9,9,1,1,1,1
mcgonagall may hide a strudel that fred should arrange,mcgonagall may hide a strudel that fred should arrange,9,9,9,1,1,1,1
snape should prepare the eclaires that hermione can chew,snape should prepare the eclaires that hermione can chew,9,9,9,1,1,1,1
because a student may chew a croissant vernon may hide the pancakes that draco may assemble,because a student may chew a croissant vernon may hide the pancakes that draco may assemble,16,16,16,1,1,1,1
since lupin may prepare the strudels which a witch must chew a witch can party,since lupin may prepare the strudels which a witch must chew a witch can party,15,15,15,1,1,1,1
hagrid should chew a cake since vernon may chew many eclaires that lily can sprinkle,hagrid should chew a cake since vernon may chew many eclaires that lily can sprinkle,15,15,15,1,1,1,1
draco must jump,draco must jump,3,3,3,1,1,1,1
neville must smile,neville must smile,3,3,3,1,1,1,1
hermione should wiggle,hermione should wiggle,3,3,3,1,1,1,1
he may giggle,he may giggle,3,3,3,1,1,1,1
he should swim,he should swim,3,3,3,1,1,1,1
draco should smile,draco should smile,3,3,3,1,1,1,1
he can giggle,he can giggle,3,3,3,1,1,1,1
james should swim,james should swim,3,3,3,1,1,1,1
fred should hiccup,fred should hiccup,3,3,3,1,1,1,1
lupin can jump,lupin can jump,3,3,3,1,1,1,1
hagrid should create many pancakes since the witch may arrange many croissants that albus can sprinkle,hagrid should create many pancakes since the witch may arrange many croissants that albus can sprinkle,16,16,16,1,1,1,1
because lily can create a eclaire that he must create the witch can hide many eclaires,because lily can create a eclaire that he must create the witch can hide many eclaires,16,16,16,1,1,1,1
since she may assemble a doughnut she should swim,since she may assemble a doughnut she should swim,9,9,9,1,1,1,1
ron must eat the pancakes that fred must hide,ron must eat the pancakes that fred must hide,9,9,9,1,1,1,1
neville should gobble the eclaires that draco must make,neville should gobble the eclaires that draco must make,9,9,9,1,1,1,1
voldemort may chew a doughnut which he must sprinkle,voldemort may chew a doughnut which he must sprinkle,9,9,9,1,1,1,1
james may arrange the cake that draco must make,james may arrange the cake that draco must make,9,9,9,1,1,1,1
a witch should chew the eclaire that a witch must prepare,a witch should chew the eclaire that a witch must prepare,11,11,11,1,1,1,1
fred must arrange the pancake that sirius can eat because petunia may make the eclaire that hagrid can sprinkle,fred must arrange the pancake that sirius can eat because petunia may make the eclaire that hagrid can sprinkle,19,19,19,1,1,1,1
snape should make a pancake that hagrid may gobble since she must eat a souffle that voldemort should prepare,snape should make a pancake that hagrid may gobble since she must eat a souffle that voldemort should prepare,19,19,19,1,1,1,1
he should eat the pancake that dobby must prepare since ginny can hide the souffles that hagrid should chew,he should eat the pancake that dobby must prepare since ginny can hide the souffles that hagrid should chew,19,19,19,1,1,1,1
since the student can create the souffles he must hide a doughnut,since the student can create the souffles he must hide a doughnut,12,12,12,1,1,1,1
because a witch should make a souffle snape must gobble the souffles,because a witch should make a souffle snape must gobble the souffles,12,12,12,1,1,1,1
because ron can create the croissant which james can sprinkle sirius should sprinkle the doughnuts which dobby may chew,because ron can create the croissant which james can sprinkle sirius should sprinkle the doughnuts which dobby may chew,19,19,19,1,1,1,1
because vernon may chew a eclaire james should laugh because dobby must arrange the baklava that mcgonagall should gobble,because vernon may chew a eclaire james should laugh because dobby must arrange the baklava that mcgonagall should gobble,19,19,19,1,1,1,1
a wizard must prepare a doughnut because the witch must eat the croissant that the witch may arrange,a wizard must prepare a doughnut because the witch must eat the croissant that the witch may arrange,18,18,18,1,1,1,1
the professor can chew the strudels,the professor can chew the strudels,6,6,6,1,1,1,1
because mcgonagall may run sirius can party,because mcgonagall may run sirius can party,7,7,7,1,1,1,1
since dobby can smile dobby can party,since dobby can smile dobby can party,7,7,7,1,1,1,1
since hagrid must run neville should run,since hagrid must run neville should run,7,7,7,1,1,1,1
lupin can arrange the cookies that a wizard must make,lupin can arrange the cookies that a wizard must make,10,10,10,1,1,1,1
the student should create the eclaires that albus must gobble,the student should create the eclaires that albus must gobble,10,10,10,1,1,1,1
james should hide the souffle that george can chew because a wizard should assemble a chocolate that he must hide,james should hide the souffle that george can chew because a wizard should assemble a chocolate that he must hide,20,20,20,1,1,1,1
a professor may assemble the strudel that petunia should assemble because harry may create the cookies that petunia can eat,a professor may assemble the strudel that petunia should assemble because harry may create the cookies that petunia can eat,20,20,20,1,1,1,1
because snape may prepare the strudels that lupin may hide hermione must create the strudels that the witch can chew,because snape may prepare the strudels that lupin may hide hermione must create the strudels that the witch can chew,20,20,20,1,1,1,1
the professor should chew a chocolate that petunia may create because hermione should assemble the cakes that lily may chew,the professor should chew a chocolate that petunia may create because hermione should assemble the cakes that lily may chew,20,20,20,1,1,1,1
she may arrange the souffles,she may arrange the souffles,5,5,5,1,1,1,1
albus must prepare a doughnut,albus must prepare a doughnut,5,5,5,1,1,1,1
hagrid should make the cakes,hagrid should make the cakes,5,5,5,1,1,1,1
fred should prepare a pancake,fred should prepare a pancake,5,5,5,1,1,1,1
hagrid must prepare many doughnuts,hagrid must prepare many doughnuts,5,5,5,1,1,1,1
lupin may gobble the eclaires since a wizard can walk because draco must walk,lupin may gobble the eclaires since a wizard can walk because draco must walk,14,14,14,1,1,1,1
since sirius may sprinkle the pancake which lupin must create petunia may wiggle,since sirius may sprinkle the pancake which lupin must create petunia may wiggle,13,13,13,1,1,1,1
because ginny should hide a cake that dobby should prepare sirius may swim,because ginny should hide a cake that dobby should prepare sirius may swim,13,13,13,1,1,1,1
