target,prediction,target length,correct
because albus can hide the eclaire she may prepare a eclaire that she may prepare because he must laugh,because albus can hide the eclaire she may prepare a eclaire that she may sprinkle because he must assemble a cookie,19,0
since fred can chew the souffles since hagrid can run george may hide a doughnut that george should create,since fred can chew the souffles george may run since hagrid can hide a doughnut that george may create,19,0
snape should make a pancake that hagrid may gobble since she must eat a souffle that voldemort should prepare,snape should make a pancake that she may gobble since hagrid must eat a baklava,19,0
since she must run lily can hiccup because lupin must make the doughnuts,since she must run lupin can hiccup because lily must make the doughnuts,13,0
since lupin may create the souffles hermione must walk since dobby must run,since lupin may create the souffles hermione must run since dobby must walk,13,0
since hagrid should eat the doughnuts that neville can arrange mcgonagall must walk since fred can jump,since hagrid should eat the doughnuts that neville can arrange mcgonagall can walk since fred can jump,17,0
because he can gobble a doughnut because she should make the pancake that snape should eat george may sprinkle the strudels,because he can gobble a doughnut because she should make the pancake that snape should sprinkle george may eat the strudels,21,0
since george can arrange the cake ron can prepare the eclaires that albus must hide because lupin may arrange a cookie,since george can arrange the cake albus can prepare the croissants that ron must hide because albus may arrange a cake,21,0
because ron should chew the strudels that ginny can prepare because hermione must create a souffle george can arrange a cake,because ron should chew the strudels that ginny can prepare because neville can create a souffle a professor can arrange,21,0
since snape may gobble a cake because ron must wiggle vernon should laugh since voldemort can assemble a cookie,since snape may gobble a cake because ron must wiggle vernon can laugh since a should laugh,19,0
since ginny must hide the cookie that she must assemble neville must hide the doughnut which ginny can chew,since ginny must hide the cookie that she must assemble neville must chew the doughnut which ginny can hide,19,0
because sirius must hide the eclaires that ginny may prepare ginny may chew the souffle which lupin must assemble,because sirius must hide the eclaires that ginny may prepare ginny may chew the souffle which ginny must assemble,19,0
because voldemort should wiggle neville can make the strudel since vernon should chew the baklava that a professor can hide,because voldemort should wiggle draco can make the strudel since vernon should chew the baklava that a student can hide,20,0
because the witch should chew a chocolate george may run because she must arrange a pancake which albus may chew,because the witch should chew a chocolate george may run because albus must chew a pancake which she may chew,20,0
dobby should sprinkle the cakes because harry must assemble the doughnut since sirius must run because the student may wiggle,dobby should sprinkle the cakes because harry must assemble the doughnut since the must run because the student may wiggle,20,0
since the witch must make the pancake which a wizard may hide because a student should laugh ron can party,since the witch must make the pancake which a student may hide because wizard should laugh since ron can party,20,0
since neville can arrange the cakes that harry must arrange neville should sprinkle many eclaires which hagrid must create,since neville can arrange the cakes that harry must arrange neville should sprinkle many eclaires which a student must create,19,0
a student must run because neville must assemble the pancakes because lupin must chew a baklava,a student must run because lupin must assemble the pancakes because neville must chew a baklava,16,0
since neville should walk because she can sprinkle the pancakes the witch must hide a cookie that harry must arrange,since neville should walk because she can sprinkle the souffles the witch must hide the pancakes that harry must arrange,20,0
since snape should arrange the chocolate snape can walk since petunia can eat a baklava,since snape should arrange the doughnuts snape can walk since petunia can eat a chocolate,15,0
since ron must sprinkle many pancakes which george can prepare a witch should arrange the cake since lily should run,since ron must sprinkle many pancakes george can prepare a cake which lily should arrange since the witch should run,20,0
since lupin may hide the cookie since the student may jump george can hiccup since neville must chew the chocolates,since lupin may hide the cookie since george may jump the student can hiccup since neville must chew the cookie,20,0
since petunia must create the souffle snape must arrange a eclaire because james must chew the baklava which vernon must sprinkle,since petunia must create the souffle snape must arrange a eclaire because james must chew the baklava which snape must sprinkle,21,0
since lupin can giggle she can wiggle since the student should smile since snape can create the cake,since lupin can giggle hagrid can smile since snape should wiggle since the student can create the eclaires,18,0
since george must make the souffle that voldemort should chew vernon must chew the croissant since mcgonagall must smile,since george must make the souffle that vernon should chew voldemort must chew the croissant since mcgonagall must smile,19,0
since snape may make the doughnuts which he can prepare petunia should sprinkle a eclaire that lily should eat,since snape may make the doughnuts which he can prepare petunia should sprinkle the eclaire that lily should eat,19,0
fred should chew the souffles since hermione can make many croissants that she can gobble,fred should chew many souffles since hermione can make the croissants that she can gobble,15,0
since lily should arrange the baklava ginny can run because dobby can gobble a pancake because neville must chew many baklava,since lily should arrange the baklava because can run because ginny can gobble a baklava which dobby must chew,21,0
vernon may gobble many croissants since the student can eat the chocolate that hermione should assemble,vernon may gobble many croissants since the student can eat the chocolate that hermione should chew,16,0
since harry should make many pancakes lupin should walk since she can sprinkle the souffles that the student may gobble,since harry should make many pancakes lupin can walk since she should sprinkle the souffles that the student may gobble,20,0
since the witch may hide the cookie since the student should hide the chocolate the wizard must make a eclaire,since the witch may hide the cookie since the student should hide the chocolate a wizard must make the eclaire,20,0
because lily should prepare the cookie that the student must eat lily should wiggle because a professor should hide the doughnuts,because lily should prepare the cookie that lupin must create the student should eat the doughnuts because george should hiccup,21,0
because albus should assemble a pancake she can make the croissant that the student should chew because a professor should laugh,because albus should assemble the pancake she can make the croissant that a student should chew because the professor should laugh,21,0
because a student may run ginny should gobble the cakes which sirius can sprinkle because albus must hide many cakes,because a student may run ginny should sprinkle the cakes which sirius can gobble because albus must hide many cakes,20,0
since a wizard must chew the cakes which he should eat fred should laugh because dobby should hide a cake,since a wizard must chew the cakes which should eat since fred should laugh he should hide a cake,20,0
because hermione should make the croissant that fred must chew mcgonagall can arrange a chocolate,because hermione should make the croissant that fred must chew mcgonagall can chew a chocolate,15,0
neville must hide the strudels which vernon must create because albus should sprinkle the pancake that petunia must create,neville must hide the strudels which vernon must create because he should sprinkle the pancake that hermione must create,19,0
petunia should walk because ron should hiccup since draco should gobble the pancakes which voldemort can create,petunia should walk because ron should hiccup since voldemort should gobble the pancakes which a can create,17,0
because harry must walk the professor can gobble a cookie which a wizard should prepare because a student may create the baklava,because harry must walk the professor can gobble a cookie that a student should prepare because a wizard may create the baklava,22,0
since he should hide a croissant since george can gobble the strudel which the student must gobble lupin may arrange a souffle,since he should hide a croissant since george can gobble the strudel which the student must gobble because george may arrange a souffle,22,0
lupin should create a croissant that lily must arrange since he can sprinkle the eclaire which dobby should prepare,lupin should create a croissant that he must arrange since lily can sprinkle the eclaire which dobby should prepare,19,0
since harry must eat a souffle fred must chew the pancake that he must sprinkle because petunia should hiccup,since harry must eat a souffle fred must chew the pancake that he must sprinkle because lily should hiccup,19,0
because albus should chew the souffle that ginny may sprinkle because hagrid should chew the pancakes fred should eat the strudel,because albus should chew the souffle that ginny may sprinkle hagrid should chew the pancakes because fred should eat the strudel,21,0
ron should eat the croissants because harry can chew a doughnut because dobby should make the cake which draco can assemble,ron should eat the croissants because harry can chew a doughnut because dobby should make the cake which draco can chew,21,0
since hermione can swim a student may giggle since ron should sprinkle the strudels which lupin should gobble,since hermione can swim a student should sprinkle the cookies since ron may giggle lupin should gobble many strudels,18,0
george must run since petunia should hide a cake that hagrid may prepare since fred must giggle,george must run since hagrid should hide a cake since dobby may prepare since fred must giggle,17,0
the wizard must eat a eclaire that a professor can prepare since the wizard may chew the pancake that george can make,the wizard must eat a eclaire that a professor can prepare since the professor may chew the pancake that george can make,22,0
because she can create a souffle that vernon should prepare lupin may create the cookie because draco may wiggle,because she can create a souffle that vernon should prepare because lupin may create the cookie draco may wiggle,19,0
the professor may sprinkle many chocolates because the student should make the cookies that a wizard may arrange,the professor may sprinkle the chocolates because the student should make many chocolates that the wizard may arrange,18,0
since draco must arrange the baklava which lupin must sprinkle voldemort should assemble the baklava which voldemort must chew,since draco must arrange the baklava which voldemort must sprinkle lupin should assemble the baklava which voldemort must chew,19,0
because neville should prepare a croissant which dobby may make a professor should arrange a chocolate that she can chew,because neville should prepare a croissant which dobby may make a professor should chew a chocolate that she can arrange,20,0
since albus must eat the baklava that hermione may gobble neville must sprinkle a eclaire that the wizard should hide,since albus must eat a baklava that hermione may gobble neville must sprinkle the eclaire that the wizard should hide,20,0
since a professor must swim james can hiccup since hermione may assemble a chocolate that a professor can arrange,since a professor must swim james may swim since hermione can assemble a chocolate that a professor can arrange,19,0
because sirius must assemble the doughnuts that james can prepare ron should assemble the baklava which mcgonagall can prepare,because sirius must assemble the doughnuts that james can prepare ron should prepare the baklava which mcgonagall can assemble,19,0
because sirius should laugh because fred must prepare a souffle that draco should arrange he may gobble the cakes,because sirius should laugh because fred must prepare a souffle that draco should arrange he may eat the cakes,19,0
since sirius should eat the cookies that dobby must sprinkle hermione must party since mcgonagall may create the souffle,since sirius should eat the cookies that dobby must sprinkle hermione must sprinkle the pancake since mcgonagall may create,19,0
the student must chew the baklava since voldemort should make the pancakes that ginny must create,the student must chew the baklava since sirius should make the pancakes that ginny must create,16,0
because ginny may create a strudel since the wizard must smile sirius must assemble the souffle,because ginny may create a strudel since a wizard must smile sirius must assemble the souffle,16,0
because snape should eat the cakes that hagrid should arrange the professor must chew the strudels since the professor must laugh,because snape should eat the cakes that hagrid should chew the professor must arrange the strudels since the professor must laugh,21,0
since neville should eat many croissants which a student must arrange a professor can gobble many croissants that sirius can chew,since neville should eat many croissants which a professor must arrange a student can gobble many croissants that sirius can chew,21,0
because petunia should chew the croissant that she can create snape must sprinkle a strudel that sirius must make,because petunia should chew the croissant that she can sprinkle sirius must create a strudel that snape must make,19,0
because fred may hide the eclaires that albus should gobble ron may laugh since draco must create the eclaire,because fred may hide the eclaires that albus should gobble ron may jump since draco must create the croissants,19,0
because snape must giggle neville may jump because hermione should sprinkle the baklava since a wizard should wiggle,because snape must giggle because neville may jump hermione should sprinkle the baklava since a wizard should wiggle,18,0
a student must create a chocolate that a wizard should create since draco must assemble the eclaire that lupin must gobble,a student must create a chocolate that a wizard should assemble since draco must create the eclaire that lupin must gobble,21,0
because lupin can hide the eclaires that petunia should prepare she must hiccup because a professor should gobble a strudel,because lupin can hide the eclaires that she should prepare petunia must hiccup because a professor should gobble a strudel,20,0
because james may make a croissant that dobby should sprinkle dobby must gobble the strudels since albus may make the cookies,because james may make a croissant dobby should gobble the chocolates that dobby must sprinkle since albus may make the strudels,21,0
a professor should party since mcgonagall can gobble the baklava that hermione should make since a witch can arrange the eclaires,a professor should party since mcgonagall can gobble a baklava that hermione should make since the witch can arrange the eclaires,21,0
since he can make many chocolates george may gobble the strudels which vernon can chew since a student can gobble the cakes,since he can make many chocolates which hagrid may gobble george can chew many cakes which the student can gobble the pancake,22,0
the student must make the cake since a professor may walk because voldemort should prepare the baklava that a witch may sprinkle,the student must make the cake since a professor may prepare a baklava that the witch should sprinkle because voldemort may walk,22,0
because mcgonagall must sprinkle a strudel draco can chew a eclaire because hermione should gobble a cake which snape should chew,because mcgonagall must sprinkle a strudel draco can chew a eclaire because ginny should chew a cake which snape should sprinkle,21,0
lupin can prepare the baklava that ron should chew since ron may gobble the pancake that she should prepare,lupin can prepare the baklava that ron should chew since ron may gobble the souffle that she should prepare,19,0
since dobby should create a eclaire that hagrid must create because sirius must giggle harry can chew a baklava,since dobby should create a eclaire that hagrid must make because sirius must hiccup harry can chew a baklava,19,0
because he can smile ginny should create the eclaires because albus must eat the souffles,because he can smile ginny should create the cakes because albus must eat the eclaires,15,0
since voldemort should wiggle albus should eat a chocolate since neville should create a eclaire,since voldemort should wiggle albus should eat a chocolate since he should create a chocolate,15,0
because fred should chew the pancake which he should create he must eat the doughnut because petunia may create a cookie,because fred should chew the pancake he he create the doughnut which hermione should create because he may eat a cookie,21,0
the wizard may create the pancake that sirius may hide because harry may run since snape may assemble the eclaire,the wizard may create the pancake that sirius may hide because harry may run because snape may assemble the eclaire,20,0
since a witch must create the cake that a professor should prepare george must sprinkle the eclaires which neville should hide,since a witch must create the cake that a professor should prepare george must sprinkle the eclaires,21,0
because draco must make a strudel since dobby must prepare a croissant that fred can make neville must run,because draco must make a strudel since dobby must prepare a croissant fred can make many chocolates that neville must giggle,19,0
because george should jump since a witch must jump draco must laugh,because george should jump since a witch must laugh draco must jump,12,0
a student can run because petunia can gobble the souffle which george should arrange,a student can run because george can gobble the souffle which petunia should arrange,14,0
since the student must hiccup since voldemort should eat the doughnut sirius should arrange a eclaire which neville must hide,since the student must hiccup since sirius should eat the doughnut voldemort should arrange a cookie which neville must hide,20,0
because lily should arrange a eclaire that vernon can assemble the professor must arrange the pancake that hagrid can assemble,because lily should arrange a eclaire that vernon can assemble the professor can arrange the pancake that hagrid must assemble,20,0
because the witch must hiccup because hagrid must hide the croissant vernon should sprinkle a chocolate that she may arrange,because the witch must hiccup because hagrid must hide the chocolate vernon should sprinkle a croissant that she may arrange,20,0
since lily must eat the baklava that mcgonagall should sprinkle lily should prepare the pancakes that he must arrange,since lily must eat the baklava that he should sprinkle lily should prepare the pancakes that mcgonagall must arrange,19,0
since james must sprinkle a souffle the witch may create many croissants because hermione may chew the cakes,since james must sprinkle a souffle a witch may create the croissants because hermione may chew the cakes,18,0
because george may chew a cake which the professor should arrange mcgonagall may create the chocolate that dobby can make,because george may chew a cake which the professor may arrange mcgonagall should create the chocolate that dobby can make,20,0
the wizard should arrange the cakes that draco can gobble since sirius must eat the cakes,the wizard should arrange the cakes that sirius can gobble since draco must eat the cakes,16,0
since he can swim since he may make a croissant which a professor can gobble ron may assemble the croissants,since he can swim since petunia may make a croissant since can gobble a doughnut which the student may assemble,20,0
petunia should make the croissant which the wizard should sprinkle since vernon should gobble the doughnuts which ginny must make,petunia should make the croissant which the wizard should sprinkle since ginny should gobble the doughnuts which vernon must make,20,0
since vernon must hide a pancake which he can hide a student should prepare the cakes because a wizard must eat a cake,since vernon must hide a pancake which he can hide the cakes a student should hide a souffle because albus must prepare a strudel,23,0
since a wizard can smile because petunia can assemble the pancake because lupin should chew the baklava ron may eat the croissant,since a wizard can smile because ron can assemble the pancake because lupin should chew the baklava which may eat the croissant,22,0
since mcgonagall must arrange a cookie which hagrid must hide petunia may prepare the doughnuts,since mcgonagall must arrange a cookie which petunia must hide hagrid may prepare the doughnuts,15,0
since dobby should walk a wizard may eat a baklava which lupin must assemble because ron can hiccup,since dobby should walk a wizard may eat a baklava which ron must assemble because lupin can hiccup,18,0
since the student may chew the strudels which ginny must hide sirius may giggle because voldemort must hide the souffle,since the student may chew the strudels which ginny must hide voldemort may chew the cake because sirius must hide the cookies,20,0
fred must create the croissant that the wizard can assemble since snape must eat the doughnuts that ginny can chew,fred must create the croissant that the witch can assemble since fred must make the doughnuts that the wizard can,20,0
lily must assemble the doughnuts that harry should gobble since sirius must prepare the eclaires which a wizard may gobble,lily must assemble the doughnuts that sirius should prepare since harry must gobble the eclaires which a wizard may gobble,20,0
since lily can prepare the souffles that lily can assemble james must eat a eclaire which the student must arrange,since lily can prepare the souffles that lily can assemble fred must eat a eclaire which the wizard must arrange,20,0
because ginny can run since a student should prepare the cookies vernon can assemble the baklava that voldemort must gobble,because ginny can run since a student should assemble the souffle sirius can prepare the chocolates that lupin must gobble,20,0
the wizard must eat the baklava that albus may prepare because lily must chew the chocolate because a professor may giggle,the wizard must eat the baklava that albus may chew because lily must prepare the chocolate because a professor may giggle,21,0
since george should giggle since albus can create many pancakes lily should chew many souffles because she can make a doughnut,since george should run since albus can assemble many pancakes lily should sprinkle many croissants because lily can chew a pancakes,21,0
because mcgonagall should laugh since george must assemble the cookie since voldemort should laugh james should gobble a eclaire,because mcgonagall should laugh since george should assemble the cookie voldemort must hiccup since james should make a cookie,19,0
albus can sprinkle the baklava since petunia must walk since ginny may hide the strudels which he should sprinkle,albus can sprinkle the baklava since petunia must walk since ginny may sprinkle the croissants which lily should hide,19,0
she can sprinkle the souffles that george must eat because a professor must prepare the doughnut which the wizard can prepare,she can sprinkle the souffles that george must eat because a professor can prepare the doughnut which the wizard must prepare,21,0
ginny can hide the doughnuts since albus should create the souffles because albus may eat a pancake,ginny can hide the souffles since albus should create the doughnuts because albus may eat a croissant,17,0
because dobby must gobble the doughnuts that fred may hide because a witch should gobble the cakes james must gobble the doughnut,because dobby must gobble the doughnuts that fred may hide because a witch should gobble the cakes because james must gobble the doughnut,22,0
because lily should prepare a eclaire a wizard may sprinkle the pancakes that he should gobble,because lily should prepare a eclaire a wizard may sprinkle many pancakes that he should gobble,16,0
a witch can eat a cake that the professor should chew since vernon must gobble the cake which he can make,a witch can eat a cake that the professor should chew since vernon can gobble the cake which he must make,21,0
because dobby should gobble the chocolate because draco must laugh he may create the souffles since the professor must party,because dobby should gobble the souffles draco must create the chocolate because he may laugh since the professor must party,20,0
since ron can eat many cookies that hagrid should hide since he may sprinkle the cookie a professor should chew the baklava,since ron can eat many cookies that george should sprinkle since draco may hide the baklava a professor should sprinkle the cookie,22,0
albus should create the doughnuts which hagrid should create since george should make many cakes since ron may chew the souffles,albus should create the doughnuts which hagrid should create since george should make many cakes since ron may create the cakes,21,0
since voldemort must assemble the strudels which james must make lily should make the cookie that he may sprinkle,since voldemort must assemble the strudels which james must make lily should make the souffles that he may sprinkle,19,0
because lily can run harry can sprinkle the souffle that neville can hide since lupin can eat the doughnuts,because lily can run harry can sprinkle the baklava that lupin can hide since neville can eat the croissants,19,0
james may hide a baklava since snape may chew the baklava that she should create since a professor may wiggle,james may hide a baklava since snape may chew the baklava that she should create since a witch may wiggle,20,0
because lupin can make a chocolate that mcgonagall must make since dobby must run sirius may eat the croissants,because lupin can make a chocolate that mcgonagall must make dobby must run since sirius may eat the croissants,19,0
because harry should gobble the doughnut that voldemort must gobble james can hide the strudels which dobby must gobble,because harry should gobble the doughnut that voldemort must gobble james can gobble the strudels which dobby must hide,19,0
sirius may laugh because the witch should assemble a doughnut which hermione must gobble since a witch may run,sirius may laugh because the witch should assemble a doughnut which a witch must gobble since hermione may run,19,0
fred must create a souffle because he must make many chocolates which the witch must sprinkle,fred must create a souffle because he must make many chocolates since the witch must sprinkle,16,0
snape should make the baklava which draco can sprinkle because dobby must eat the cookies,snape should make the baklava which dobby can sprinkle because draco must eat the cookies,15,0
since draco must sprinkle the pancake which snape must gobble lupin should chew a cake since he should giggle,since draco must sprinkle the pancake which snape must gobble lupin should chew a cake since mcgonagall should giggle,19,0
since voldemort should prepare the cookie that sirius must prepare james may hide the cookies that a student should arrange,since voldemort should prepare the cookie that sirius must prepare fred may hide the cookies that a professor should arrange,20,0
a professor should make a cake that sirius may sprinkle because james can laugh since she must wiggle,a professor should make a cake that james may sprinkle since she can laugh because sirius must wiggle,18,0
since hagrid may prepare the cookie because the professor must make a pancake voldemort must prepare the doughnuts,since hagrid may prepare the cookie because a professor must make the pancake voldemort must prepare the doughnuts,18,0
because she must sprinkle the souffles that voldemort should eat a professor should chew a cake that neville can gobble,because she must sprinkle the souffles that voldemort should eat a student should chew a cake that voldemort can gobble,20,0
since albus may eat the doughnuts mcgonagall must eat many baklava that the wizard may prepare,since albus may eat many doughnuts mcgonagall must eat the baklava that the wizard may prepare,16,0
since she may walk fred should laugh since the wizard may giggle,since she may laugh fred should walk since fred may giggle the wizard,12,0
since sirius can eat the strudel which dobby must create lily can chew the eclaire since he must eat the pancake,since sirius can eat the strudel which he must chew dobby can create the eclaire since lily must eat the pancake,21,0
sirius must gobble the cakes that the student should hide because sirius should make a doughnut which the professor must sprinkle,sirius must gobble the cakes that the student should hide because sirius should make the doughnut which the professor must sprinkle,21,0
because lily should eat a baklava harry should create the souffle that voldemort can assemble because snape should chew a souffle,because lily should eat a baklava harry should create the souffle that snape can assemble because voldemort should chew a souffle,21,0
because ginny can jump mcgonagall should gobble a cookie which the student can sprinkle since voldemort must prepare the souffle,because ginny can jump mcgonagall should gobble a cookie which voldemort can sprinkle since the student must prepare the souffle,20,0
draco can prepare a cake that the wizard must make since she must wiggle because draco should gobble many chocolates,draco can prepare a cake that the wizard must make since she must wiggle because draco should gobble many cakes,20,0
because the student can eat the strudel since lupin must chew a croissant which mcgonagall may hide lupin should create a souffle,because the student can eat the strudel since lupin must chew a croissant mcgonagall should hide a souffle which mcgonagall may create,22,0
a witch may arrange the souffle which draco can sprinkle since neville must run since voldemort can sprinkle the pancake,a witch may arrange the souffle which draco can sprinkle since voldemort must run since neville can sprinkle the pancake,20,0
because she must assemble the eclaires because the student can hiccup neville must hide the baklava that mcgonagall can arrange,because she must assemble the pancakes because a student can hide the baklava neville can hide the eclaires that mcgonagall can must,20,0
since james may prepare a cookie which vernon should prepare albus must hide the pancakes which sirius should sprinkle,since james may prepare a cookie which vernon should prepare albus must sprinkle the pancakes which sirius should hide,19,0
since snape may swim because lupin must chew the strudels that he may gobble neville can assemble the chocolates that she may eat,since snape may swim because neville must chew the strudels that lupin may eat he can chew the cakes that she may eat,23,0
neville can eat the cake because a student should walk since the professor should chew the cakes which the student must prepare,neville can eat the cake because a professor should chew the the student should chew the cakes since the student must swim,22,0
since albus can hiccup since vernon may arrange the pancakes petunia should assemble a baklava,since albus can hiccup since vernon may arrange the pancakes petunia should assemble many baklava,15,0
since snape must chew a doughnut the professor should run since petunia should create a souffle that the student should arrange,since snape must chew a doughnut petunia should run since a professor should create the souffle that the student should arrange,21,0
mcgonagall should prepare the eclaire that lily should sprinkle because the wizard may sprinkle a cookie which a witch should eat,mcgonagall should prepare the eclaire that lily should sprinkle because the witch may sprinkle a cookie which the wizard should eat,21,0
since a student must party harry must hide many cookies that a student may prepare because albus should eat a baklava,since a student must party harry must hide many cakes that a student may hide because albus should eat a souffles,21,0
because lily can make the chocolate voldemort must sprinkle the cookies that fred should hide because lily may hide the souffles,because lily can make the chocolate voldemort must sprinkle the cookies that lily should hide because fred may hide the souffles,21,0
fred must prepare the baklava that sirius should eat since dobby must gobble the baklava which james may sprinkle,fred must prepare the baklava that sirius should eat since dobby must sprinkle the baklava which james may gobble,19,0
a student should make the souffle since a professor must chew the cake that a student should create,a student should make the souffle since the professor must chew a cake that a student should create,18,0
because james may make a cake that hagrid should assemble a witch can chew the souffles which ron should hide,because james may make a cake that hagrid should chew a witch can assemble the souffles which ron should hide,20,0
since james may create many cookies hermione may make a chocolate since vernon may assemble the eclaire,since james may create many cookies vernon may make a chocolate since hermione may assemble the souffles,17,0
hagrid must hide a doughnut because fred must hiccup since vernon should eat the chocolate,hagrid must hide a doughnut since fred must hiccup because vernon should eat the chocolate,15,0
because lily must prepare a eclaire fred should chew the pancakes which ginny should sprinkle,because lily must prepare a eclaire ginny should chew the pancakes which fred should sprinkle,15,0
since a student should arrange the cake that hagrid may hide draco can arrange many souffles that a professor must sprinkle,since a student should arrange the cake that hagrid may prepare draco can hide many souffles that a professor must sprinkle,21,0
since fred can chew the strudels that petunia must hide neville must hide a chocolate that hagrid must make,since fred can chew the strudels that hagrid must hide he must hide a chocolate that hagrid must make,19,0
since dobby can gobble the pancakes since snape should hide a croissant that she may make petunia must walk,since dobby can gobble the pancakes since snape should gobble a croissant that she must chew petunia may walk,19,0
because vernon must create a cake which neville should eat george should prepare a doughnut since neville may laugh,because vernon must create a cake neville should eat since george should neville a doughnut which neville may prepare,19,0
because sirius may make a souffle which hermione should hide she can prepare the souffles that the student may chew,because sirius may make a souffle which hermione can hide she should prepare the souffles that the student may chew,20,0
because a wizard can create the doughnuts a wizard should eat the cakes since a wizard must hide a souffle,because a wizard can create the cakes the wizard should eat a baklava since a wizard must hide a chocolate,20,0
because albus should run because sirius must sprinkle the croissant which the student should hide harry may chew the cake,because albus should run because harry must sprinkle the croissant which the professor should hide harry may chew the cake,20,0
sirius should arrange the strudels which vernon can hide since james should gobble the eclaires that draco must chew,sirius should arrange the strudels which vernon can gobble since james should hide the eclaires that draco must chew,19,0
because petunia must prepare many eclaires that fred can create ron must walk because george must assemble the eclaires,because petunia can prepare many eclaires that fred must create ron must walk because george must assemble the eclaires,19,0
voldemort should make the souffle which ron should assemble since lupin must create many souffles that draco may prepare,voldemort should make the souffle which ron must assemble since lupin should create many souffles that draco may prepare,19,0
since snape should arrange many doughnuts that lily should arrange a professor must arrange the souffle that lupin can create,since snape should arrange many doughnuts that lily should arrange a professor must make the souffle that lupin can arrange,20,0
