target,prediction,target length,correct,Preserves grammatical categories,Preserves Tree Structure,Preserves Significant Clauses,Negates Main Verb,Negates Target Verb
because hagrid can party because sirius should hide a souffle vernon must not prepare the cake that a witch must make,because hagrid can party because sirius should hide a souffle vernon must not make the cake that a witch must arrange,21,0,1,1,1,1,0
since fred must create a strudel that dobby must assemble mcgonagall must not create the strudels which she can create,since fred must create a strudel that mcgonagall must assemble dobby must not create the strudels which she can create,20,0,1,1,1,1,0
lupin may not arrange a doughnut which voldemort should make because vernon must chew a strudel that albus may hide,lupin may not arrange a doughnut which voldemort should make because albus must chew a strudel that voldemort may hide,20,0,1,1,1,1,1
since the wizard must hide the baklava that hagrid must chew she may not arrange a eclaire since the wizard must chew the souffles,since the wizard must hide the baklava that she must chew a professor may not arrange the souffles since hagrid must chew the eclaire,24,0,0,0,1,1,1
since the wizard must eat a baklava lupin may not hide the cookies since voldemort should hide the croissant that he may create,since the wizard must eat a baklava lupin may not hide the cookies since voldemort may hide the croissant that he should create,23,0,1,1,1,1,1
since james can assemble the baklava neville can not make the souffle which she should sprinkle since harry should prepare the cake,since james can assemble the baklava neville can not make the souffle since she should sprinkle the cake which harry should prepare,22,0,0,0,0,1,1
mcgonagall must not jump because harry must sprinkle the chocolate because ginny can chew a souffle that she should arrange,mcgonagall must not jump because harry must sprinkle the chocolate because ginny can chew a souffle that harry should arrange,20,0,0,0,1,1,1
a professor may not sprinkle the strudels because hermione may arrange a croissant since vernon should chew many eclaires,a professor may not sprinkle the strudels because hermione may arrange a chocolate since vernon should chew many eclaires,19,0,1,1,1,1,1
because draco must chew the strudels lily may not prepare a baklava because fred should create the souffle,because draco must chew the strudels lily may not prepare a baklava because fred should create the cakes,18,0,0,0,1,1,1
since he can chew the cookies a wizard should not arrange a eclaire since a professor should arrange a eclaire that ron may create,since he can chew the cookies a wizard should not arrange a eclaire since a professor may arrange a eclaire that ron should create,24,0,1,1,1,1,1
because ginny must eat a pancake that harry can create hermione must not chew the chocolate since lily must hide the cookie,because ginny must eat a pancake that harry can chew hermione must not create the chocolate since lily must hide the cookie,22,0,1,1,1,1,0
because hagrid should make many strudels ron should not arrange a eclaire because he can make the croissants that he must assemble,because hagrid should make many strudels ron should not arrange many croissants because he can make the strudel that he must assemble,22,0,0,0,1,1,1
since mcgonagall should chew a eclaire which fred should arrange because james may create a doughnut george should not giggle,since mcgonagall should chew a eclaire which fred should chew because neville may party a witch should not arrange a doughnut,20,0,0,0,0,1,0
ron may not party since mcgonagall may assemble the cakes since ron can eat the baklava which fred should arrange,ron may not party since mcgonagall may assemble the cakes since ron should eat the baklava which fred can arrange,20,0,1,1,1,1,1
snape may not prepare many cookies because a professor must eat the strudels since he may eat the croissant,snape may not prepare many cookies since a professor must eat the strudels because he may eat the souffle,19,0,1,1,1,1,1
snape must not gobble a strudel which voldemort should eat because fred must eat a strudel,snape must not gobble a strudel which fred should eat because voldemort must eat a strudel,16,0,1,1,1,1,1
since a professor must prepare many doughnuts dobby must not arrange a pancake which he must create,since a professor must arrange many doughnuts dobby must not prepare a pancake which he must create,17,0,1,1,1,1,0
harry must not gobble the cakes because neville may sprinkle many strudels which the professor can prepare,harry must not gobble many cakes because neville may sprinkle the strudels which the professor can prepare,17,0,1,1,1,1,1
george may not swim because the student must make the baklava that he must assemble because ron should make the chocolates,george may not swim because the student must assemble the baklava that he must make because ron should make the chocolates,21,0,1,1,1,1,1
lupin must not hide the souffles that dobby should create since lily must make the strudels that sirius may prepare,lupin must not hide the souffles that dobby should create since lily must make the strudels that sirius may arrange,20,0,1,1,1,1,1
since ron may assemble a baklava which vernon may chew james can not run since fred should gobble the strudels,since ron may assemble a baklava which vernon may chew fred can not run since james should gobble the strudels,20,0,1,1,1,1,1
because albus can eat the croissant the wizard can not make the baklava since albus can eat the eclaires that sirius must prepare,because albus can eat the croissant the wizard can not make the baklava since albus must eat the eclaires that sirius can prepare,23,0,1,1,1,1,1
because george can sprinkle a chocolate that vernon may gobble fred must not gobble the souffles since dobby can make the doughnut,because george can sprinkle a chocolate that fred may gobble vernon must not gobble the souffles since dobby can make the eclaires,22,0,0,0,1,1,0
since ron must wiggle because draco should prepare the doughnuts snape can not prepare a souffle since snape must make the chocolates,since ron must wiggle because dobby should prepare the doughnuts ginny can not arrange a souffle since snape must eat the cakes,22,0,1,1,1,1,0
since the professor must run because hermione may create the cakes that sirius may assemble a wizard can not assemble a baklava,since the professor must run because hermione may create the cakes that sirius may assemble a wizard can not assemble many baklava,22,0,0,0,1,1,0
since snape must make the strudels george can not assemble a croissant since he can prepare the croissants which mcgonagall must make,since snape must make the croissants george can not assemble the baklava since mcgonagall can prepare the eclaires which he must create,22,0,0,0,1,1,1
because draco can hide the doughnuts that vernon can gobble snape may not chew the doughnut that the wizard should create,because draco can hide the doughnuts that snape can gobble vernon may not chew the doughnut that the wizard should create,21,0,1,1,1,1,1
because ron should gobble the cookie that snape can eat because dobby must giggle a student may not gobble the doughnut,because ron should gobble the cookie that snape can eat because voldemort must giggle ron may not gobble the doughnut,21,0,0,0,1,1,0
snape must not make the croissant because the student may make a souffle that the witch must prepare,snape must not make the croissant because a student may make the souffle that the witch must prepare,18,0,0,1,1,1,1
since harry may prepare many chocolates that petunia must eat petunia may not make a chocolate that hagrid should hide,since harry may prepare many chocolates that petunia must eat petunia may not make a chocolate that petunia should hide,20,0,1,1,1,1,1
because ginny can hide the cookie since albus can laugh dobby can not create the chocolates that ginny should eat,because ginny can hide the cookie since albus can laugh snape can not create the chocolates that he should eat,20,0,0,0,1,1,1
since fred must create the eclaires which lily should arrange hagrid should not make the strudels that dobby should arrange,since fred must create the eclaires which lily should arrange hagrid should not make the strudels that lily should arrange,20,0,1,1,1,1,1
since the wizard can smile since a wizard must sprinkle the pancakes which he can chew draco may not wiggle,since the wizard can smile since a wizard must sprinkle the pancakes which draco can chew he may not wiggle,20,0,0,0,1,1,1
ron should not arrange many cookies which snape can make because ron must run since albus must laugh,ron should not arrange many cookies which snape can make since ron must run because albus must laugh,18,0,1,1,1,1,1
lupin can not prepare many souffles since he may smile because she must make many doughnuts that draco must make,lupin can not prepare many souffles since she may smile because he must make many doughnuts that draco must make,20,0,1,1,1,1,1
snape should not arrange a croissant since draco must arrange the souffles because ginny must create a doughnut,snape should not arrange a croissant since draco must arrange the souffles since ginny must create a doughnut,18,0,1,1,1,1,1
since petunia may arrange a strudel that the student may eat a wizard should not hide the souffle because lupin may make the cakes,since petunia may arrange a strudel that the student may eat a wizard may not hide the souffle because lupin should make the cakes,24,0,1,1,1,1,1
since ginny may sprinkle the cakes that a professor can gobble dobby should not arrange the chocolates which the witch can eat,since ginny may sprinkle the cakes that a professor can gobble snape should not arrange the chocolates since ron can eat the chocolates,22,0,0,0,0,1,1
because petunia may swim a student must not gobble the strudels which neville can chew because a student may arrange the doughnuts,because petunia may swim neville student must hide many strudels which a student can chew the professor may not arrange the doughnuts,22,0,0,N/A,N/A,N/A,0
sirius may not eat the strudels because dobby can laugh because he should make the pancake that a wizard should hide,sirius may not eat the strudels because dobby can make the chocolates that the wizard should hide he should laugh,21,0,0,N/A,N/A,N/A,1
vernon can not chew the strudels that lupin can prepare because she must arrange the croissants that the student should hide,vernon can not chew the strudels that lupin can arrange because she must prepare the croissants that the student should hide,21,0,1,1,1,1,1
because lupin may hide a baklava dobby may not hide the cake which george must sprinkle since ginny should chew the pancakes,because lupin may hide a baklava dobby may not hide a cake which he must sprinkle since the witch should chew,22,0,0,N/A,N/A,N/A,0
harry may not arrange the croissant which snape must chew because neville can make the chocolate,harry may not arrange the croissant which neville must chew because snape can make the chocolate,16,0,1,1,1,1,1
hagrid must not hide the doughnuts since fred should assemble the souffles which james must hide since a witch can gobble a souffle,hagrid must not hide the doughnuts since fred should assemble the souffles which snape must hide since a wizard can gobble a souffle,23,0,1,1,1,1,1
harry may not eat the cookies which petunia must make since james should make the cakes because harry should eat the cookies,harry may not eat the cookies which petunia must make since james should make the cakes since harry should eat the cookies,22,0,1,1,1,1,1
fred may not giggle since lupin must arrange a eclaire because dobby may eat the strudels because voldemort should sprinkle a pancake,fred may not giggle because voldemort must prepare the eclaire since lupin may make a baklava which voldemort should gobble,22,0,0,0,0,1,1
the professor can not make the pancakes that he may eat since the witch must eat the doughnuts that mcgonagall must prepare,the professor can not make the pancakes that the may eat since he must eat the doughnuts that ron must prepare,22,0,0,N/A,N/A,N/A,1
because ron must chew a chocolate because james can eat a souffle vernon must not prepare the doughnuts that hermione must create,because ron must chew a chocolate because james can eat a souffle hermione must not prepare the doughnuts that vernon must create,22,0,1,1,1,1,1
dobby should not create the souffle which snape must assemble since sirius must assemble many pancakes which vernon should gobble,dobby should not create the souffle which sirius must assemble since snape must assemble many pancakes which vernon should gobble,20,0,1,1,1,1,1
since lily may create the pancakes that lupin should gobble since a witch should party dobby may not make the cookies,since lily may create the pancakes that a witch should gobble lupin dobby may party since lupin should make the cookies,21,0,0,N/A,N/A,N/A,0
because petunia should hiccup dobby should not chew a cake that hermione must chew since snape should eat a baklava,because petunia should hiccup she should not chew a souffle that snape must chew since james should eat a strudel,20,0,0,0,1,1,1
the student should not gobble many eclaires since lily must giggle because the professor should create the pancakes,the student should not gobble the eclaires since lily must giggle because the professor should create the pancakes,18,0,1,1,1,1,1
because albus may chew the croissants which he must chew because ron should make a cake james should not walk,because albus may chew the croissants which he must chew because should not make a cake which james should walk,20,0,0,N/A,N/A,N/A,0
since he must arrange a cake which voldemort should chew lupin should not hide the strudel that fred may chew,since he must arrange a cake which voldemort should chew lupin may not hide the strudel that voldemort should chew,20,0,1,1,1,1,1
since he must prepare the souffle petunia should not giggle because mcgonagall should chew a croissant that hagrid must hide,since he must prepare the souffle she should not giggle because ron should chew a croissant that she must hide,20,0,0,0,1,1,1
ron should not sprinkle a baklava that mcgonagall can make because neville should assemble the strudel,ron should not sprinkle a baklava that neville can make because mcgonagall should assemble the strudel,16,0,1,1,1,1,1
because harry must create a doughnut he should not arrange the eclaire since albus must sprinkle the souffle that the witch must hide,because harry must create a doughnut he should not arrange the croissants since albus must sprinkle the cake that the witch must hide,23,0,0,0,1,1,1
because a witch can sprinkle the cakes she can not sprinkle the doughnuts because petunia must make the cookies which she can gobble,because a witch can sprinkle the cakes she can not sprinkle the doughnuts because she must make the cookies which petunia can gobble,23,0,0,0,1,1,0
the witch must not hide the croissants that the wizard may make since albus should gobble the croissant that he should prepare,the witch must not hide the croissants that the wizard may make since he should gobble the croissant that albus should prepare,22,0,0,0,1,1,1
since albus may create a eclaire that lily should sprinkle lupin should not assemble many cookies that james must arrange,since albus may create a eclaire that lily should sprinkle lupin should not assemble many cookies that james must sprinkle,20,0,1,1,1,1,1
since lupin may party a professor should not assemble the pancake that neville must assemble since vernon can assemble the croissants,since lupin may party a professor should not assemble the baklava that vernon must assemble since neville can assemble the doughnut,21,0,0,0,1,1,1
because lily must chew a cake because lupin may create the cookie that a professor may create petunia may not swim,because lily must chew a cake because lupin may create the souffles that a professor may create a professor may not swim,21,0,0,0,1,1,1
since petunia must smile vernon should not party because harry should hide the baklava that snape should create,since petunia must smile vernon should not walk because harry should gobble the baklava that snape should create,18,0,1,1,1,1,0
since petunia should hide a doughnut since a witch must arrange the souffles that draco should arrange ron must not giggle,since petunia should hide a doughnut since a witch must arrange the souffles that ron should arrange draco must not giggle,21,0,1,1,1,1,1
since the wizard must sprinkle the souffles that neville should chew voldemort may not make the eclaires because lupin must giggle,since the wizard must sprinkle the cakes that neville should chew lupin may not make the eclaires because voldemort must giggle,21,0,1,1,1,1,1
snape must not arrange the eclaire which petunia must make since lily should sprinkle the souffles that lily should arrange,snape must not arrange the eclaire which lily must make since petunia should sprinkle the souffles that lily should arrange,20,0,1,1,1,1,1
since harry may arrange the cakes which hagrid must assemble because george can make many eclaires mcgonagall may not make a strudel,since harry may arrange the cakes which hagrid must assemble because george can make many eclaires that mcgonagall may make a strudel,22,0,0,N/A,N/A,N/A,0
because hagrid must sprinkle the baklava fred may not run because lily must gobble the doughnut because sirius may gobble the cakes,because hagrid must sprinkle the baklava because fred may run lily must not gobble the eclaires because sirius may gobble the chocolates,22,0,0,0,0,1,0
since he can create the cakes since harry should eat the pancake lily may not arrange a doughnut which george should hide,since he can create the cakes since harry should make the pancake george may not hide a doughnut which lily should arrange,22,0,1,1,1,1,0
hagrid may not chew a baklava which the witch must arrange because draco can smile because sirius must chew many cookies,hagrid may not chew a baklava which the professor must arrange because hermione can smile because james must chew many cookies,21,0,1,1,1,1,1
because he must prepare the doughnut draco should not smile since lupin must eat the baklava which a wizard can eat,because he must prepare the doughnut draco should not gobble the doughnuts since lupin must create a souffle which vernon can eat,21,0,0,0,0,1,0
hermione may not create the eclaires which he should eat since the professor can make a souffle that sirius can make,hermione may not create the eclaires since he should eat the cookies that a professor can make since sirius can make a cake,21,0,0,0,0,1,1
snape may not hide the cookie that petunia can eat since george should create the croissant which james must make,snape may not hide the cookie that george can eat since petunia should create the croissant which james must make,20,0,1,1,1,1,1
since james can arrange the doughnuts which fred can create because lupin must jump she must not arrange the pancake,since james can arrange the doughnuts which fred can create because must not jump because lily must arrange the pancake,20,0,0,N/A,N/A,N/A,0
since neville must hide the cookies that she should assemble snape can not prepare a chocolate which he must gobble,since neville must hide the cookies that she should assemble mcgonagall can not prepare a chocolate which snape must gobble,20,0,0,0,1,1,1
since harry should gobble the baklava hagrid can not wiggle since ginny must prepare the croissant that neville must create,since harry should gobble the baklava hagrid can not party since ginny must chew the chocolate that neville must create,20,0,1,1,1,1,0
dobby can not wiggle because hagrid must gobble many cookies that voldemort should gobble since voldemort must giggle,dobby can not wiggle because hagrid must gobble many cookies that voldemort should gobble because voldemort must giggle,18,0,1,1,1,1,1
because petunia may hiccup petunia should not hide a cake which neville may make,because petunia may hiccup harry should not hide a cake which neville may make,14,0,1,1,1,1,1
since george can make the pancakes that albus should arrange lupin should not chew many croissants,since george can make the pancakes that lupin should arrange albus should not chew many croissants,16,0,1,1,1,1,1
because the witch can wiggle because petunia may hide a cake james must not swim because james should wiggle,because the witch can wiggle because petunia may hide a cake james james not swim because snape should wiggle,19,0,0,N/A,N/A,N/A,1
since lupin may smile fred must not assemble the chocolates which lupin must create since voldemort can assemble a doughnut,since lupin may smile fred must not assemble the chocolates which voldemort must create since lupin can assemble a doughnut,20,0,1,1,1,1,1
since lily can hide the cookie since albus should make the eclaires that ginny may chew james may not party,since lily can hide the cookie since albus should make the doughnut that ginny may chew james may not party,20,0,0,0,1,1,1
because a student should gobble the cake because neville must hiccup mcgonagall should not make the cookies,because a student should gobble the cake because mcgonagall must hiccup neville should not make the cookies,17,0,1,1,1,1,1
since petunia must arrange many baklava since george must eat the doughnut since ron should eat a chocolate hermione must not walk,since petunia must arrange many baklava since george must eat the chocolate ron should not eat a doughnut since ron must walk,22,0,0,0,0,1,0
since the professor must prepare a cake petunia can not eat the cakes since hagrid can chew a baklava,since the professor must prepare a cake petunia must not eat the cakes since hagrid can chew a baklava,19,0,1,1,1,1,1
he should not gobble the strudels that she should make since petunia should hide the strudel which a student can gobble,he should not gobble the strudels that she should make since petunia should gobble the strudel which a student can hide,21,0,1,1,1,1,1
because a professor must hide the strudels which dobby may prepare james should not assemble the strudels that she should hide,because a professor must hide the strudels which dobby may assemble james should not prepare the strudels that she should hide,21,0,1,1,1,1,0
since a professor may gobble the souffle that sirius may eat the wizard may not hiccup since ron may make the croissant,since a professor may gobble the souffle that sirius may eat the witch may not party since fred may make the souffle,22,0,1,1,1,1,0
since lupin can smile because george may sprinkle the pancake because lily can create a croissant dobby may not walk,since lupin can smile because george may create the pancake lily can not sprinkle a croissant because dobby may walk,20,0,0,0,0,1,0
because she may make a strudel which she may create lily can not arrange a strudel that snape should gobble,because she may make a strudel which lily may create she can not arrange a strudel that snape should gobble,20,0,0,0,1,1,1
since voldemort should eat a strudel which mcgonagall may arrange ginny may not eat the baklava that hermione must sprinkle,since voldemort should eat a strudel which mcgonagall may arrange ginny may not eat the baklava that vernon must sprinkle,20,0,1,1,1,1,0
since lily can hiccup james can not laugh since albus should assemble the strudels that harry may gobble,since lily can hiccup albus can not laugh since james should assemble the strudels that harry may gobble,18,0,1,1,1,1,1
hermione must not assemble the pancake that hermione must gobble since lupin can make a eclaire that mcgonagall can sprinkle,hermione must not assemble the pancake that lupin must gobble since hermione can make a eclaire that mcgonagall can sprinkle,20,0,1,1,1,1,1
because a witch must sprinkle the souffles which albus may make she may not assemble a cookie since ron can chew the cake,because a witch must sprinkle the souffles which she may assemble albus may not make a cake since ron can chew the cookie,23,0,0,0,1,1,0
harry may not arrange the cakes since neville may arrange the cake that fred must arrange because the student must make the doughnut,harry may not arrange the cakes since neville may arrange the cake that fred must make because the student must arrange the doughnut,23,0,1,1,1,1,1
since a witch should prepare the cookies which the student can assemble hagrid can not sprinkle many doughnuts that snape can eat,since a witch should prepare the cookies which the student can chew hagrid can not eat the doughnuts that snape can sprinkle,22,0,1,1,1,1,0
since the student must wiggle hermione should not create the baklava because the student must make the pancakes which draco must chew,since the student must wiggle hermione should not create the doughnuts because the student must make the cakes which draco must chew,22,0,1,1,1,1,1
since sirius must chew the souffle since dobby must assemble the eclaires ginny can not create the cake that dobby must chew,since sirius must chew the souffle since james must assemble the eclaires the professor can not create the cake that mcgonagall must chew,22,0,0,0,1,1,1
james may not make many chocolates because james may walk because the wizard should sprinkle the cookie,james may not make many chocolates because james may walk the the wizard should sprinkle,17,0,0,N/A,N/A,N/A,1
mcgonagall must not gobble the strudels that hermione should create because albus should assemble a cake which the witch may assemble,mcgonagall must not gobble the strudels that hermione should create because albus witch assemble a cake which the witch may assemble,21,0,0,N/A,N/A,N/A,1
because the wizard can hide the croissant that a student must make hermione should not assemble the pancake,because the wizard can hide a croissant that the student must make hermione should not assemble the pancake,18,0,0,1,1,1,1
fred can not hide the eclaire that mcgonagall should make because she should create the croissant which voldemort must make,fred can not hide the eclaire that mcgonagall should make because dobby should create the croissant which lupin must make,20,0,0,0,1,1,1
hagrid must not make the strudels that petunia must create because neville must create a strudel which harry must arrange,hagrid must not make the strudels that harry must create because petunia must create a strudel which neville must arrange,20,0,1,1,1,1,1
because mcgonagall can walk since vernon may eat many eclaires a professor can not arrange the baklava that a witch can gobble,because mcgonagall can walk since vernon may eat many eclaires a professor can not arrange the baklava that a professor can gobble,22,0,1,1,1,1,1
because lily should giggle a wizard can not prepare the chocolates since a wizard may gobble a chocolate which fred should assemble,because lily should giggle a wizard can not prepare the chocolates since a wizard may eat a chocolate which fred should prepare,22,0,1,1,1,1,1
since vernon may eat the souffles which lily should create draco must not jump because the professor must create many cookies,since vernon may eat the souffles which james should create because must not jump the cookies must create the souffles,21,0,0,N/A,N/A,N/A,1
since dobby may make the strudels he must not laugh because dobby must make the souffles which the professor must sprinkle,since dobby may make the strudels dobby must not make the chocolates because he must sprinkle the cookie which the professor must make,21,0,0,0,0,1,0
since the student may prepare the doughnut that vernon must arrange because she can wiggle fred can not prepare a strudel,since the student may arrange the doughnut that he must arrange hagrid can not jump because fred can sprinkle a strudel,21,0,0,0,0,1,0
since vernon must walk since neville can eat a strudel which a student must make snape should not arrange many doughnuts,since vernon must walk since george can eat a strudel which student must make a doughnuts which hagrid should arrange,21,0,0,N/A,N/A,N/A,0
vernon must not prepare the strudel which the professor must prepare since george should wiggle since the witch must smile,vernon must not prepare the strudel which george must prepare since the professor should wiggle since the witch must smile,20,0,0,0,1,1,1
voldemort must not gobble the souffles that sirius must gobble since he may eat many strudels that james must create,voldemort must not gobble the souffles that sirius must gobble since dobby may eat many strudels that james must create,20,0,0,0,1,1,1
since harry may wiggle the witch must not swim since snape can create a baklava which petunia must make,since harry may wiggle the witch can not swim since snape must create a baklava which petunia must make,19,0,1,1,1,1,1
since ron must eat the pancake because snape must make the cakes which lily must create lily must not wiggle,since ron must eat the pancake because snape must make the cakes lily must not create the cookies,20,0,0,0,0,1,0
since harry must prepare many eclaires which he should eat the witch should not make a pancake,since harry must prepare many eclaires since he should eat the pancake which should not make a cake,17,0,0,N/A,N/A,N/A,1
because she may chew the chocolate that draco may eat since snape should make the strudels mcgonagall must not party,because she may chew the chocolate that dobby may make since vernon should eat the strudels mcgonagall must not party,20,0,1,1,1,1,1
lily must not make many doughnuts which hagrid should hide since albus must make a pancake,lily must not make many doughnuts which harry should hide since fred must make a pancake,16,0,1,1,1,1,1
since snape can arrange a doughnut because lily may prepare the souffles he must not party,since snape can arrange a eclaire because lily may sprinkle the pancake he must not smile,16,0,0,0,1,1,0
draco must not swim because vernon should make the chocolates because voldemort should arrange the pancakes,draco must not swim because voldemort should make the chocolates because vernon should arrange the pancakes,16,0,1,1,1,1,1
since mcgonagall can wiggle voldemort can not make the pancake since albus should make a chocolate which the professor can gobble,since mcgonagall can wiggle voldemort can not make a baklava since albus should make the croissant which the professor can gobble,21,0,0,1,1,1,1
since hermione should prepare a souffle which a wizard should prepare because snape should assemble many cookies dobby can not smile,since hermione should prepare a souffle which a wizard should prepare snape should not assemble many cookies because dobby can smile,21,0,0,0,0,1,0
sirius must not eat a cake since fred may chew the croissant since vernon should eat a baklava because harry can arrange the cakes,sirius must not eat a cake since fred may chew the baklava since a student should make the croissant because lily can hide the cakes,24,0,0,0,1,1,1
since he should create the eclaires george may not create the cake which hagrid may create since fred must chew the croissant,since he should create the eclaires george may not create the cake which fred may create since hagrid must chew the croissant,22,0,1,1,1,1,0
since lily must party since sirius may party ginny must not arrange the pancake which lupin may assemble,since lily must party since sirius may party ginny may not arrange the pancake which lupin must assemble,18,0,1,1,1,1,1
james must not gobble a eclaire which george should assemble since george should create the souffles because draco can hiccup,james must not gobble a eclaire which george should assemble since george should create the souffles because george can hiccup,20,0,1,1,1,1,1
since a professor must run since he may create the eclaire a student may not chew the doughnuts because he should hiccup,since a professor must run since he may create the eclaire a student may not chew the doughnuts because he should create the strudel,22,0,0,0,0,1,1
because george must prepare the baklava lupin may not run because the professor must make the pancakes that harry should arrange,because george must prepare the baklava lupin may not chew the pancakes because the professor must make because harry should run,21,0,0,N/A,N/A,N/A,0
since dobby should party lupin may not eat the strudels because the witch can hide the eclaires that lily must arrange,since dobby should party lily may not eat the strudels because the witch can hide the eclaires that lily must arrange,21,0,1,1,1,1,1
since sirius may prepare a chocolate ginny may not hiccup since voldemort must make the baklava that voldemort may eat,since sirius may prepare a chocolate voldemort may not hiccup since ginny must make the baklava that voldemort may eat,20,0,1,1,1,1,1
a student can not assemble the doughnuts which fred may create since she can hide the croissants that the professor must make,a student can not assemble the doughnuts which fred may create since she can chew the croissants that the professor must eat,22,0,1,1,1,1,1
a wizard must not chew the strudels that the witch must make because a student may sprinkle the cake which the student can eat,a wizard must not chew the strudels that the student must make because a witch may sprinkle the cake which the student can eat,24,0,1,1,1,1,1
fred must not hide the doughnuts that ginny should make because lupin must hiccup,fred must not hide the doughnuts that ginny should make because ginny must hiccup,14,0,1,1,1,1,1
he can not eat a doughnut that james must make since ron must hide the strudels which a professor should arrange,he can not eat a doughnut that james must make since ron can hide the strudels which a professor should arrange,21,0,1,1,1,1,1
voldemort may not sprinkle a croissant that snape should sprinkle because a student must make the cakes which ginny should create,voldemort may not sprinkle a croissant that snape should sprinkle because a student must make the cakes which snape should create,21,0,1,1,1,1,1
neville should not sprinkle the cookies which hagrid may prepare because he can run since a professor must smile,neville should not sprinkle the cookies which hagrid may prepare since he can run because a professor must smile,19,0,1,1,1,1,1
since harry can make the cake that george can gobble neville may not smile because lily can party,since harry can make the cake that george can gobble lily may not smile because neville can party,18,0,1,1,1,1,1
since harry may hide the eclaire because a student must jump albus should not hiccup since draco can laugh,since harry may hide the eclaire a student must not jump because albus can hiccup since draco should laugh,19,0,0,0,0,1,0
because neville may swim hagrid can not prepare the chocolates which she may gobble since a professor should jump,because neville may swim hagrid can not prepare the chocolates since she may gobble a strudel which hagrid should prepare,19,0,0,0,0,1,1
