target	prediction	equal structures	equal S, AdvP, and RelP clauses	negates main clause	negates target verb
because neville may swim hagrid can not prepare the chocolates which she may gobble since a professor should jump	because neville may swim hagrid can not prepare the chocolates which lily may gobble since a professor should jump	0	1	1	1
because a professor can assemble many chocolates which vernon can create he may not run since voldemort can jump	because a professor can assemble many chocolates which he can create voldemort may not walk since vernon can party	0	1	1	0
since a wizard can chew the chocolates mcgonagall must not prepare the eclaires since petunia must hide the croissants	since a wizard can chew the croissants mcgonagall must not prepare the chocolates since petunia must hide the eclaires	1	1	1	1
snape may not prepare many cookies because a professor must eat the strudels since he may eat the croissant	snape may not prepare many cookies because a professor must eat the croissant since he may eat the strudels	0	1	1	1
since hagrid can smile she may not walk because mcgonagall must arrange the doughnut that a witch should create	since hagrid can smile she may not walk because mcgonagall must arrange a doughnut that the witch should create	1	1	1	1
a professor should not hide the chocolates that a student should arrange because a professor should prepare a souffle	a professor should not hide the chocolates that a professor should arrange because a student should prepare a souffle	1	1	1	1
because she can gobble the croissants the witch must not chew a souffle since george should assemble the strudel	because she can gobble the croissants the witch must not chew a souffle since george should assemble the croissants	0	1	1	1
since fred should jump because fred can hide the cookies which a professor may create snape must not hiccup	since fred should jump because lupin can hide the cookies which petunia may assemble snape must not hide many cookies	0	0	1	0
since the witch may party voldemort can not hide the cakes that he must arrange because fred should walk	since the witch may party voldemort can not hide the cakes that petunia must arrange because draco should walk	0	1	1	1
the witch must not sprinkle a cake that he can make because james should laugh since harry may giggle	the witch must not sprinkle a cake that he can make because harry should chew a doughnut	0	0	1	1
because the witch can wiggle because petunia may hide a cake james must not swim because james should wiggle	because the witch can wiggle because petunia may hide a cake james must not wiggle because james should wiggle	1	1	1	0
since he must party the professor must not make the croissants that snape should eat because vernon should laugh	since he must party the professor must not eat the croissants that vernon should make because lily should laugh	1	1	1	0
because hagrid must eat many souffles a wizard may not assemble the cookie because he must arrange the cakes	because hagrid must eat many souffles a wizard may not assemble the cookie because he must arrange many cakes	1	1	1	1
since dobby should laugh the student must not make the doughnuts which petunia can make because she can walk	since dobby should laugh the student must not make the cookies which petunia can make because she must walk	1	1	1	1
neville should not sprinkle the cookies which hagrid may prepare because he can run since a professor must smile	neville should not sprinkle the cookies which draco may prepare because ron can run since a professor must smile	0	1	1	1
since albus must walk draco may not eat the souffles which hagrid can chew because the professor can laugh	since albus must walk draco may not eat the souffles which hagrid can chew because the professor can walk	1	1	1	1
a professor may not sprinkle the strudels because hermione may arrange a croissant since vernon should chew many eclaires	a professor may not sprinkle the strudels because hermione may arrange a croissant since vernon should chew many baklava	1	1	1	1
harry may not hide the chocolate since a professor may eat a croissant because vernon should assemble many strudels	harry may not hide a chocolate since the professor may eat a croissant because vernon should assemble many strudels	1	1	1	1
since the witch can swim because petunia must smile she must not hide many cookies which petunia should eat	since the witch can swim because petunia must wiggle she must not sprinkle many cookies that petunia should eat	1	1	1	0
since harry may prepare many chocolates that petunia must eat petunia may not make a chocolate that hagrid should hide	since harry may prepare many chocolates that petunia must eat petunia may not chew a chocolate that hagrid should gobble	1	1	1	0
voldemort must not gobble the souffles that sirius must gobble since he may eat many strudels that james must create	voldemort must not gobble the souffles that sirius must gobble since he may create many strudels that james must eat	1	1	1	1
since fred can create the cookies that lupin should hide voldemort can not hide the eclaire which petunia can gobble	since fred can create the cookies that lupin should hide voldemort can not hide the eclaire which lupin should gobble	1	1	1	0
james should not hide the croissants that neville should sprinkle since mcgonagall can arrange the souffles that hermione must make	james should not hide the croissants that neville should sprinkle since neville must arrange the souffles that hermione can make	1	1	1	1
dobby must not arrange many chocolates which lupin should gobble because petunia can hide the chocolates which petunia must hide	dobby must not arrange many chocolates which lupin should gobble because petunia must hide the chocolates which petunia can hide	1	1	1	1
since lily should gobble the doughnuts which draco must arrange lupin may not eat the baklava that he can hide	since lily should gobble many doughnuts which draco must arrange hermione may not sprinkle the baklava that lupin can prepare	0	1	1	0
james must not gobble a eclaire which george should assemble since george should create the souffles because draco can hiccup	james must not gobble a eclaire which george should assemble because george should create the souffles since draco can hiccup	1	1	1	1
petunia must not laugh because he can prepare the croissants that the student should arrange because the professor must jump	petunia must not laugh because he can prepare the cookies that the student should arrange because he must jump	0	1	1	1
fred can not hide the eclaire that mcgonagall should make because she should create the croissant which voldemort must make	fred can not hide the eclaire that mcgonagall should make because voldemort should create the croissant which mcgonagall must make	0	1	1	1
hagrid can not assemble the baklava which she should hide because lupin may gobble a cake because hagrid must laugh	hagrid can not assemble the baklava which she should hide because lupin may gobble a cake because hagrid must wiggle	1	1	1	1
mcgonagall must not jump because harry must sprinkle the chocolate because ginny can chew a souffle that she should arrange	mcgonagall must not jump because ginny must sprinkle the chocolate because harry can chew a souffle that she should arrange	1	1	1	1
james must not sprinkle the strudels that vernon can sprinkle since voldemort may eat many chocolates that he can arrange	james must not sprinkle the strudels that voldemort can sprinkle since he may eat many chocolates that voldemort can arrange	0	1	1	1
since a witch can gobble the strudels because a professor may assemble a cake albus may not eat the cake	since a witch can gobble the strudels because a professor may not assemble a cake albus may not eat the cake	0	0	1	1
because george should hide the cake which harry must sprinkle neville may not arrange the doughnuts that she can gobble	because george should hide the cake which neville must sprinkle harry may not arrange the doughnuts that she can sprinkle	1	1	1	1
hagrid may not chew the baklava since harry can sprinkle a strudel which james must eat since hermione can smile	hagrid may not chew the baklava since harry can sprinkle a strudel that he must eat since harry can sprinkle many chocolates	0	0	1	1
since james can arrange the doughnuts which fred can create because lupin must jump she must not arrange the pancake	since james can arrange the doughnuts which lupin can create she must not jump because lupin must arrange the pancake	0	0	1	0
since he must arrange a cake which voldemort should chew lupin should not hide the strudel that fred may chew	since he must arrange a cake which lupin should chew voldemort should not hide the strudel that fred may chew	1	1	1	1
since draco may prepare the strudels that she may eat dobby can not make the eclaire that hagrid may chew	since draco may prepare the strudels that hagrid may eat she can not chew a eclaire that dobby may make	0	1	1	0
because a student should assemble a baklava he must not create the cookies since the witch must make the pancake	because a student should assemble a baklava he must not create the cake since a witch must make the strudels	0	1	1	1
since ron may assemble a baklava which vernon may chew james can not run since fred should gobble the strudels	since ron may assemble a baklava which vernon may chew fred can not hide the doughnuts since james should gobble many strudels	0	0	1	0
since james may arrange the croissant which harry must gobble draco must not hide the strudel that mcgonagall must chew	since james may arrange the strudel that draco must hide harry must not gobble the croissant which mcgonagall must chew	1	1	1	0
since dobby may assemble a souffle that dobby may gobble voldemort should not arrange many strudels that harry may eat	since dobby may assemble a souffle that voldemort may gobble dobby should not arrange many strudels that james may eat	1	1	1	1
since petunia may hide the chocolate which voldemort should make hermione must not arrange the baklava that hermione must assemble	since petunia may hide the chocolate which voldemort should arrange hermione must not make the baklava that hermione must assemble	1	1	1	0
because lily should swim because snape must hide the doughnut that he must eat hermione may not hide a strudel	because lily should swim because he must hide the doughnut that hermione must eat he may not hide a strudel	0	1	1	0
since ron may eat the cakes that james may prepare snape should not eat a souffle that petunia must chew	since ron may eat the cakes that snape may prepare james should not eat a souffle that petunia must chew	1	1	1	0
since dobby must wiggle ginny may not sprinkle many cookies because sirius must sprinkle the pancakes which lily may assemble	since dobby must wiggle ginny must not sprinkle many croissants because sirius may sprinkle the cookie which ginny must assemble	0	1	1	1
since harry should assemble the chocolates she should not make a cookie which sirius should create since hagrid must smile	since harry should assemble the chocolates she should not make a cookie which hagrid should create since sirius must smile	1	1	1	1
sirius should not sprinkle the pancake since the witch should gobble many cakes because a wizard can create the pancakes	sirius should not sprinkle the pancake because the witch should gobble many cakes since a wizard can create the strudels	1	1	1	1
since she may eat a eclaire neville may not swim since james must hide the croissant that george should hide	since she may eat a eclaire since neville may swim james must not hide the croissant that george should hide	0	0	1	0
hagrid should not create the eclaire since ron must assemble the cakes that neville can gobble because james may jump	hagrid should not create the eclaire since ron must assemble the cakes that neville may gobble because james can jump	1	1	1	1
since he may hide the pancakes that she can assemble petunia must not gobble the doughnuts that lupin may gobble	since he may hide the pancakes that she can assemble lupin must not gobble the doughnuts that petunia may gobble	1	1	1	1
since neville must hide the cookies that she should assemble snape can not prepare a chocolate which he must gobble	since neville must hide the cookies that she should prepare snape can not assemble a chocolate which he must hide	1	1	1	0
since mcgonagall should chew a eclaire which fred should arrange because james may create a doughnut george should not giggle	since mcgonagall should chew a eclaire which fred should arrange because george may create a doughnut james should not giggle	1	1	1	1
mcgonagall can not arrange a baklava that draco must arrange because hagrid can chew the souffles that voldemort should create	mcgonagall can not arrange a baklava that draco must arrange because voldemort can chew the souffles that hagrid should create	1	1	1	1
since george can hide the souffles since she must eat many strudels she should not giggle since he can laugh	since george can hide the souffles since she must eat many croissants he should not hiccup since she can walk	1	1	1	0
since lupin may smile fred must not assemble the chocolates which lupin must create since voldemort can assemble a doughnut	since lupin may smile fred must not create the chocolates which lupin must assemble since voldemort can assemble a doughnut	1	1	1	0
since he should prepare the doughnuts which he may prepare snape can not chew a strudel which fred must create	since he should prepare the doughnuts which he may prepare fred can not chew a strudel which snape must create	1	1	1	1
since petunia must arrange many doughnuts which lupin should assemble snape may not make a strudel that she can hide	since petunia must arrange many doughnuts which lupin should assemble she may not make a strudel that she can hide	0	1	1	1
he should not sprinkle many doughnuts since draco should chew many cakes that dobby should create since fred must swim	he should not sprinkle many doughnuts since draco should chew many baklava that dobby should create since fred must swim	1	1	1	1
since he can hide the chocolates ron must not walk since sirius may make the souffle which fred must chew	since he can hide the chocolates ron must not walk since sirius may chew the souffle which fred must make	1	1	1	1
since fred must create a strudel that dobby must assemble mcgonagall must not create the strudels which she can create	since fred must create a strudel that dobby must assemble she must not create the strudels which mcgonagall can create	0	1	1	0
since he must prepare the souffle petunia should not giggle because mcgonagall should chew a croissant that hagrid must hide	since he must prepare the souffle that mcgonagall should chew petunia should not giggle because hagrid must hide a croissant	0	0	1	1
hagrid can not prepare the eclaire which petunia can make because he may eat the croissants that ginny must chew	hagrid can not prepare the eclaire which petunia can make because he may eat the chocolates that ginny must chew	1	1	1	1
since voldemort should eat a strudel which mcgonagall may arrange ginny may not eat the baklava that hermione must sprinkle	since voldemort should eat a strudel which mcgonagall may arrange hermione may not eat the baklava that ginny must sprinkle	1	1	1	0
because fred must prepare many cookies that vernon must create dobby may not prepare the chocolate that she can arrange	because fred must prepare many cookies that voldemort must create lily may not prepare the chocolate that harry can arrange	0	1	1	0
since neville can sprinkle the cookies snape must not smile because she must gobble many pancakes that mcgonagall must hide	since neville can sprinkle the cookies snape must not smile because she must hide many pancakes that mcgonagall must gobble	1	1	1	1
because george may create a doughnut which george may prepare vernon can not prepare many strudels that hermione should create	because george may create a doughnut which vernon may prepare george can not prepare many strudels that hermione should create	1	1	1	0
since lily can hide the cookie since albus should make the eclaires that ginny may chew james may not party	since lily can hide the croissants since albus should make the cakes that ginny may chew albus may not party	0	1	1	1
since ron must eat the pancake because snape must make the cakes which lily must create lily must not wiggle	since ron must eat the baklava because lily must make the chocolates snape must not create the cookies	0	0	1	0
draco must not sprinkle the baklava which hermione should eat since she must chew the chocolates that petunia should assemble	draco must not sprinkle the baklava which hermione should chew since she must eat the chocolates that petunia should assemble	1	1	1	1
since hermione should make the baklava that albus can chew she can not eat a souffle that albus must hide	since hermione should make the baklava that albus can chew she must not eat a souffle that albus can hide	1	1	1	1
because draco must eat many souffles that george can make he can not gobble the pancake that lupin must eat	because draco must eat many souffles that george can make he must not gobble the pancake that lupin can eat	1	1	1	1
snape may not hide the cookie that petunia can eat since george should create the croissant which james must make	snape may not hide the cookie that petunia can create since george should eat the croissant which james must make	1	1	1	1
dobby should not create the souffle which snape must assemble since sirius must assemble many pancakes which vernon should gobble	dobby should not create the souffle which snape must assemble since sirius must gobble many strudels which vernon should assemble	1	1	1	1
since neville can assemble a baklava that george should gobble he should not make the croissants because he must smile	since neville can assemble a baklava that he should gobble george should not make the croissants because he must smile	0	1	1	1
because voldemort should eat a souffle that hermione may chew fred may not giggle because dobby can hide a strudel	because voldemort should eat a souffle that fred may chew hermione may not giggle because dobby can hide a strudel	1	1	1	1
since albus may create a eclaire that lily should sprinkle lupin should not assemble many cookies that james must arrange	since albus may create a eclaire that lupin should sprinkle lily should not create many cookies that james must make	1	1	1	0
since the wizard can smile since a wizard must sprinkle the pancakes which he can chew draco may not wiggle	since the wizard can smile since a wizard must sprinkle the pancakes which he may chew draco can not wiggle	1	1	1	1
george must not giggle since sirius may prepare a cookie because harry can sprinkle the doughnuts that james can eat	george must not giggle because sirius may prepare a cookie since harry can sprinkle the doughnuts that harry can eat	1	1	1	1
harry may not chew many eclaires which dobby should make since neville may assemble a cookie which ron must make	harry may not chew many eclaires which dobby should make since neville may assemble a cookie that ron must make	1	1	1	1
vernon should not make the souffles which fred can eat because the student may assemble many cookies that albus should hide	vernon should not make the souffles which dobby can eat because ron may assemble many cookies that dobby should hide	0	1	1	1
he must not eat the cookie because hermione must gobble the baklava which hagrid should arrange since harry may party	he must not eat the cookie because hermione must arrange the baklava which hagrid should gobble since harry may swim	1	1	1	1
ginny must not chew a souffle that hagrid can eat since lupin should arrange the strudels that a wizard must chew	ginny must not chew a souffle that hagrid can eat since lupin should arrange the strudels that a witch must chew	1	1	1	1
because a witch may arrange the cake which fred can create petunia should not prepare a doughnut that fred must hide	because a witch may arrange the cake which fred can prepare petunia should not create a doughnut that fred must hide	1	1	1	0
albus may not prepare many croissants that fred should prepare because the professor may gobble the cakes which james should make	albus may not prepare many croissants that fred should prepare because the professor may gobble the cakes that james should make	1	1	1	1
since vernon must prepare a souffle which lupin should eat lupin can not prepare many doughnuts that the professor may make	since vernon must prepare a souffle which lupin should prepare lupin can not eat many doughnuts that the professor may make	1	1	1	0
the professor can not sprinkle the chocolates that george may gobble since lily should create the cakes which voldemort may make	the professor can not sprinkle the chocolates that george may gobble since lily should create the cakes that voldemort may make	1	1	1	1
she should not gobble a chocolate which a witch should create since ginny should make the pancake that albus must make	she should not gobble a chocolate which a witch should create since ginny should make the cake that albus must make	1	1	1	1
hermione may not assemble the doughnuts that the witch should gobble since fred may arrange the strudel that draco should create	hermione may not assemble the doughnuts that the witch should arrange since fred may gobble the strudel that draco should create	1	1	1	1
because ron should gobble the cookie that snape can eat because dobby must giggle a student may not gobble the doughnut	because ron should gobble the cookie that snape can eat dobby must not giggle because a student may gobble the doughnut	0	0	1	0
she must not party since vernon must prepare the croissants that vernon can chew because a wizard may arrange a pancake	she must not party since vernon must prepare the croissants because vernon can chew a pancake that a wizard may arrange	0	0	1	1
because draco should sprinkle the chocolates george must not wiggle because draco may party since a wizard must eat the doughnut	because draco should sprinkle the chocolates george must not wiggle because draco may party because a wizard must eat the doughnut	1	1	1	1
sirius should not sprinkle a souffle which neville can arrange since the wizard must eat the strudels which lily must create	sirius should not sprinkle a souffle which neville can arrange since the wizard must eat the strudels	0	0	1	1
because voldemort may laugh a professor may not make the souffles that ron must create because neville must create a cake	because voldemort may laugh a professor may not make the cookies that ron must create because neville must create a pancake	1	1	1	1
because a student may arrange the chocolates because he may wiggle hagrid may not assemble a croissant since petunia may laugh	because a student may arrange the chocolates because he may giggle hagrid may not hide a croissant since petunia may laugh	1	1	1	0
since neville should create the strudel which a student should sprinkle vernon may not chew a souffle since mcgonagall may party	since neville should create the strudel which a student should sprinkle mcgonagall may not chew a croissant which vernon may assemble	0	0	1	1
since draco may sprinkle the baklava since a witch should assemble the eclaire which petunia must arrange dobby should not laugh	since draco may sprinkle the baklava since a witch should arrange the eclaire which petunia must assemble dobby should not laugh	1	1	1	1
because the professor should arrange the baklava that he can chew she can not prepare the baklava which vernon must create	because the professor should arrange the baklava that he can chew she can not prepare the baklava which he must create	0	1	1	1
because a professor may create a souffle since he may smile since the witch should laugh the student can not hiccup	because a professor may create a souffle since he may smile since a witch should hide the chocolates the student can laugh	0	0	0	0
because neville must giggle mcgonagall must not hide the pancakes since a student can eat the pancake that lily must hide	because neville must giggle mcgonagall must not hide the pancakes since a student can sprinkle the pancake that lily must hide	1	1	1	1
since hermione should walk neville should not create the croissants which snape may sprinkle because a witch must prepare a eclaire	since hermione should walk neville should not sprinkle the croissants because snape may create a eclaire which a witch must prepare	0	0	1	0
since ginny should hide the souffles that sirius may arrange a wizard should not jump since harry may hide the strudels	since ginny should hide the souffles that a wizard may arrange harry should not prepare many strudels since harry may hiccup	0	0	1	0
petunia should not prepare many chocolates which petunia should eat since the professor must chew the cookies which vernon must hide	petunia should not prepare many chocolates which petunia should eat since the professor must chew the cookies which he must hide	0	1	1	1
mcgonagall can not hide the eclaires that she should hide because neville must assemble the croissants that the student may sprinkle	mcgonagall can not hide the eclaires that she should hide because neville must assemble the croissants that the student may assemble	1	1	1	1
since lily may create the pancakes that lupin should gobble since a witch should party dobby may not make the cookies	since lily may create the pancakes that lupin should gobble a witch should not hiccup since dobby may make the croissants	0	0	1	0
because hagrid can walk a wizard should not gobble a cake that lupin should hide since he may hide the souffles	because hagrid can walk a wizard should not gobble a cake that lupin should hide since he should hide the souffles	1	1	1	1
because hermione must eat the cookies which the student can hide he should not eat the cake that albus may chew	because hermione must eat the cookies which the student can hide he should not chew the cake that albus may chew	1	1	1	0
since dobby should party lupin may not eat the strudels because the witch can hide the eclaires that lily must arrange	since dobby should party lupin may not sprinkle the strudels because the witch must prepare the eclaires that lily can gobble	1	1	1	0
he may not arrange the doughnuts that a witch may eat because he can hide a eclaire which harry can eat	he may not arrange the doughnuts that a wizard may chew because draco can sprinkle the eclaire which mcgonagall can eat	0	1	1	1
since dobby may make the strudels he must not laugh because dobby must make the souffles which the professor must sprinkle	since dobby may make the souffles he must not walk because dobby must chew the strudel which the professor must sprinkle	0	1	1	0
because petunia should chew the doughnut that ginny must sprinkle fred must not hide a strudel which a professor can eat	because petunia should chew the doughnut that ginny must sprinkle fred must not hide a strudel which a professor must eat	1	1	1	1
because ginny should giggle because fred should eat the eclaires the witch may not create the doughnut that james should sprinkle	because ginny should giggle because fred should eat the eclaires the witch should not sprinkle the doughnut that james may create	1	1	1	0
he can not hide a croissant which a witch must eat since neville should gobble the cookies which petunia must make	he can not hide a croissant which a witch must eat since neville should gobble the cookies which petunia must arrange	1	1	1	1
since dobby can prepare the baklava which james should eat since the professor must assemble the croissants vernon may not walk	since dobby can prepare the baklava which voldemort should eat the professor must not assemble the cookies since vernon may walk	0	0	1	0
since hermione should arrange the cookie that petunia must hide a wizard should not hide the chocolates which albus may sprinkle	since hermione should arrange the cookie that a wizard must hide petunia should not hide the chocolates which albus should sprinkle	0	1	1	0
george may not swim because the student must make the baklava that he must assemble because ron should make the chocolates	george may not swim because the student must assemble the baklava that he must make because ron should make the chocolates	1	1	1	1
because hagrid can party because sirius should hide a souffle vernon must not prepare the cake that a witch must make	because hagrid can run sirius should not hide a eclaire because a witch must prepare the cake that sirius must make	0	0	1	0
because he must prepare the doughnut draco should not smile since lupin must eat the baklava which a wizard can eat	because he must prepare the doughnut draco should not smile because lupin must eat the baklava which a wizard must eat	1	1	1	1
the witch may not arrange the cookies that sirius should arrange because lupin should arrange the chocolates which she must create	the witch may not arrange the cookies that lupin should arrange because sirius should arrange the chocolates which she must create	1	1	1	1
because the wizard can eat a strudel that hermione must chew harry must not chew the eclaires that ron should eat	because the wizard can eat a strudel that hermione must chew ron must not chew the eclaires that harry should eat	1	1	1	0
since lupin may party a professor should not assemble the pancake that neville must assemble since vernon can assemble the croissants	since lupin may assemble a doughnut neville should not assemble the pancake since a professor must assemble the souffles that fred can assemble	0	0	1	0
voldemort may not gobble a cookie that hagrid should create because the professor should create the cookie which ginny must assemble	voldemort may not gobble a cookie that hagrid should create because a professor should create the cookie which ginny must assemble	1	1	1	1
because george must prepare the baklava lupin may not run because the professor must make the pancakes that harry should arrange	because george must prepare the baklava lupin can not run because the professor should make the pancakes that harry should arrange	1	1	1	1
petunia should not create the cookie which she should prepare because the wizard should gobble the croissant which snape must chew	petunia should not create the cookie which she should prepare because the wizard must gobble the croissant which snape should chew	1	1	1	1
snape may not eat the baklava that ron may assemble since the student should chew the chocolates which lupin may sprinkle	snape may not eat the baklava that ron may chew since the student should assemble the chocolates which lupin may sprinkle	1	1	1	1
since petunia should hide a doughnut since a witch must arrange the souffles that draco should arrange ron must not giggle	since petunia should hide a doughnut a witch must not arrange the cookies that draco should arrange since ron must giggle	0	0	1	0
albus should not create the croissant that vernon can arrange because ron can eat the cookie that the witch may prepare	albus should not create the croissant that vernon can arrange because ron can prepare the cookie that the witch may eat	1	1	1	1
since lily should swim dobby should not assemble a croissant that ginny should create since the professor should hide the cookies	since lily should swim dobby should not assemble a croissant that ginny should hide since the professor should create the cookies	1	1	1	1
hagrid may not chew a baklava which the witch must arrange because draco can smile because sirius must chew many cookies	hagrid may not chew a baklava which the witch must arrange because draco can chew many cookies because draco must smile	0	0	1	1
because sirius must make many souffles that hermione can hide george must not make the baklava since a wizard may wiggle	because sirius must make many souffles that hermione can hide george must not make a baklava since the professor may wiggle	0	1	1	0
hermione must not hide the croissants that neville may eat because fred may prepare the baklava that the professor should gobble	hermione must not hide the croissants that neville may prepare because fred may eat the baklava that the professor should gobble	1	1	1	1
he should not gobble the strudels that she should make since petunia should hide the strudel which a student can gobble	he should not gobble the strudels that she should chew since petunia should gobble the strudel which a student can gobble	1	1	1	1
since the student may prepare the doughnut that vernon must arrange because she can wiggle fred can not prepare a strudel	since the student may prepare the doughnut that vernon must arrange she can not wiggle because fred can prepare a strudel	0	0	1	0
because hagrid should make many strudels ron should not arrange a eclaire because he can make the croissants that he must assemble	because hagrid should arrange many souffles ron should not make a chocolate that he must arrange because he can assemble the croissants	0	0	1	0
since the witch must gobble the doughnuts which lupin can assemble mcgonagall must not eat a cookie which the student should prepare	since the witch must gobble the doughnuts which mcgonagall can assemble lupin must not eat a cookie which the student should prepare	1	1	1	1
george can not eat the cookie because lily must arrange many eclaires since petunia may make a croissant that fred may assemble	george can not eat the cookie because lily must arrange many eclaires since petunia may assemble a croissant that she may make	0	1	1	1
because ron may hide the chocolate that petunia can assemble albus can not arrange the souffle since lily may hide the souffles	because ron may hide the chocolate that petunia can assemble dobby can not arrange the souffle since albus may hide the souffles	1	1	1	1
