target,prediction,target length,correct
mcgonagall should run,mcgonagall should run,3,1
george should walk,george should walk,3,1
mcgonagall must hiccup,mcgonagall must hiccup,3,1
vernon can walk,vernon can walk,3,1
vernon must run,vernon must run,3,1
draco can smile,draco can smile,3,1
vernon can walk,vernon can walk,3,1
james should hiccup,james should hiccup,3,1
vernon can laugh,vernon can laugh,3,1
she must giggle,she must giggle,3,1
harry may smile,harry may smile,3,1
vernon can jump,vernon can jump,3,1
dobby can giggle,dobby can giggle,3,1
hermione can walk,hermione can walk,3,1
neville can walk,neville can walk,3,1
dobby should giggle,dobby should giggle,3,1
lily should party,lily should party,3,1
hagrid should laugh,hagrid should laugh,3,1
he may giggle,he may giggle,3,1
ginny should jump,ginny should jump,3,1
he should laugh,he should laugh,3,1
vernon must party,vernon must party,3,1
lily should jump,lily should jump,3,1
vernon should laugh,vernon should laugh,3,1
fred should walk,fred should walk,3,1
lily can party,lily can party,3,1
she must swim,she must swim,3,1
draco can walk,draco can walk,3,1
james should hiccup,james should hiccup,3,1
snape should laugh,snape should laugh,3,1
draco must jump,draco must jump,3,1
he may walk,he may walk,3,1
hermione must walk,hermione must walk,3,1
lupin can jump,lupin can jump,3,1
hermione may hiccup,hermione may hiccup,3,1
sirius should laugh,sirius should laugh,3,1
snape must hiccup,snape must hiccup,3,1
vernon must walk,vernon must walk,3,1
ron may walk,ron may walk,3,1
she should laugh,she should laugh,3,1
neville should run,neville should run,3,1
albus should jump,albus should jump,3,1
snape may laugh,snape may laugh,3,1
snape can smile,snape can smile,3,1
neville must wiggle,neville must wiggle,3,1
dobby may smile,dobby may smile,3,1
albus must giggle,albus must giggle,3,1
lupin should swim,lupin should swim,3,1
albus should jump,albus should jump,3,1
vernon should walk,vernon should walk,3,1
she may swim,she may swim,3,1
snape can jump,snape can jump,3,1
neville must run,neville must run,3,1
snape may hiccup,snape may hiccup,3,1
lily must party,lily must party,3,1
vernon should smile,vernon should smile,3,1
voldemort must smile,voldemort must smile,3,1
ginny must smile,ginny must smile,3,1
lily must hiccup,lily must hiccup,3,1
she must hiccup,she must hiccup,3,1
he may hiccup,he may hiccup,3,1
james should party,james should party,3,1
neville should swim,neville should swim,3,1
harry may hiccup,harry may hiccup,3,1
voldemort may giggle,voldemort may giggle,3,1
harry must laugh,harry must laugh,3,1
mcgonagall should wiggle,mcgonagall should wiggle,3,1
james should walk,james should walk,3,1
ginny should jump,ginny should jump,3,1
voldemort must run,voldemort must run,3,1
albus should wiggle,albus should wiggle,3,1
george may giggle,george may giggle,3,1
ron must smile,ron must smile,3,1
petunia must laugh,petunia must laugh,3,1
she should wiggle,she should wiggle,3,1
fred should hiccup,fred should hiccup,3,1
petunia may smile,petunia may smile,3,1
sirius must jump,sirius must jump,3,1
ron should party,ron should party,3,1
he must giggle,he must giggle,3,1
george must giggle,george must giggle,3,1
he should party,he should party,3,1
sirius should run,sirius should run,3,1
lily may swim,lily may swim,3,1
she must laugh,she must laugh,3,1
dobby should walk,dobby should walk,3,1
albus must giggle,albus must giggle,3,1
voldemort must smile,voldemort must smile,3,1
james may jump,james may jump,3,1
he may wiggle,he may wiggle,3,1
petunia must swim,petunia must swim,3,1
albus should smile,albus should smile,3,1
he can walk,he can walk,3,1
fred should hiccup,fred should hiccup,3,1
draco should run,draco should run,3,1
james can hiccup,james can hiccup,3,1
harry may swim,harry may swim,3,1
fred should swim,fred should swim,3,1
vernon should jump,vernon should jump,3,1
he must hiccup,he must hiccup,3,1
hermione must walk,hermione must walk,3,1
lupin may party,lupin may party,3,1
he must walk,he must walk,3,1
hermione can walk,hermione can walk,3,1
ginny must laugh,ginny must laugh,3,1
sirius must walk,sirius must walk,3,1
mcgonagall should giggle,mcgonagall should giggle,3,1
ron should jump,ron should jump,3,1
he must party,he must party,3,1
james should walk,james should walk,3,1
she should smile,she should smile,3,1
harry may wiggle,harry may wiggle,3,1
voldemort can swim,voldemort can swim,3,1
dobby can run,dobby can run,3,1
fred should run,fred should run,3,1
neville can walk,neville can walk,3,1
vernon may hiccup,vernon may hiccup,3,1
fred must wiggle,fred must wiggle,3,1
ginny can smile,ginny can smile,3,1
draco can wiggle,draco can wiggle,3,1
draco can run,draco can run,3,1
hermione should swim,hermione should swim,3,1
she must walk,she must walk,3,1
draco must smile,draco must smile,3,1
lily may hiccup,lily may hiccup,3,1
lily can swim,lily can swim,3,1
hagrid may hiccup,hagrid may hiccup,3,1
james must giggle,james must giggle,3,1
hermione must jump,hermione must jump,3,1
vernon can wiggle,vernon can wiggle,3,1
dobby should run,dobby should run,3,1
james can swim,james can swim,3,1
draco must party,draco must party,3,1
dobby may laugh,dobby may laugh,3,1
snape should laugh,snape should laugh,3,1
hermione should giggle,hermione should giggle,3,1
fred may wiggle,fred may wiggle,3,1
voldemort can party,voldemort can party,3,1
draco should party,draco should party,3,1
lupin must swim,lupin must swim,3,1
ron can run,ron can run,3,1
james must jump,james must jump,3,1
george may swim,george may swim,3,1
voldemort can party,voldemort can party,3,1
sirius must giggle,sirius must giggle,3,1
george must swim,george must swim,3,1
lily should smile,lily should smile,3,1
ginny must hiccup,ginny must hiccup,3,1
dobby may wiggle,dobby may wiggle,3,1
she may party,she may party,3,1
she can laugh,she can laugh,3,1
neville should wiggle,neville should wiggle,3,1
vernon must walk,vernon must walk,3,1
mcgonagall can giggle,mcgonagall can giggle,3,1
petunia can giggle,petunia can giggle,3,1
snape can hiccup,snape can hiccup,3,1
james should swim,james should swim,3,1
petunia must jump,petunia must jump,3,1
ron should wiggle,ron should wiggle,3,1
george may swim,george may swim,3,1
lupin should smile,lupin should smile,3,1
fred must laugh,fred must laugh,3,1
ron may walk,ron may walk,3,1
voldemort should swim,voldemort should swim,3,1
vernon should hiccup,vernon should hiccup,3,1
hagrid may giggle,hagrid may giggle,3,1
albus can swim,albus can swim,3,1
draco must walk,draco must walk,3,1
sirius can walk,sirius can walk,3,1
snape may walk,snape may walk,3,1
sirius may run,sirius may run,3,1
mcgonagall should wiggle,mcgonagall should wiggle,3,1
dobby should walk,dobby should walk,3,1
hermione must walk,hermione must walk,3,1
dobby may party,dobby may party,3,1
lily may walk,lily may walk,3,1
lily must giggle,lily must giggle,3,1
hagrid must run,hagrid must run,3,1
he may giggle,he may giggle,3,1
draco should jump,draco should jump,3,1
lily should jump,lily should jump,3,1
vernon must party,vernon must party,3,1
lupin may hiccup,lupin may hiccup,3,1
neville must party,neville must party,3,1
lily can laugh,lily can laugh,3,1
hermione should swim,hermione should swim,3,1
ron must party,ron must party,3,1
voldemort should swim,voldemort should swim,3,1
lupin should walk,lupin should walk,3,1
draco should run,draco should run,3,1
hermione should walk,hermione should walk,3,1
george must hiccup,george must hiccup,3,1
george must giggle,george must giggle,3,1
ginny may walk,ginny may walk,3,1
george may smile,george may smile,3,1
vernon must giggle,vernon must giggle,3,1
snape must walk,snape must walk,3,1
george must walk,george must walk,3,1
ginny must wiggle,ginny must wiggle,3,1
mcgonagall must party,mcgonagall must party,3,1
ron should smile,ron should smile,3,1
draco should smile,draco should smile,3,1
lily should wiggle,lily should wiggle,3,1
sirius should run,sirius should run,3,1
fred should swim,fred should swim,3,1
ginny should wiggle,ginny should wiggle,3,1
george may wiggle,george may wiggle,3,1
sirius should laugh,sirius should laugh,3,1
he must giggle,he must giggle,3,1
snape can walk,snape can walk,3,1
harry should walk,harry should walk,3,1
lupin must walk,lupin must walk,3,1
sirius should run,sirius should run,3,1
harry should hiccup,harry should hiccup,3,1
ron can hiccup,ron can hiccup,3,1
lily can wiggle,lily can wiggle,3,1
hermione may jump,hermione may jump,3,1
hermione may laugh,hermione may laugh,3,1
lily must jump,lily must jump,3,1
hermione may smile,hermione may smile,3,1
petunia may laugh,petunia may laugh,3,1
petunia must wiggle,petunia must wiggle,3,1
fred must jump,fred must jump,3,1
george can laugh,george can laugh,3,1
fred should giggle,fred should giggle,3,1
hagrid must walk,hagrid must walk,3,1
he can laugh,he can laugh,3,1
dobby may party,dobby may party,3,1
george should jump,george should jump,3,1
george must swim,george must swim,3,1
albus must swim,albus must swim,3,1
he may hiccup,he may hiccup,3,1
hermione must laugh,hermione must laugh,3,1
james should party,james should party,3,1
ron must walk,ron must walk,3,1
fred should laugh,fred should laugh,3,1
he should swim,he should swim,3,1
hagrid can jump,hagrid can jump,3,1
lupin may jump,lupin may jump,3,1
albus may walk,albus may walk,3,1
mcgonagall should swim,mcgonagall should swim,3,1
hagrid should hiccup,hagrid should hiccup,3,1
ron may jump,ron may jump,3,1
neville can party,neville can party,3,1
neville must jump,neville must jump,3,1
vernon must run,vernon must run,3,1
ron should swim,ron should swim,3,1
james should swim,james should swim,3,1
mcgonagall must run,mcgonagall must run,3,1
he can laugh,he can laugh,3,1
lily can smile,lily can smile,3,1
ginny must hiccup,ginny must hiccup,3,1
she should laugh,she should laugh,3,1
mcgonagall can wiggle,mcgonagall can wiggle,3,1
voldemort can jump,voldemort can jump,3,1
fred must giggle,fred must giggle,3,1
ginny can hiccup,ginny can hiccup,3,1
she must smile,she must smile,3,1
ron must giggle,ron must giggle,3,1
james may hiccup,james may hiccup,3,1
he can hiccup,he can hiccup,3,1
lupin may party,lupin may party,3,1
fred must walk,fred must walk,3,1
she should party,she should party,3,1
fred should party,fred should party,3,1
ron may walk,ron may walk,3,1
mcgonagall should run,mcgonagall should run,3,1
neville must laugh,neville must laugh,3,1
albus should hiccup,albus should hiccup,3,1
hermione must jump,hermione must jump,3,1
fred can run,fred can run,3,1
harry should wiggle,harry should wiggle,3,1
sirius may walk,sirius may walk,3,1
ginny must walk,ginny must walk,3,1
he should giggle,he should giggle,3,1
ron can run,ron can run,3,1
she may swim,she may swim,3,1
neville must walk,neville must walk,3,1
james must swim,james must swim,3,1
lily can hiccup,lily can hiccup,3,1
lily should swim,lily should swim,3,1
fred must jump,fred must jump,3,1
george must jump,george must jump,3,1
ginny may giggle,ginny may giggle,3,1
fred must run,fred must run,3,1
harry can jump,harry can jump,3,1
lily should party,lily should party,3,1
sirius may wiggle,sirius may wiggle,3,1
petunia must smile,petunia must smile,3,1
fred should giggle,fred should giggle,3,1
james must run,james must run,3,1
dobby should giggle,dobby should giggle,3,1
george should giggle,george should giggle,3,1
dobby must hiccup,dobby must hiccup,3,1
dobby should run,dobby should run,3,1
fred must run,fred must run,3,1
voldemort must hiccup,voldemort must hiccup,3,1
george should swim,george should swim,3,1
snape may smile,snape may smile,3,1
harry may jump,harry may jump,3,1
petunia may hiccup,petunia may hiccup,3,1
he should party,he should party,3,1
albus must giggle,albus must giggle,3,1
ginny should walk,ginny should walk,3,1
james should run,james should run,3,1
he should laugh,he should laugh,3,1
lily should jump,lily should jump,3,1
she must giggle,she must giggle,3,1
ron must swim,ron must swim,3,1
petunia can jump,petunia can jump,3,1
hagrid may run,hagrid may run,3,1
albus can walk,albus can walk,3,1
voldemort can hiccup,voldemort can hiccup,3,1
harry must smile,harry must smile,3,1
mcgonagall may party,mcgonagall may party,3,1
ron must smile,ron must smile,3,1
hermione must run,hermione must run,3,1
fred must party,fred must party,3,1
sirius can wiggle,sirius can wiggle,3,1
harry should hiccup,harry should hiccup,3,1
petunia must swim,petunia must swim,3,1
albus must jump,albus must jump,3,1
voldemort should hiccup,voldemort should hiccup,3,1
james must swim,james must swim,3,1
ron should wiggle,ron should wiggle,3,1
hagrid must walk,hagrid must walk,3,1
mcgonagall may hiccup,mcgonagall may hiccup,3,1
sirius can laugh,sirius can laugh,3,1
hagrid must party,hagrid must party,3,1
fred should run,fred should run,3,1
she may hiccup,she may hiccup,3,1
george must smile,george must smile,3,1
george can smile,george can smile,3,1
dobby should wiggle,dobby should wiggle,3,1
hermione must hiccup,hermione must hiccup,3,1
dobby can walk,dobby can walk,3,1
hermione must swim,hermione must swim,3,1
dobby should smile,dobby should smile,3,1
dobby should laugh,dobby should laugh,3,1
draco must swim,draco must swim,3,1
he may party,he may party,3,1
ginny can wiggle,ginny can wiggle,3,1
lily may smile,lily may smile,3,1
he must smile,he must smile,3,1
vernon can swim,vernon can swim,3,1
snape must walk,snape must walk,3,1
lupin can hiccup,lupin can hiccup,3,1
albus can smile,albus can smile,3,1
hermione must laugh,hermione must laugh,3,1
fred can swim,fred can swim,3,1
vernon may jump,vernon may jump,3,1
lupin may walk,lupin may walk,3,1
he should walk,he should walk,3,1
he should wiggle,he should wiggle,3,1
voldemort can laugh,voldemort can laugh,3,1
vernon can jump,vernon can jump,3,1
fred should party,fred should party,3,1
draco can smile,draco can smile,3,1
james must giggle,james must giggle,3,1
vernon should run,vernon should run,3,1
albus should walk,albus should walk,3,1
voldemort may wiggle,voldemort may wiggle,3,1
james should swim,james should swim,3,1
harry can run,harry can run,3,1
draco should wiggle,draco should wiggle,3,1
harry must walk,harry must walk,3,1
albus should run,albus should run,3,1
he must party,he must party,3,1
harry should jump,harry should jump,3,1
ginny must laugh,ginny must laugh,3,1
petunia should wiggle,petunia should wiggle,3,1
george can laugh,george can laugh,3,1
mcgonagall should smile,mcgonagall should smile,3,1
ginny should smile,ginny should smile,3,1
she must run,she must run,3,1
he should hiccup,he should hiccup,3,1
albus must giggle,albus must giggle,3,1
draco must jump,draco must jump,3,1
she can party,she can party,3,1
vernon may giggle,vernon may giggle,3,1
hagrid can jump,hagrid can jump,3,1
petunia can laugh,petunia can laugh,3,1
sirius can smile,sirius can smile,3,1
lupin must swim,lupin must swim,3,1
he can laugh,he can laugh,3,1
snape must smile,snape must smile,3,1
draco can walk,draco can walk,3,1
fred may walk,fred may walk,3,1
he can giggle,he can giggle,3,1
ron must walk,ron must walk,3,1
lily must smile,lily must smile,3,1
he should laugh,he should laugh,3,1
draco can walk,draco can walk,3,1
george can jump,george can jump,3,1
she should laugh,she should laugh,3,1
albus should walk,albus should walk,3,1
she must party,she must party,3,1
he can hiccup,he can hiccup,3,1
she can not jump,she can not jump,4,1
the wizard may jump,the wizard may jump,4,1
she may not wiggle,she may not wiggle,4,1
lupin must party,lupin must party,3,1
lupin should run,lupin should run,3,1
she should not giggle,she should not giggle,4,1
petunia can not run,petunia can not run,4,1
vernon must not wiggle,vernon must not wiggle,4,1
a witch may party,a witch may party,4,1
the professor can run,the professor can run,4,1
james should not giggle,james should not giggle,4,1
snape can not laugh,snape can not laugh,4,1
the professor must laugh,the professor must laugh,4,1
petunia may not run,petunia may not run,4,1
she should not walk,she should not walk,4,1
harry must not smile,harry must not smile,4,1
james should not smile,james should not smile,4,1
a student should laugh,a student should laugh,4,1
george may not giggle,george may not giggle,4,1
hagrid should not walk,hagrid should not walk,4,1
albus may not laugh,albus may not laugh,4,1
ginny should not smile,ginny should not smile,4,1
albus should not party,albus should not party,4,1
he may not giggle,he may not giggle,4,1
hermione may not wiggle,hermione may not wiggle,4,1
george should not walk,george should not walk,4,1
he must not wiggle,he must not wiggle,4,1
a wizard can jump,a wizard can jump,4,1
petunia may not wiggle,petunia may not wiggle,4,1
hermione may not walk,hermione may not walk,4,1
hagrid can not giggle,hagrid can not giggle,4,1
dobby must not smile,dobby must not smile,4,1
vernon may not walk,vernon may not walk,4,1
lupin may not walk,lupin may not walk,4,1
snape should not hiccup,snape should not hiccup,4,1
the student can jump,the student can jump,4,1
ron should not hiccup,ron should not hiccup,4,1
she should not walk,she should not walk,4,1
james can not wiggle,james can not wiggle,4,1
vernon should not jump,vernon should not jump,4,1
neville may not smile,neville may not smile,4,1
she may not swim,she may not swim,4,1
voldemort must not hiccup,voldemort must not hiccup,4,1
fred may not walk,fred may not walk,4,1
lily must not jump,lily must not jump,4,1
draco can not hiccup,draco can not hiccup,4,1
a wizard can jump,a wizard can jump,4,1
a witch must run,a witch must run,4,1
james should not swim,james should not swim,4,1
fred should not swim,fred should not swim,4,1
ginny may not walk,ginny may not walk,4,1
she can not wiggle,she can not wiggle,4,1
mcgonagall must not swim,mcgonagall must not swim,4,1
lily can not wiggle,lily can not wiggle,4,1
lupin may not jump,lupin may not jump,4,1
albus must not party,albus must not party,4,1
mcgonagall should not giggle,mcgonagall should not giggle,4,1
dobby must not wiggle,dobby must not wiggle,4,1
george can not run,george can not run,4,1
a student must walk,a student must walk,4,1
sirius must not giggle,sirius must not giggle,4,1
voldemort should not wiggle,voldemort should not wiggle,4,1
harry should not hiccup,harry should not hiccup,4,1
dobby should not giggle,dobby should not giggle,4,1
a witch should party,a witch should party,4,1
hermione must not wiggle,hermione must not wiggle,4,1
sirius can not smile,sirius can not smile,4,1
snape can not hiccup,snape can not hiccup,4,1
the professor should party,the professor should party,4,1
harry should not wiggle,harry should not wiggle,4,1
fred should not party,fred should not party,4,1
ginny can not party,ginny can not party,4,1
draco can not walk,draco can not walk,4,1
hagrid should not hiccup,hagrid should not hiccup,4,1
hermione must not run,hermione must not run,4,1
snape must not walk,snape must not walk,4,1
petunia must not jump,petunia must not jump,4,1
vernon must not swim,vernon must not swim,4,1
the professor can swim,the professor can swim,4,1
the student should walk,the student should walk,4,1
james should not laugh,james should not laugh,4,1
she may not jump,she may not jump,4,1
hagrid may not jump,hagrid may not jump,4,1
harry may not walk,harry may not walk,4,1
a student should smile,a student should smile,4,1
he may not walk,he may not walk,4,1
george can not party,george can not party,4,1
a witch can jump,a witch can jump,4,1
hermione should not jump,hermione should not jump,4,1
mcgonagall should not walk,mcgonagall should not walk,4,1
the student should wiggle,the student should wiggle,4,1
neville may not walk,neville may not walk,4,1
he can not jump,he can not jump,4,1
petunia can not walk,petunia can not walk,4,1
james must not wiggle,james must not wiggle,4,1
hermione may not swim,hermione may not swim,4,1
harry can not walk,harry can not walk,4,1
ron must not smile,ron must not smile,4,1
ginny can not jump,ginny can not jump,4,1
neville must not jump,neville must not jump,4,1
draco must not walk,draco must not walk,4,1
vernon should not giggle,vernon should not giggle,4,1
the professor can jump,the professor can jump,4,1
a student must party,a student must party,4,1
voldemort must not smile,voldemort must not smile,4,1
the professor must party,the professor must party,4,1
ginny can not jump,ginny can not jump,4,1
a student should giggle,a student should giggle,4,1
james must not smile,james must not smile,4,1
james may not laugh,james may not laugh,4,1
hagrid should not walk,hagrid should not walk,4,1
the student should wiggle,the student should wiggle,4,1
snape should not run,snape should not run,4,1
a professor should hiccup,a professor should hiccup,4,1
she must not smile,she must not smile,4,1
a professor should party,a professor should party,4,1
a student should giggle,a student should giggle,4,1
hagrid should not hiccup,hagrid should not hiccup,4,1
draco must not laugh,draco must not laugh,4,1
harry must not walk,harry must not walk,4,1
she must not run,she must not run,4,1
neville must not jump,neville must not jump,4,1
she should not hiccup,she should not hiccup,4,1
voldemort can not walk,voldemort can not walk,4,1
dobby must not jump,dobby must not jump,4,1
a wizard can run,a wizard can run,4,1
dobby should not run,dobby should not run,4,1
ginny can not swim,ginny can not swim,4,1
a witch should party,a witch should party,4,1
snape must not jump,snape must not jump,4,1
james may not jump,james may not jump,4,1
the student may jump,the student may jump,4,1
james can not walk,james can not walk,4,1
voldemort may not hiccup,voldemort may not hiccup,4,1
snape must not jump,snape must not jump,4,1
sirius can not party,sirius can not party,4,1
snape can not jump,snape can not jump,4,1
albus should not jump,albus should not jump,4,1
she should not swim,she should not swim,4,1
a student must hiccup,a student must hiccup,4,1
draco must not party,draco must not party,4,1
dobby must not party,dobby must not party,4,1
james should not laugh,james should not laugh,4,1
james can not hiccup,james can not hiccup,4,1
snape may not jump,snape may not jump,4,1
george should not jump,george should not jump,4,1
a wizard may wiggle,a wizard may wiggle,4,1
hagrid can not smile,hagrid can not smile,4,1
hermione should not hiccup,hermione should not hiccup,4,1
ron should not giggle,ron should not giggle,4,1
she should not hiccup,she should not hiccup,4,1
draco should not laugh,draco should not laugh,4,1
petunia may not wiggle,petunia may not wiggle,4,1
draco may not run,draco may not run,4,1
sirius can not wiggle,sirius can not wiggle,4,1
he should not swim,he should not swim,4,1
the witch must jump,the witch must jump,4,1
petunia must not smile,petunia must not smile,4,1
a professor can smile,a professor can smile,4,1
a witch should hiccup,a witch should hiccup,4,1
ginny must not giggle,ginny must not giggle,4,1
snape should not run,snape should not run,4,1
a student must hiccup,a student must hiccup,4,1
the professor should walk,the professor should walk,4,1
a witch can laugh,a witch can laugh,4,1
ginny must not wiggle,ginny must not wiggle,4,1
hermione may not hiccup,hermione may not hiccup,4,1
ginny should not walk,ginny should not walk,4,1
hermione may not swim,hermione may not swim,4,1
the wizard should party,the wizard should party,4,1
the student must party,the student must party,4,1
harry can not hiccup,harry can not hiccup,4,1
petunia can not party,petunia can not party,4,1
a witch may wiggle,a witch may wiggle,4,1
lily may not giggle,lily may not giggle,4,1
ron must not hiccup,ron must not hiccup,4,1
hagrid can not smile,hagrid can not smile,4,1
he may not wiggle,he may not wiggle,4,1
james should not giggle,james should not giggle,4,1
fred should not wiggle,fred should not wiggle,4,1
george should not giggle,george should not giggle,4,1
james should not swim,james should not swim,4,1
fred may not party,fred may not party,4,1
ron can not laugh,ron can not laugh,4,1
a student may walk,a student may walk,4,1
a wizard must smile,a wizard must smile,4,1
ron can not smile,ron can not smile,4,1
the wizard can jump,the wizard can jump,4,1
hagrid can not smile,hagrid can not smile,4,1
draco can not party,draco can not party,4,1
harry must not wiggle,harry must not wiggle,4,1
ginny can not hiccup,ginny can not hiccup,4,1
vernon must not run,vernon must not run,4,1
he must not laugh,he must not laugh,4,1
ron should not swim,ron should not swim,4,1
the student should swim,the student should swim,4,1
the wizard may smile,the wizard may smile,4,1
ron must not swim,ron must not swim,4,1
hagrid must not swim,hagrid must not swim,4,1
sirius should not laugh,sirius should not laugh,4,1
lily may not swim,lily may not swim,4,1
she can not wiggle,she can not wiggle,4,1
mcgonagall may not jump,mcgonagall may not jump,4,1
she can not run,she can not run,4,1
ron can not wiggle,ron can not wiggle,4,1
hermione can not wiggle,hermione can not wiggle,4,1
he may not wiggle,he may not wiggle,4,1
albus may not wiggle,albus may not wiggle,4,1
james should not wiggle,james should not wiggle,4,1
george may not swim,george may not swim,4,1
the student may giggle,the student may giggle,4,1
he must not smile,he must not smile,4,1
the professor should jump,the professor should jump,4,1
lily should not smile,lily should not smile,4,1
harry must not wiggle,harry must not wiggle,4,1
albus can not wiggle,albus can not wiggle,4,1
albus must not giggle,albus must not giggle,4,1
fred must not hiccup,fred must not hiccup,4,1
ron must not smile,ron must not smile,4,1
sirius must not walk,sirius must not walk,4,1
neville must not wiggle,neville must not wiggle,4,1
ginny may not jump,ginny may not jump,4,1
the student may jump,the student may jump,4,1
she must not hiccup,she must not hiccup,4,1
neville can not jump,neville can not jump,4,1
the professor can walk,the professor can walk,4,1
he should not party,he should not party,4,1
he can not party,he can not party,4,1
