Target Sentence,Predicted Sentence,Source Length,Target Length,Prediction Length,Correct Transformation,Parseable,Preserves Identical Tree Structure,"Preserves Significant Clauses (S, AdvP, RelP)",Negates Main Clause,Has Main Clause,Negates Main Clause,Negates Outside of Main Clause,Has Target Verb,Negates Target Verb
"['because george may assemble the pancake that the witch must sprinkle harry can not wiggle', 'because petunia may not assemble the pancake that the student should assemble the pancake that the student should assemble', 14, 15, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because hagrid must party she can not swim', 'because hagrid must not swim', 7, 8, 5, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['because he can giggle dobby must not walk', 'because can not walk a doughnut because he must walk', 7, 8, 10, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since ginny can sprinkle a croissant ron should not make the cakes since lily may chew a strudel', 'since can not sprinkle a croissant ron can eat the cakes', 17, 18, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because dobby may gobble the chocolates that the professor should prepare the student must not arrange a eclaire', 'because may not gobble the chocolates that the wizard must gobble the chocolates that the professor may gobble', 17, 18, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because a witch can sprinkle many pancakes sirius should not sprinkle a cookie which a student can hide', 'because james can not prepare many cookies which a student should prepare many pancakes which snape can sprinkle', 17, 18, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because he can eat many croissants since vernon can assemble the pancakes hermione can not create the eclaires', 'because can not eat many pancakes since vernon can assemble the eclaires since dobby can assemble the pancakes', 17, 18, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because neville should sprinkle the souffle that snape should create lily must not create a chocolate which lupin may chew', 'because neville should not sprinkle the souffle which a professor should sprinkle', 19, 20, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since ginny must chew the souffles that petunia may prepare since james should arrange the doughnuts harry should not party', 'since must not chew the souffles that she should chew the souffles that he must chew', 19, 20, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since james may gobble many croissants that dobby can arrange ron may not sprinkle the pancake that albus may arrange', 'since james may not gobble many croissants that she may sprinkle since neville must sprinkle the croissants that she may sprinkle', 19, 20, 21, 0, 1, 0, 0, 0, 0, 1, 1]"
"['because hagrid may hide a eclaire since vernon may sprinkle the cake that she can eat she should not smile', 'because james may not sprinkle the chocolates that she may sprinkle the cake that she may sprinkle', 19, 20, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because voldemort may eat a strudel the wizard must not create the cookies', 'voldemort may not arrange a cookies that because dobby must create because', 12, 13, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because a wizard may make the strudel snape should not create a baklava', 'because a wizard can not make the strudel', 12, 13, 8, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because harry must prepare the strudel that the student should eat ginny should not hide many souffles that harry should sprinkle', 'harry must not prepare the strudel that the should hide', 20, 21, 10, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because draco must sprinkle the doughnut that voldemort must chew albus should not prepare the croissant which a wizard must assemble', 'because snape must sprinkle the doughnut a student should arrange the doughnut that ginny must sprinkle', 20, 21, 16, 0, 1, 0, 0, 1, 0, 0]"
"['since the professor should laugh george can not create the cake which sirius can prepare since neville may gobble many eclaires', 'since the wizard can not eat many chocolates which ron can gobble since james may gobble many eclaires which ron can gobble', 20, 21, 22, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because lupin should gobble the cookie that a professor may arrange dobby should not gobble the croissants which mcgonagall can prepare', 'because should should not gobble the cookie that petunia can gobble', 20, 21, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because snape must laugh draco may not swim because ginny must hide a cookie that she must create', 'because snape may not ginny because draco may swim because a wizard may swim', 17, 18, 14, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since a professor should arrange many eclaires fred must not prepare the strudels which the student must make', 'since a professor should not arrange many eclaires which the student must eat', 17, 18, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because snape must assemble the baklava that lupin should gobble dobby must not prepare many cookies that vernon can create', 'because snape must not assemble the baklava that lupin may assemble many baklava that lupin may arrange', 19, 20, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since lily should arrange the baklava which draco must arrange ron must not gobble the cookies which fred must create', 'since should not arrange the baklava which the wizard should arrange the baklava which a baklava which the can', 19, 20, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since sirius may sprinkle the cake that albus may create sirius should not gobble the cookies that she may create', 'since petunia may not sprinkle the cookies that a student may sprinkle', 19, 20, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since lily should hide a baklava she may not make a chocolate which he must eat', 'since should not hide a croissant which a professor must eat a chocolate which a must eat', 15, 16, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since ginny may hide many chocolates since mcgonagall should make the croissants ron may not jump', 'since ginny may not hide many croissants ron may hide', 15, 16, 10, 0, 1, 0, 0, 1, 1, 0, 0]"
"['since george may assemble many eclaires that hagrid may assemble james may not assemble the pancake', 'since petunia may not assemble many eclaires that ginny may eat', 15, 16, 11, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['since james must prepare a doughnut which fred must assemble hermione may not swim', 'since james must not swim since lily may not swim', 13, 14, 10, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['since ron must chew the doughnut which draco must prepare he should not giggle', 'since she must not giggle', 13, 14, 5, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['since voldemort must prepare the souffle that vernon should gobble lily must not hide the baklava which fred must eat', 'since must not prepare the souffle that vernon must hide the souffle that the witch must eat the souffle', 19, 20, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since the wizard should gobble many croissants because a professor should create the croissants james must not arrange the souffles', 'since james should not gobble many souffles because a professor should gobble many souffles', 19, 20, 14, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because lupin should chew many doughnuts that vernon must chew ron may not prepare the strudels that petunia should make', 'because should not chew many doughnuts that ginny may assemble many doughnuts that ginny should create', 19, 20, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because dobby may chew the cookie which draco may assemble james can not sprinkle a croissant since george must party', 'because may not chew the cookie which a professor should chew the cookie which a professor should chew', 19, 20, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since harry should hide the chocolates that albus should make hagrid can not create many chocolates which a wizard can sprinkle', 'since harry should not hide the chocolates that hermione must hide', 20, 21, 11, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because she may sprinkle a chocolate that the student should sprinkle hermione must not prepare a doughnut that hagrid should sprinkle', 'because she may not sprinkle a chocolate that the student should sprinkle', 20, 21, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since james may hide the doughnut the witch should not hide the cakes because lupin can sprinkle many doughnuts', 'since james may not sprinkle many doughnut because lupin should prepare since lupin should prepare since lupin should prepare', 18, 19, 19, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because sirius may arrange many chocolates because the witch may create the souffle ginny should not assemble the chocolate', 'because petunia may not assemble many chocolate because james should assemble the chocolate because james should assemble the chocolate', 18, 19, 19, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['because ginny can hide the pancake ginny should not assemble the chocolates since the wizard may make many chocolates', 'because the can not hide the pancake because the witch can hide the pancake', 18, 19, 14, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since james may hide a strudel that ginny must arrange dobby may not wiggle', 'since james may not wiggle since neville may not wiggle', 13, 14, 10, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['because petunia must eat the doughnut that sirius must make draco should not giggle', 'because petunia must not eat the doughnut that a professor should eat the doughnut that a professor should eat', 13, 14, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because albus should party fred must not gobble the strudels that harry should create', 'because albus should not gobble the strudels that ginny must create', 13, 14, 11, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['since she should gobble the strudel voldemort should not gobble many pancakes', 'since she should not gobble many strudel voldemort should gobble many pancakes', 11, 12, 12, 0, 1, 0, 1, 1, 1, 1, 1]"
"['because mcgonagall may sprinkle many eclaires petunia can not arrange many cakes', 'because may not sprinkle many eclaires because mcgonagall may sprinkle many eclaires because hagrid should sprinkle', 11, 12, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since albus should arrange a eclaire she can not make the cakes', 'since albus should not make the cakes', 11, 12, 7, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['because sirius must sprinkle a doughnut lily can not sprinkle the pancake', 'because sirius must not sprinkle the pancake because sirius must sprinkle the pancake', 11, 12, 13, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['since voldemort can arrange the souffle sirius should not create the souffles', 'voldemort should not arrange the souffle that the student can arrange the souffle', 11, 12, 13, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since lily should walk a professor may not create the strudels', 'since should not create the strudels', 10, 11, 6, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since hermione can hiccup the professor should not eat the doughnuts', 'since hermione can not hiccup since the professor can gobble the doughnuts', 10, 11, 12, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since vernon may prepare the eclaire that a student can gobble because she can assemble the pancakes vernon should not create a eclaire', 'since vernon can not prepare the eclaire that dobby can gobble the eclaire that dobby can gobble since hermione may arrange', 22, 23, 21, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because albus may assemble the pancakes because ginny should assemble the cake that petunia can gobble a student should not hide the strudel', 'because albus may not assemble the pancakes because albus may assemble the pancakes because albus must assemble the pancakes', 22, 23, 19, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because lupin must jump the witch can not make a cookie which draco should assemble', 'because must not jump the witch may arrange the witch may arrange the witch may arrange', 14, 15, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because lupin may wiggle because voldemort should gobble many pancakes a professor can not smile', 'because james may not gobble many pancakes because lupin must assemble many pancakes', 14, 15, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because draco should create a souffle that mcgonagall should create sirius may not create the pancake that he can assemble', 'draco should not arrange a eclaire that because ginny can sprinkle', 19, 20, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because she may create many baklava that fred can sprinkle fred must not create the croissant that ginny may eat', 'she may not sprinkle a baklava that fred can arrange', 19, 20, 10, 0, 1, 0, 0, 1, 1, 0, 0]"
"['because fred must create the croissants that petunia should eat draco may not gobble the chocolates which she must chew', 'because must not gobble the croissants that she must gobble the croissants that he must gobble the croissants that he must gobble', 19, 20, 22, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since lily can hide the eclaires a student should not prepare the croissant because petunia must gobble the cakes', 'since can not hide the croissant because harry must hide the croissant', 18, 19, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since the witch may arrange the cookies snape should not chew the cake which albus should hide', 'since witch may not arrange the cookies which the may chew the cookies which snape may chew', 16, 17, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since voldemort may create the baklava the student can not sprinkle the strudels that snape should sprinkle', 'voldemort may not sprinkle the baklava that snape can sprinkle', 16, 17, 10, 0, 1, 0, 0, 1, 1, 1, 1]"
"['since mcgonagall must hide the cakes that snape must make a professor must not make a souffle', 'since must not hide the cakes that snape must hide', 16, 17, 10, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since james may make many eclaires the student must not party', 'since james may not make many eclaires', 10, 11, 7, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because sirius must create a cake the witch must not walk', 'because witch must not walk', 10, 11, 5, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because fred must create a cookie that sirius should chew she should not hide the baklava', 'because must not hide the baklava that the should arrange the baklava that the student should hide', 15, 16, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because vernon can create the croissants which vernon may make lily can not assemble the cookie', 'because can can assemble the croissants which mcgonagall can assemble the cookie which mcgonagall can assemble the cookie which mcgonagall can assemble the cookie which mcgonagall can assemble', 15, 16, 28, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because draco can eat the pancakes which mcgonagall may sprinkle ron can not prepare many cakes', 'because draco can eat the pancakes which a student may eat many pancakes which can gobble many pancakes which can gobble many pancakes which can can gobble', 15, 16, 27, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since george may prepare the baklava which neville should prepare vernon can not prepare the baklava', 'since george may not prepare the baklava which he can prepare the baklava which he can prepare', 15, 16, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since lily can eat the cake hermione can not sprinkle the croissants that fred should assemble', 'since can can sprinkle the croissants that fred must assemble the croissants that fred must assemble', 15, 16, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because a witch must party a student can not sprinkle the pancakes which a student should eat', 'because must not sprinkle the pancakes which a student should sprinkle a pancakes which snape must sprinkle', 16, 17, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because petunia should make many eclaires he can not chew the doughnuts which the wizard can gobble', 'because should not make many eclaires which she can chew many doughnuts which she can chew', 16, 17, 16, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because ron may chew the pancakes that the wizard should arrange voldemort must not arrange the cake', 'because may not chew the pancakes that the student should chew the chocolates that the should assemble', 16, 17, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since draco should prepare a baklava that the witch can arrange draco must not gobble many eclaires', 'since draco should not gobble many baklava that the wizard can gobble many baklava', 16, 17, 14, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since petunia should arrange a cake which petunia should arrange a student may not make the cake', 'since should not arrange the chocolates which a professor may make the chocolates which a professor may make', 16, 17, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since hermione should hide a baklava that a professor should prepare vernon may not smile', 'since should not smile a strudel that a student should prepare', 14, 15, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because george can eat the souffles harry should not assemble the pancakes that lily must arrange', 'because george can not eat the souffles that ginny should assemble the souffles that vernon must assemble', 15, 16, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since voldemort may chew the eclaires which she can prepare ron must not prepare the doughnut', 'voldemort may not chew the eclaires which the student must chew the eclaires which the professor must prepare', 15, 16, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since james can smile because ron should arrange the strudels sirius must not arrange the chocolates', 'since james can not arrange the strudels ron ron can strudels', 15, 16, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because a wizard must eat many souffles which a professor should arrange she may not assemble the chocolates', 'because a wizard must not eat the souffles which mcgonagall must assemble the souffles which mcgonagall must assemble', 17, 18, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because the professor should sprinkle the doughnut which a professor can hide lily may not eat the baklava', 'because the professor should not sprinkle the doughnut which the professor must sprinkle', 17, 18, 13, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because the wizard should make the doughnuts the professor can not eat the baklava that voldemort may make', 'because ginny should not make the doughnuts that the should arrange the baklava that the should arrange', 17, 18, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since fred can gobble the eclaires a professor must not sprinkle the strudels', 'since fred can not gobble the eclaires', 12, 13, 7, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since a wizard may make the eclaire hermione must not gobble the strudels', 'since a wizard may not gobble the eclaire hermione must hide the strudels', 12, 13, 13, 0, 1, 0, 1, 1, 1, 1, 1]"
"['because a professor can chew many chocolates hermione should not sprinkle the strudels', 'because a professor can sprinkle the strudels because harry must sprinkle the strudels', 12, 13, 13, 0, 1, 0, 0, 0, 0, 0, 1]"
"['because the professor should chew the eclaires mcgonagall should not assemble the eclaires', 'because the professor should not chew the eclaires', 12, 13, 8, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because a student must make a souffle snape can not eat the baklava', 'because must not eat the baklava because snape can eat the baklava', 12, 13, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because ginny may smile since a student must arrange a souffle that neville may make ginny must not sprinkle the doughnuts', 'because ginny may not sprinkle the doughnuts that she must sprinkle the doughnuts that a student should sprinkle the doughnuts', 20, 21, 20, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['because albus should create the doughnuts which a witch can create vernon must not make the chocolates that voldemort should arrange', 'because albus should not create the doughnuts which a student should assemble the doughnuts that the should assemble', 20, 21, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because the witch should make the chocolates which fred can eat harry can not run', 'because james should not make the chocolates which the student should make the chocolates which the student should make the chocolates which the student should make', 14, 15, 26, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['since george should sprinkle the eclaire ron must not assemble the strudels since the student can hide a doughnut that george should arrange', 'since george should not sprinkle the eclaire that ron must sprinkle', 22, 23, 11, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since albus should prepare the pancake which a witch should create the student should not make the cake that snape should chew', 'since albus should not prepare the pancake which snape should prepare', 21, 22, 11, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because he must create a doughnut neville should not gobble the strudel that hermione must sprinkle since he must hide many pancakes', 'because she must not gobble the strudel that a student should gobble the strudel that a must eat', 21, 22, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since he should hide the cake lupin can not sprinkle a doughnut because sirius may chew the croissant that george can arrange', 'since he should not hide the croissant that she may hide', 21, 22, 11, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because petunia should prepare a baklava fred should not laugh', 'because petunia should not laugh since fred should not laugh', 9, 10, 10, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['since fred may arrange many cakes draco should not wiggle', 'since fred may not arrange many cakes', 9, 10, 7, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['since dobby should gobble a cake which a witch must sprinkle albus should not prepare the eclaire', 'since dobby should not prepare the eclaire which a professor must prepare the eclaire which a professor must prepare', 16, 17, 19, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since albus may arrange a pancake that lupin can eat the student can not make the souffles', 'since albus may not make the souffles that lupin may make the souffles that lupin may make', 16, 17, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since mcgonagall must chew the doughnut that harry may arrange a wizard can not hide the souffles', 'since must not chew the souffles that harry may hide', 16, 17, 10, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['because hagrid can make the pancakes neville must not hide the eclaire which hermione may make', 'because hagrid can make the eclaire which hermione must hide the eclaire which hermione must hide the eclaire which hermione must hide', 15, 16, 22, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
"['since voldemort may assemble a eclaire which fred may arrange hagrid must not walk because ginny should create the croissants', 'voldemort may not arrange a doughnut which dobby ginny must arrange', 19, 20, 11, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because albus should party james must not prepare many souffles because george can prepare the doughnuts which albus should make', 'because albus should not prepare many souffles which a must arrange the souffles', 19, 20, 13, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since albus may gobble the croissants that neville can hide albus must not prepare the cakes that voldemort should gobble', 'since albus may not gobble the croissants that she must hide a cake that she must hide', 19, 20, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because sirius should eat the eclaires the professor must not laugh', 'because should should not eat the eclaires which the should arrange the eclaires because the professor must eat', 10, 11, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because draco should gobble the cakes the student may not swim', 'because should not gobble the cakes which she should gobble the cakes', 10, 11, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because a professor may sprinkle the baklava ginny can not party', 'because a professor may not sprinkle the baklava a baklava because the professor may sprinkle the baklava', 10, 11, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because lupin should party a student must not hide the chocolates', 'because must not hide the chocolates because lupin should hide the chocolates', 10, 11, 12, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1, 1]"
"['since ginny can make the eclaires a student must not run', 'since can not make the eclaires which hagrid must make', 10, 11, 10, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because the witch should make many souffles that george should create voldemort can not arrange the doughnuts which lupin should assemble', 'because james should not arrange many souffles that lupin must chew', 20, 21, 11, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
"['because george must sprinkle the pancake that he must create because the professor can smile vernon may not gobble a pancake', 'because george must not sprinkle the pancake that she must sprinkle', 20, 21, 11, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
"['because ginny may jump since vernon should chew the baklava that the student should assemble harry can not create the baklava', 'because ginny can not eat the baklava that the student should chew the baklava that the should arrange', 20, 21, 18, 0, 0, 'N/A', 'N/A', 0, 0, 0, 0, 0]"
"['because snape should prepare the eclaires that he can make george should not hide the baklava that a professor may sprinkle', 'snape should not prepare the eclaires that because james should arrange the baklava that the should hide', 20, 21, 17, 0, 0, 'N/A', 'N/A', 0, 0, 0, 1]"
